artist,title,spotify_uri,original_lang,lyrics_in_en,length,translation_review_required,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,dominant_emotion
Babasonicos,El Loco,2jEjxOyKqMpkcThWl697hf,es,"I am a victim of a God
Fragile, temperamental
That instead of praying for me
He went dancing
He went to the local disco
He wanted my costume
Live like a mortal
How could he not kill me?
He gave me a particular vision

Wisps of smoke flicker to meet him, oh-uh-oh
I feel the glow and I want to enter

I am a victim of a God
Wayward and very unique
That at his faithful whim
He took my wife from me
And he put her in a lupanar
That he managed like a pimp, great sir
And he went to the end to confuse his impunity
He believed himself omniscient

Wisps of smoke flicker to meet him, oh-uh-oh
I feel the glow and I want to enter

What was given is mine and it's over
I don't return it
What was given is mine and it's over
I don't return it
What was given is mine and it's over
I don't return it

I am a victim of a God
Fragile, temperamental
That instead of praying for me
He went dancing
To the local disco",844,False,0.1779,0.0006,0.0043,0.0211,0.0174,0.0013,0.0037,0.0066,0.0307,0.0701,0.01,0.0071,0.0017,0.0031,0.0024,0.0007,0.002,0.0014,0.002,0.001,0.0046,0.0016,0.0078,0.0007,0.0008,0.0263,0.0024,0.5084,neutral
A-Mei Chang,如果你也聽說,2JH8WubSk2IWYUDBUguSQv,unknown,,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified
"J Balvin, Bad Bunny",Si Tu Novio Te Deja Sola,2joKSGkqac0LIwYG9Ghrwq,es,"J Balvin
Ba-Bad Bunny
Lego, lego, lego
I live day and night thinking about you
And you wasting time with him (Skrt, skrt)
Tell me where you are, I want to see you, yeh

If your boyfriend leaves you alone
Tell me and I'll pick you up
Only a couple of hours will be enough for me (Aha)
And that bastard is not going to get you back
If your boyfriend leaves you alone (Alone)
Tell me and I'll pick you up
Only a couple of hours will be enough for me (Lego)
And that bastard is not going to get you back (Rrrruah)

A little ass like that can't be found on eBay
This bug is yours, I have it for you on layaway
What's more, none of them have brakes
I'm not a pitcher, but I'm going to play the double play for you
I know you're fine, but in bed Sasha Gray
Smoking and drinking Gray
I'm sorry for Casper, but J-Lo is leaving with Drake
I'll take you to New York for a weekend
One fuck before bed, another in the morning
There are a bunch of fools who like you
But tell them that you belong to the king like Lana

I always mistreat myself
Watching your videos and your portrait
Tell your boyfriend that his contract has expired
With me they are made of wax, I snatch them, yeh

If your boyfriend leaves you alone
Tell me and I'll pick you up
Only a couple of hours will be enough for me
And that bastard is not going to get you back
If your boyfriend leaves you alone (Eh-eh-eh)
Tell me and I'll pick you up
Only a couple of hours will be enough for me
And that bastard is not going to get you back, yeh (Lego)

Reach out, always know when and where it is
She brought other friends who have boyfriends too
Every time I touch PR she lets go of her cat and falls to daddy's
When he misses me and wants me to surprise him, he arrives in Medellín
With him you always lose, with me you win
I think about you all day very nasty
Thousands of women, thousands in bottles
There is no chimba if you are not here
Tell that fool the truth
That does not give the levels
And let him try to see if he can

To your boy (To your boy)
Let him know (Let him know)
that this weekend
You spend it with all your friends and not with him
I don't play (I don't play)
Let him know (Let him know)
What did you find replacement?
And wait for a while (Yeh-eh-eh)

If your boyfriend leaves you alone
Tell me and I'll pick you up
Only a couple of hours will be enough for me
And that bastard is not going to get you back, yeh
If your boyfriend leaves you alone (Bad Bunny)
Tell me and I'll pick you up (The Bad Rabbit)
Only a couple of hours will be enough for me (J Balvin, man)
And that bastard is not going to get you back

(To your boyfriend)
Mambo Kingz
(Let him know)
Hear this music
(That this weekend)
DJ Luian
(You spend it with all your friends and not with him)
(I don't play)
(Let him know)
(That you found a replacement)
(And wait for a while)",2429,False,0.0004,0.0025,0.0409,0.2158,0.0094,0.0081,0.0055,0.0074,0.0109,0.0522,0.0479,0.0103,0.003,0.0006,0.0017,0.0004,0.0011,0.0012,0.001,0.0012,0.0083,0.0003,0.0075,0.0006,0.0053,0.0397,0.0009,0.6143,neutral
DIOR 大穎,人的這一生,2Jox8DFhnUpJZJWLsVAsAR,unknown,,0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unclassified
Viejas Locas,Me Gustas Mucho,2kB1rqoTaZ3j6ChtIWGurm,es,"We met dancing in a bar
Your legs were flying, you knew how to carry them
I liked how you moved them
And together we went to spend the night

It's just that I like you a lot
I like you a lot
I like you a lot
I like you a lot

I like how you dress and how you walk
I like your hair, your body
I would like to be able to bathe you
Also dry yourself
And rinse again

Because I like you a lot
I like you a lot, baby
I like you a lot
I like you a lot, baby
And maybe I like you so much
It must be that I can't hide
Really, hah


I like you a lot!
I like you a lot, baby!
Maybe I like you so much, but so much
I like you a lot, baby!
And because I like you so much
It must be that I will never forget you",660,False,0.1287,0.0042,0.0028,0.0036,0.0421,0.0031,0.0079,0.0049,0.0085,0.0035,0.0045,0.0017,0.0005,0.0056,0.001,0.0036,0.0004,0.0205,0.9559,0.0006,0.0117,0.0006,0.0081,0.0005,0.0013,0.0025,0.0027,0.0105,love
"Quevedo, Aitana",GRAN VÍA,2kQ1OvmMzs1xdlH020aJJh,es,"(I'll say it wasn't you)
(The one who kissed me with concern)
Hehehe
Ah-ah
Hey, Aitana
Good night, good night, yeah
Good night, good night, yeah
Hey, huh

He lives in Madrid, but he doesn't usually go out
That last night was an exception
We saw each other in a pre and it all started there
While drinking we talked about nothing and at the same time about everything
And as soon as we get to the party we kiss each other'
But he asked me to go secretly
What your friends shouldn't know' (Ah-ah)
And I don't know why, but if they ask, baby

I'll say it wasn't you
The one who kissed me with concern
Mommy, I'm a villain, but why so much mystery?
With the grade I don't know how to take this seriously
What I know is that it was you
The one who teased me with that guy
The confusion has me turning, my bad
And if they wait for you at home, why do they sleep in mine?

I just want to see you again so that you can secretly give me
At that hotel on Gran Vía pick me up at 3
If you want, don't give it to me your heart, eh
Because this is not love, it's just sex, yeah
Tremendous fantasy you and me without stopping
If I don't call you, don't take it personally
My bed is still cold, come warm me
Don't worry, you trust, no one will find out
I saved your phone under another name
Nobody can know, nobody can know
What we both do tonight, no one can see

I'll say it wasn't you
The one who kissed me with concern
Mommy, you have me as a villain, but why so much mystery?
With the grade I don't know how to take this seriously
I know that it was you who drove you crazy with my cu
In the car we go around Gran Vía
You don't sleep in your house, you sleep in mine (Hey)

That cat is a gyal, bichiyal, like Bad Bo
Ask for what you want, I'll take care of it (Yes)
Nails done, mommy, and long hair
I'm waiting for you to tell me to do something
To 'fall wherever it is', yeah
That I am satisfied with giving you once a month
That night doesn't go away, yeah (Yeah, yeah)
My mind, then, why not repeat it again?
I don't know what your fantasy is, but I know what mine is
And there is no place, no date, no time, but there is you, baby
I know that he didn't know me and that the least he wanted was
It was to fall in love, but it's too late, baby

Sorry, baby
But I don't believe in love, no
Tell me if you want to have a good time
But don't put heart in it, let's put skin in it (The skin; hehehe)

I'll say it wasn't you
The one who kissed me with concern
I have you, villain, but why so much mystery?
Baby, lower the grade, don't take it so seriously
I will say that yes it was you
The one who teased me with that 'confusion has me turning around', my bad
And if they wait for you at home, why do they sleep in mine?

(You don't sleep at your house, you sleep at mine)",2590,False,0.0017,0.0437,0.0071,0.0462,0.0425,0.0186,0.4505,0.1613,0.0084,0.0867,0.0662,0.0032,0.0115,0.007,0.0078,0.0004,0.0034,0.0289,0.014,0.0251,0.012,0.0006,0.0335,0.0038,0.0836,0.1584,0.0042,0.1252,confusion
Jung Kook,Standing Next to You,2KslE17cAJNHTsI2MI0jb2,en,"Standing next to you

Play me slow
Push up on this funk and give me miracles
(Let ya body know)
Make it known
How we left and right is something we control
(You already know)

You know that, all night long, we rock to this
Screaming, I testify this lovin'
All night long, we flock to this
Screaming, I testify that
We'll survive the test of time
They can't deny our love
They can't divide us
We'll survive the test of time
I promise I'll be right here

Standing next to you
Standing in the fire next to you, oh
You know it's deeper than the rain
It's deeper than the pain
When it's deep like DNA
Something they can't take away, ayy
Take-take-take-take-take-take off

Standing next to you
Standing next to you (You)
Standing next to you

Afterglow
Leave ya body golden like the sun and the moon
(You already know)

You know that, all night long, we rock to this (Oh)
Screaming, I testify this lovin'
All night long, we flock to this (All night long)
Screaming, I testify that
We'll survive the test of time
They can't deny our love
They can't divide us
We'll survive the test of time
I swear that I'll be right here

Standing next to you (Next to you)
Standing in the fire next to you, oh (Next to you)
You know it's deeper than the rain
It's deeper than the pain
When it's deep like DNA
Something they can't take away, ayy
Take-take-take-take-take-take off

Standing next to you
(Standing next to you)
Standing next to you
(Standing next to you, standing next to you)
Standing next to you, oh
(Standing next to you, standing next to you)
Hey
(Standing next to you, standing next to you)
Standing next to you
(Standing next to you)

Bass and drums
Ooh
Woo
Standing next to you",1675,False,0.0499,0.0009,0.0018,0.004,0.3113,0.1151,0.0005,0.0008,0.0134,0.0014,0.0022,0.0007,0.0003,0.0151,0.0009,0.0023,0.0006,0.0215,0.1579,0.0005,0.0378,0.0047,0.0055,0.0043,0.0006,0.0011,0.0006,0.4081,neutral
"Ryan Castro, Blaiz Fayah, Tribal Kush",BOMBASTIK<3,2Kx9AfJPaJib9DwAdDYdB9,es,"For all the people who like to dance in dancehall
What a joke, SOG
Ryan Castro, The Ghetto Singer
Phillip, Phillip
Plo, plo, plo, plo, plo, plo, plo
Dance dancehall (Haha)

Oh, fantastic mom
You are my wolf, bombastic wolf
I am your daddy without being a Yankee, mmm
I buy you and take off your panties
Bad gyal criminal, cri-cri-criminal
Different than the others, she got full original style
Backshot she want, hmm, gimme a ghetto whine
Backshot mi love, yeah, mi gyal, welcome to Shatta Land

Tiki tiki, tiki tiki, tiki tiki
Tiki tiki, tiki tiki, tiki tiki
You are my wolf, bombastic wolf

Hey, tiki tiki that baby got stuck
All night Ryan Castro sang to her and coaxed her
I wanted to look like I was from the ghetto, but I didn't.
The singer ripped it like a SOG track
Seek and hunt type, love when you came
A new vibe she want, only bad man inna di casa
She's an uptown gyal, she want it harder, Gully, Gaza
You must feel free tonight, no matter, no problem
Nobody can tell nothing, today yuh undercover (Ah-ah)

Tiki tiki, tiki tiki (No, no), tiki tiki
Tiki tiki, tiki tiki, tiki tiki
You are my wolf, bombastic wolf
Tiki tiki, tiki tiki, tiki tiki
Tiki tiki, tiki tiki (Yeah), tiki tiki
You are my wolf, bombastic wolf

She wanna drink Hennessy with us, always been so serious
Looking for a dirty nasty vibe, new experience
Move it to the left, she'll move it to the right
Wine up your body, gyal, enjoy yourself tonight (Na-na)

He likes it dirty, he doesn't want romance (Mmm)
She is natural, she is not plastic (Mmm)
In Curacao we went to the chanti (Ay)
It was in Medellín in a glamping (Mmm)
Oh, fantastic mom
You are my wolf, bombastic wolf
I am your daddy without being a Yankee, mmm
I buy you and take off your panties

Tiki tiki, tiki tiki, tiki tiki
Tiki tiki, tiki tiki, tiki tiki
You are my wolf, bombastic wolf
Tiki tiki, tiki tiki, tiki tiki
Tiki tiki, tiki tiki, tiki tiki
You are my wolf, bombastic wolf

He tells me he doesn't believe in love
Who likes gangster like me (Pu-pu-pu)
That ass tanned in the sun (Zaga)
Get loose in the dancehall (Zaga)

Tiki tiki, tiki tiki, tiki tiki
Tiki tiki, tiki tiki, tiki tiki
You are my wolf, bombastic wolf",2198,False,0.0422,0.6252,0.0024,0.0137,0.0352,0.0013,0.0008,0.0011,0.0021,0.0031,0.0044,0.0021,0.0011,0.0118,0.0004,0.0006,0.0004,0.1452,0.051,0.0003,0.003,0.0011,0.0069,0.0014,0.0004,0.0013,0.0013,0.1454,amusement
Creedence Clearwater Revival,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU,en,"Someone told me long ago
There's a calm before the storm
I know, it's been comin' for some time
When it's over, so they say
It'll rain a sunny day
I know, shinin' down like water

I wanna know, have you ever seen the rain?
I wanna know, have you ever seen the rain?
Comin' down on a sunny day

Yesterday, and days before
Sun is cold and rain is hard
I know, been that way for all my time
'Til forever, on it goes
Through the circle, fast and slow
I know, it can't stop, I wonder

I wanna know, have you ever seen the rain?
I wanna know, have you ever seen the rain?
Comin' down on a sunny day
Yeah
I wanna know, have you ever seen the rain?
I wanna know, have you ever seen the rain?
Comin' down on a sunny day",734,False,0.008,0.0026,0.0012,0.0041,0.0251,0.0024,0.045,0.6395,0.0057,0.0031,0.0022,0.0011,0.0008,0.0384,0.0028,0.0003,0.0005,0.004,0.0031,0.002,0.0105,0.0002,0.012,0.0006,0.0005,0.0019,0.0744,0.2283,curiosity
Felix Record,Cuentame,2lg4MDfkK2ya3dEAFu6Wh8,es,"I stopped your clock at the door of heaven (Oh, oh, oh)
I left you wanting, don't say no (No, no)
And that perverse dose between sweet and poison (Mm, mm)
If we play with fire we both get burned

Burn, ema, ema
Your mouth is a poem, ema, ema
Let's pull this rope
If it breaks we let go of the reins, mmm

Tell me, tell me, tell me
Everything you have imagined
Take me, take me, take me
To the point where no one had reached
I have no use for a gentleman
If you don't fulfill my wishes
Kiss me, kiss me, kiss me
Like this, like this
And I'll take you to your happy ending

(Tell me, tell me)
And I'll take you to your happy ending
(Tell me, tell me)

I'm going to open the pages of my story (Ah)
Come to write your story for my body (Ah)
This plot is coming, close to the bed
If you are the snake, I am the apple

There is no longer a wick left in this candle to burn
Come walk me through the darkness
And if I like it, tomorrow we start again, mmm

Tell me, tell me, tell me
Everything you have imagined
Fulfill me, fulfill me, fulfill me
To please me you are my slave
I have no use for a gentleman
If you don't fulfill my wishes (No, no)
Kiss me, kiss me, kiss me
Like this, like this
And I'll take you to your happy ending

(Tell me, tell me)
And I'll take you to your happy ending
(Tell me, tell me)

Ema, ema, ema (Ema)
Your mouth is a poem, ema, ema (Ema)
Let's pull this rope
If it breaks we let go of the reins (Tell me)

Tell me, tell me, tell me
Everything you have imagined
Take me, take me, take me
To the point where no one had reached
I have no use for a gentleman
If you don't fulfill my wishes (Oh)
Kiss me, kiss me, kiss me
Like this, like this
And I'll take you to your happy ending

(Tell me, tell me)
Give me, give me my happy ending
(Tell me, tell me)
And I'll take you to your happy ending
And give me, give me my happy ending",1731,False,0.0006,0.002,0.0043,0.0217,0.0161,0.0042,0.0015,0.0016,0.0302,0.0204,0.0083,0.0031,0.0008,0.0024,0.0015,0.0003,0.0009,0.0059,0.0104,0.001,0.0065,0.0004,0.0069,0.0009,0.0015,0.0215,0.0007,0.7848,neutral
"El Americano 4KT, Tony Monta",WELCOME,2lGGv17kLfOrdVzNFzuQWM,es,"Let's spice it up
I am blue in my pieces, joseadores are scarce
All people want money, no one is behind anymore
Joseando to hit me and distributing Corrientazos
They want to see me on the floor and there is no way, I don't fail
Making money since yeo, I look like double A
He catches my partners, he can't stand it, he's going to explode
I dream a lot that I'm rich, I think I'm going there
I can't fail anymore, there are many mouths to shut up
In a few years I'll shut them up, otherwise I'll be struck by lightning
They're waiting for a bar to fail, but I don't fail.
Everything I have money, in the Foot Locker I burst out Joseando all the money to spend it all in May
In May I turn twenty-two. I turned twenty-one and teen age in prison. What a fucking pressure, on the dance floor there is a lot of temptation. Never broke, learn reggaeton. Sign with mine, I go to the drawer of my la'o. There are the mutants, they steal singers.
Arcángel was saved in Houston, we let him sing
My surprise people arrive with masks and gloves
No fake, no case, otherwise I'll throw them away
The tattooed head and not the bug's
My fans and their whims, they think they are bad, or rather
Keep saying to kill their songs like Jincho We have powerful cones
Like Mencho eah, yeah
Welcom, American
The children who come home and it's early
They remain rotten, that's why they remain worms
You realized it late and we put you to sleep earlier
I don't understand what they say because I am a Hispanic
And I'm not your brother, don't lick me, man
Yeah, yeah, bugs come out, gyal, like badbo
Give me the coordinates that are being stamped
I have your bitch at home smoking grass
And your whitey was red like the Macro logo, yeah
We have all the pimpis and the whores on this side
I left them a while ago, that's why they haven't found me
He melted with me, how do you think that in the lao'?
As toads emerge, for example, you see them inflated.
In the studio with a dozen in a boat
We are on another level with the Ribota muses
And me with a six rings red like my eyes
We hunt them in the snow because we are wolves
And if under the case you don't understand much of the scheme
I do get involved in your block, but your bale doesn't stop
We buy Chinese rice with Ameripardes
Let's cheapen my signal
We hack the antenna, yean
Hey, we hack the antenna, we hack the internet
To see blondes in the hotel, haha, hey
Complete mess because it arrived
American, you hear?
Like the owl thing, the fucking island
Bye, bye, a while ago we already gave Hey, the four KT, the four KT El Americano, Tony, you know
The people
We are like that, talk to him there, say it YES
That we, you will see, we are in another concise scheme, you will see. Get to the level that we are flying
Aries City we went back to pouring water on the nose, scratching the coconut Two guns like cowboys, I'm cleaning the sights
You are not crazy, I don't know who is hitting on me
Crazy, crazy, crazy, oh, oh, oh, man
Let's spice it up, huh",2950,False,0.0017,0.3629,0.0631,0.2567,0.0196,0.0012,0.0227,0.0108,0.0031,0.0364,0.0228,0.0094,0.0046,0.0056,0.0047,0.0002,0.0006,0.0366,0.001,0.0024,0.0066,0.0007,0.0355,0.0013,0.0004,0.0036,0.0077,0.2796,amusement
Daniel Caesar,Always,2LlOeW5rVcvl3QcPNPcDus,en,"Baby, baby
There will always be a space for you and me
Right where you left it
And just maybe
Enough time will pass
We'll look back and laugh
Just don't forget it

And maybe I'm wrong
For writing this song
Losing my head over you

And I'll be here
'Cause we both know how it goes
I don't want things to change
I pray they stay the same, always
And I don't care
If you're with somebody else
I'll give you time and space
Just know I'm not a phase
I'm always-ways-ways
Always-ways-ways
I'm always-ways-ways

Pretty lady
Used to walk with me
Down Bloor Street, oh, what a time
And I still remember the fussin', thе fightin', the fuckin', the lyin'
It's all fine, you'll always bе mine

And maybe I'm wrong (Maybe I'm wrong)
For writing this song (Writing this song)
Losing my head over you

And I'll be here
'Cause we both know how it goes
I don't want things to change
I pray they stay the same, always
And I don't care
If you're with somebody else
I'll give you time and space
Just know I'm not a phase
I'm always-ways-ways
Always-ways-ways
I'm always-ways-ways

Always, can count on it sure as the stars in the sky
Always, you can count on it as sure as the sun will rise
Always, my love for you ain't goin' nowhere
Always, I will be here",1237,True,0.0009,0.023,0.0042,0.0237,0.0684,0.082,0.022,0.0049,0.0892,0.0931,0.0394,0.0018,0.0028,0.0015,0.0037,0.0009,0.004,0.0201,0.0542,0.0126,0.4353,0.001,0.0741,0.005,0.0254,0.1038,0.0009,0.1199,optimism
Bad Bunny,BAILE INoLVIDABLE,2lTm559tuIvatlT1u0JYG2,es,"I thought I was going to grow old with you
In another life, in another world it could be
In this case I only have to go one day
And only see you in the sunset
If you see me alone and sad, don't talk to me
If they see me alone and sad, I am guilty
Life is a party that one day ends
And you were my unforgettable dance
And you were my unforgettable dance
Eh-eh, eh-eh
Eh-eh, eh-eh

While one is alive
One must love as much as one can

I thought I was going to grow old with you
In another life, in another world it could be
In this case I only have to go one day
And look at the sky to see if I see you fall
If you see me alone and sad, don't talk to me
If they see me alone and sad, I am guilty
Life is a party that one day ends
And you were my unforgettable dance

No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance
No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance

Yeah-yeah-yeah-yeah, hey
Tell me how I can forget you
There is a new step that I want to teach you
At night I can't even sleep anymore
What I do is dream of you

No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance

How you kissed me, how I did it to you
How you looked at me, little beauty made me
It feels ugly not to have you close
The new mom is fine, but she is not your little mouth
My devil, my angel, my crazy
My devil, my angel, my crazy girl, hey

This sounds stupid
Let's do it again
Like last night, like last night
So, so, so-na-na, so-na-na
Squeeze, little boy, squeeze
There, there, there, let's go there!

No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance

Oh, I can sleep with anyone
But not just anyone I want to wake up with
Only with you, with you
I dance with you, nothing more with you
A kiss wherever you are, wherever you are, baby

No, I can't forget you
No, I can't delete you
you taught me to love
you taught me to dance

And I have had many girlfriends'
But like you, none
I no longer have my sun, I spend myself on the moon
If I think about you, I'll jump
Eh-eh, my devil, my angel, my crazy girl
My devil, my angel, my crazy girl, eh-eh",2162,False,0.006,0.0013,0.0291,0.0681,0.0153,0.0072,0.0037,0.0031,0.0507,0.2945,0.0338,0.0216,0.0065,0.0036,0.0044,0.0005,0.0073,0.007,0.3679,0.0068,0.0041,0.001,0.0158,0.0017,0.0128,0.4268,0.003,0.0412,sadness
Brooks & Dunn,Neon Moon,2M38X60UJnupGPbFTkVPNQ,en,"When the sun goes down on my side of town
That lonesome feelin' comes to my door
And the whole world turns blue
There's a rundown bar 'cross the railroad tracks
I've got a table for two, way in the back
Where I sit alone and think of losin' you

I spend most every night
Beneath the light of a neon moon

Now if you lose your one and only
There's always room here for the lonely
To watch your broken dreams
Dance in and out of the beams of a neon moon

I think of two young lovers, runnin' wild and free
I close my eyes and sometimes see
You in the shadows of this smoke-filled room
No tellin' how many tears I've sat here and cried
Or how many lies that I've lied
Tellin' my poor heart she'll come back someday

Oh, but I'll be alright
As long as there's light from a neon moon

Oh, if you lose your one and only
There's always room here for the lonely
To watch your broken dreams
Dance in and out of the beams of a neon moon

The jukebox plays on, drink by drink
And the words of every sad song seem to say what I think
And this hurt inside of me ain't never gonna end

Oh, but I'll be alright
As long as there's light from a neon moon

Oh, if you lose your one and only
There's always room here for the lonely
To watch your broken dreams
Dance in and out of the beams of a neon moon

Come watch your broken dreams
Dance in and out of the beams of a neon moon
Oh, watch your broken dreams
Dance in and out of the beams of a neon moon",1480,False,0.0009,0.0015,0.0037,0.0167,0.012,0.0183,0.0033,0.0025,0.0299,0.1469,0.0089,0.004,0.0017,0.001,0.0085,0.0004,0.0119,0.0026,0.0047,0.0123,0.0207,0.0005,0.0226,0.0021,0.0088,0.6467,0.0018,0.2851,sadness
Lana Del Rey,Cinnamon Girl,2mdEsXPu8ZmkHRRtAdC09e,en,"Cinnamon in my teeth
From your kiss, you're touching me
All the pills that you take
Violet, blue, green, red to keep me at arm's length don't work
You try to push me out, but I just find my way back in
Violet, blue, green, red to keep me out, I win

There's things I wanna say to you
But I'll just let you live
Like if you hold me without hurting me
You'll be the first who ever did
There's things I wanna talk about
But better not to give
But if you hold me without hurting me
You'll be the first who ever did

Ah, ah, ah, ah, ah, ah
Hold me, love me, touch me, honey
Be the first who ever did
Ah, ah, ah, ah, ah, ah
Hold me, love me, touch me, honey
Be the first who ever did

Kerosene in my hands
You make me mad, on fire again
All the pills that you take
Violet, blue, green, red to keep me at arm's length don't work

There's things I wanna say to you
But I'll just let you live
Like if you hold me without hurting me
You'll be the first who ever did
There's things I wanna talk about
But better not to give
But if you hold me without hurting me
You'll be the first who ever did

Ah, ah, ah, ah, ah, ah
Hold me, love me, touch me, honey
Be the first who ever did
Ah, ah, ah, ah, ah, ah
Hold me, love me, touch me, honey
Be the first who ever did

There's things I wanna say to you
But I'll just let you live
Like if you hold me without hurting me
You'll be the first who ever did
There's things I wanna talk about
But better not to give
Like if you hold me without hurting me
You'll be the first who ever did",1564,False,0.0047,0.0012,0.0079,0.0142,0.0826,0.0266,0.0016,0.0026,0.1691,0.0047,0.006,0.0018,0.0005,0.0137,0.0009,0.0007,0.0006,0.0142,0.4818,0.0008,0.0175,0.001,0.007,0.0012,0.0009,0.003,0.0008,0.3209,love
"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,2Mgur7BKnpr7OG3izSNFTA,es,"The official version of the theme will be available soon!

What a villain she gives me
Baby, I can't stand it
I like you so much, oh
But I want to chichar you (Ah)
None of us are 'holy' (Yeh)
Let's make a song, oh (Make a song, Anuel)

The sun sets and the demon comes out, eh-eh (Anonimus; uah-uah; Almighty)
And she wants a bug and I have a demon (Eh-eh) uah, uah
Torturing you, mistreating you
My slave, ah-ah (Uah, uah)
Tying you (-te) and breaking you (-te)
My devil, ah-ah

Today I'm going to eat you again
If he calls, pick up the cell phone
But everything is quiet, we have to hide
a daughter of lucifer
A demon made into a woman
That's why I am your lover and you are faithful to mine (Bryant Myers)

You are an aphrodisiac, I get wicked every time I see you (Wuh)
I buy a condom at Texaco, I take it out, I touch you and I drool on you
Let's put our hands (Hand)
Always anesthetized, never good and healthy
You suck me, I suck you too
I put it in your pussy and put my de'o in your anus (Hahaha)
My lady is eight, mine is African
We are sinners, we are not Christians (Hoh)
The stick in the hand and the banana comb (Brr)
She is mine whenever I call her (Yeh)
They throw everyone at you but in other times I win (Always)
It comes to you like a sink (Oh)
When I hit you with the gypsy arm (Heh)
Undertaker at WrestleMania (Ha)
The kilos come from Armenia
My poop is very powerful, baby, your boy has micropenia (-penia)
And let's go 'for the five letter' (What?)
You like it when my bug penetrates you
Kneel down and suck it until milk comes out of the urethra (Hahaha)

Torturing you (Yeh), mistreating you (Yeh)
My slave, ah-ah (Uah, uah)
Tying you (-te) and breaking you (-te)
My devil, ah-ah

Today I'm going to eat you again
If he calls, pick up the cell phone
But everything is quiet, we have to hide
a daughter of lucifer
A demon made into a woman
That's why I am your lover and you are faithful to mine

(they run)
This is a secret (Shh!), shut up, they find out
Nobody knows what I'm messing with you, mommy (No), but I'll steal your wallet
We are not in feka, we are not in feka (Never)
She chicha and endeca (Endeca)
I always have fat from all the butter (Ha)
I have a library of porn with her' (Mommy)
Devil on a bicycle, fuck on a plane' he challenges me (Wuh)
Louis Vuitton the 'package' and the 'suitcase'
To take your ass and your tits
My kilos are aerial (Ah)
Bastard and I have an empire, to get you out of the way (Pla-pla)
I am the disease along with the remedy (Wuh)
She doesn't fall in love (No), she has a broken heart
I'm looking for her every weekend so that my penis breaks her shit (So I can break her)
Enslave, enslave, with my milk he is baptized
She always comes if they call her (Haha)
He sucks it and he never feels used
Almighty

You like how I play my tongue o nah (O nah), eh
You on top of me 'esnuda to'a mojá' (To'a mojá), eh-eh
You always come to me for nothing else, ah-ah (Eh-eh)
I am your little devil, he is evil, ah-ah-ah
He takes it out and puts it on (Puts it on)
The pearls and the condones (Condone)
And I have the R fullete, position with the drum (Brr)
And the 'kilo' are from Antioquia (Antioquia)
I come in your mouth (Ha)
And you always swallow it and you are good but very crazy (Haha)
Let's fuck again, eh-eh (Eh-eh)
That I am very wicked
And for the bastard of your e-ex (E-ex)
I'm done buying a dragon, uah (Brr)
He likes gangsters like Lynette Chico (Chico)
Baby, I'll catch your cat and give him 30 something

Today I will see you again
If he calls, pick up the cell phone
'I smoke marijuana
Today you will be my slave in a motel room

Tell me, Anuel
Real to death, eh-eh
Tell me, Bryant
Real to death, eh-eh (Yeah, yeah, yeah)
Primo Boyz Music
Anuel (Anonymous)
Real to the death, did you hear you, baby?
Hey, The Darkness
Mera, tell me, Geniuz
The 'untouchable', the' illuminati
Lil Geniuz
Mera, tell me, EQ
The Equalizer
'We are blessed', yeh
Mera, tell me, Almighty
Mera, tell me, Almighty
The devil on skates, did you hear you, baby? Haha (Blessed)
The 'Immortal' Industry
Mera, tell me, Bryant
Hey, The Darkness
Those who hit the trap
The gods of trap, did you hear you, baby?",4116,False,0.0087,0.5308,0.0136,0.0289,0.0221,0.0062,0.0052,0.0496,0.0039,0.0026,0.004,0.0039,0.0012,0.0056,0.0008,0.0005,0.0004,0.0451,0.1611,0.0005,0.0068,0.0004,0.0047,0.0007,0.0007,0.002,0.0011,0.2758,amusement
