region,spotify_uri,artist,title,original_lang,dominant_emotion,emotion_love,emotion_angst,emotion_joy,emotion_heartbreak,emotion_empowerment,emotion_party,emotion_despair,emotion_hope,emotion_nostalgia,emotion_solitude,emotion_passion,emotion_relaxing
Colombia,1pLCpA1RN8avJxSD3ZCwhj,Arcángel,Pa' Que La Pases Bien,es,joy,0.4529,0.1596,0.7877,0,0.6703,0.6163,0,0.7055,0.2206,0,0.5136,0.3123
Colombia,6N2iccqxRInhTLHc2Fu3W0,"El Bogueto, Yung Beef",Cuando No Era Cantante,es,nostalgia,0.9043,0.9715,0.4282,0.9134,0.9097,0.5934,0.2507,0.8156,0.9897,0.7466,0.9629,0
Colombia,6C1RD7YQVvt3YQj0CmuTeu,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,es,passion,0.227,0.5573,0.2718,0,0.7588,0.5435,0,0.1115,0.2482,0.4135,0.8999,0
Colombia,59D4DOkspUbWyMmbAPQkxZ,Bad Bunny,VOY A LLeVARTE PA PR,es,empowerment,0.2833,0.8187,0.4292,0.3169,0.9244,0.6251,0.1404,0.4609,0.6787,0.4697,0.9149,0.1632
Colombia,0a6ogDrZBvYgDjILgsQVaJ,Arcángel,Hace Mucho Tiempo,es,solitude,0.6897,0,0.2156,0,0.5731,0,0,0.323,0.4064,0.9398,0.6196,0
Colombia,7bywjHOc0wSjGGbj04XbVi,"Feid, ATL Jacob",LUNA,en,angst,0.7103,0.9881,0.2024,0.9845,0.7266,0.4678,0.8998,0.1585,0.8312,0.9693,0.8375,0.1348
Colombia,2pbSCYzxrG0wa6qcj8IyiE,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,unknown,unclassified,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0LvxvoeJmdhkxRIC4orlJ3,Kris R.,MIL D AURA,es,passion,0.8027,0.5503,0.6268,0.3196,0.879,0.2292,0,0.552,0.6811,0.1036,0.89,0.5371
Colombia,7sRXb5IgYWwVv1DaavHSNs,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,es,passion,0.8539,0.5205,0.5804,0.495,0.8775,0.5828,0,0.4302,0.7617,0.2669,0.8932,0
Colombia,3KZCP2StVGdWkOKyRZNWA4,Plan B,Es un Secreto,es,solitude,0.8752,0.1807,0.6731,0,0.5941,0.2274,0,0.7725,0.4251,0.9274,0.9076,0.8902
Colombia,4DAMvNqHt0s8zJr6JwOoye,Yeison Jimenez,MLP,es,love,0.9834,0.6825,0.3767,0.6619,0.8009,0,0,0.3308,0.3421,0,0.9093,0
Colombia,4sTnItbNUAcS5KDG6vTA5B,"Blessd, Los Money Makers, Prodmonja",URUS BLUE,es,party,0.9097,0.7937,0.6541,0,0.901,0.9581,0,0.583,0.5046,0.3482,0.8775,0.7948
Colombia,0JoHqmlqE0W0i9prt6kcHR,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",es,angst,0.6087,0.9156,0.1275,0.786,0.5674,0.6196,0.809,0,0.2169,0,0.8075,0
Colombia,7ns16ylM6sbxo9ZWIwyE5d,"Danny Ocean, Kapo",Imagínate,es,other,0.5235,0.2643,0.3978,0.2047,0.747,0.6655,0,0.441,0.3165,0.2714,0.7078,0.1586
Colombia,2Mgur7BKnpr7OG3izSNFTA,"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,es,passion,0.1575,0.6874,0,0.3925,0.3252,0.2523,0.2239,0,0.2589,0.405,0.7871,0
Colombia,0QuHK1VvIZ1Kt2GfqRrdVo,"CARABIN3, SVNTI",MUSA,es,passion,0.7097,0.7645,0.5649,0.1641,0.9135,0.6033,0.2637,0.4002,0.63,0.1675,0.9209,0
Colombia,3GhmL9fuM8jwGcHCFbeo3v,Arcángel,Me Prefieres A Mi,es,empowerment,0.4884,0.6733,0,0.503,0.676,0.2272,0.1176,0.1265,0,0,0.535,0
Colombia,6qDTm2QbRSLlSmaUSJE6bF,"Blessd, GeezyDee",DIOMEDEZ,es,angst,0.2936,0.5719,0,0.3224,0.3753,0.2823,0,0,0.1611,0,0.3789,0
Colombia,5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,es,nostalgia,0.6064,0.7417,0.8949,0,0.8672,0.8919,0,0.5258,0.9602,0.5319,0.816,0.5768
Colombia,4pjkZyNZnOJEPpBmzOqTC2,"Kris R., ROA",PASIÓN Y SEXO,es,passion,0.9218,0.681,0.4651,0,0.7267,0.3352,0,0.373,0.5576,0.1629,0.9353,0.2746
Colombia,4YM3IYESNKXWYHbPXvMMVD,Kapo,NO CRY,es,nostalgia,0.9758,0.8182,0.2,0.9185,0.7304,0.2021,0.6946,0.7667,0.9925,0.4133,0.7265,0.3945
Colombia,6uiQ0DqbXTBc8tl0AUKZkR,Rels B,TU VAS SIN (fav),es,empowerment,0.9168,0.6945,0.5622,0.3085,0.9602,0.4879,0,0.6213,0.4054,0.4939,0.9238,0.1806
Colombia,0e3d2UZRjtvviXWWMRYGQo,"Blessd, J Alvarez",FANÁTICO,es,love,0.9236,0.289,0.5918,0,0.7766,0.362,0,0.3459,0.1917,0,0.8717,0
Colombia,2btNsI4OvcVl7SAHQQDHFB,"Blessd, Ovy On The Drums",Mírame,es,heartbreak,0.7398,0.8294,0,0.9696,0.5327,0.1996,0.5133,0.8943,0.2448,0.5409,0.5126,0.9503
Colombia,0a0JiZejbYYem1W31fldde,Ñengo Flow,En Las Noches Frias,es,passion,0.5527,0.6759,0.1223,0.6326,0.6406,0.164,0,0.2273,0.549,0.1356,0.7093,0
Colombia,3CbiuLMBPM6uV4a7HvkOib,"Tony Dize, Plan B",Solos,es,solitude,0.3773,0.7167,0.142,0.6217,0.2661,0.2714,0.4117,0.1523,0.136,0.8467,0.5376,0
Colombia,0nafF9MxcXJBQWv3BTKtdF,"KAROL G, Feid",Verano Rosa,es,party,0.8483,0.8221,0.5164,0.4672,0.795,0.9838,0.2176,0.2441,0.8234,0,0.9267,0
Colombia,6ifUES3keWjwXgae8pXI3o,Danny Ocean,Me Rehúso,es,empowerment,0.5289,0.5393,0.1699,0.4939,0.8628,0.3118,0.2753,0.2021,0.3192,0.3493,0.6733,0.2216
Colombia,1o4xkdBe0RjSf2u6VXi4OI,"Yan Block, Panda Black",444,es,party,0.7907,0.9541,0.1455,0.884,0.7011,0.9789,0.5691,0,0.4398,0.5081,0.9267,0
Colombia,13BDiikG6y5o5cQTK0HpW6,"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,en,passion,0.649,0.9181,0.1915,0.1061,0.7915,0.1682,0,0,0.1236,0,0.9509,0
Colombia,5iwgEFKEktjBBZV3C9TTZj,Willie Colón,Idilio,es,hope,0.9602,0.8981,0.8585,0.8838,0.9257,0.2059,0.109,0.9806,0.5836,0.9718,0.9554,0
Colombia,7sChwC2NZjGc2Kdni3hlDg,"Yan Block, Panda Black",Talento,es,angst,0.7062,0.9733,0.4025,0.8336,0.7898,0.9576,0.5101,0.956,0.4076,0.5959,0.942,0
Colombia,0l0vcZMU7AOeQmUIREoI2U,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,es,angst,0.4293,0.851,0.2031,0.5954,0.6031,0.6207,0.2296,0.1852,0.8001,0.6591,0.8263,0
Colombia,4feh4Ak3ZJfC6ibxkNzlkE,"Boza, ELENA ROSE",orióN,en,passion,0.9328,0.9398,0.3445,0.7863,0.8067,0.2346,0,0.6107,0.3274,0.4879,0.943,0.1921
Colombia,1j4XwpoLvqdkWllikDu7Rm,Luis Alberto Posada,Mal Amor,es,love,0.9958,0.9638,0,0.9794,0.2896,0.1628,0.9148,0,0.2513,0.9522,0.6403,0
Colombia,71w26UK674tLfGtJFfDSjE,Arcángel,Ganas De Ti,es,passion,0.964,0.7935,0.5979,0.592,0.9643,0.3294,0.939,0.635,0.5387,0.9521,0.9744,0.2982
Colombia,6r46lnXFbE9fr2d3KNaGbe,Romeo Santos,Imitadora,es,angst,0.8769,0.9835,0.151,0.9771,0.819,0.3921,0.7671,0.4329,0.9776,0.4809,0.9019,0
Colombia,6DUdDIRgLqCGq1DwkNWQTN,Maluma,Borro Cassette,es,passion,0.8938,0.9069,0.2316,0.8874,0.5651,0.4913,0.4456,0.1519,0.8547,0.3042,0.9221,0
Colombia,5DdLSEyKh8zgCrJq2hFj92,"Yan Block, TORRRES",Yo sé,es,angst,0.1853,0.9283,0,0.8717,0.3561,0.5351,0.6956,0,0.554,0.2327,0.9071,0
Colombia,6uLcqYE347zlvXD6rhiM4J,"El Americano 4KT, Kobby",The Flow's Son Black!,es,other,0,0.8149,0,0.7761,0.464,0.2636,0.7573,0,0.3579,0.3427,0.5337,0
Colombia,3u2jlo9kygiIAq7SPVuw6S,Dalmata,Dile a Tu Amiga,es,love,0.8468,0.7993,0.3248,0.2939,0.6398,0.5896,0,0.2995,0.1242,0,0.6951,0.2989
Colombia,52IeC2QBiJqk9jAR5gbe14,"Kris R., GeezyDee, Prodmonja",BOBADITA,unknown,unclassified,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0h54mLixODOqU6vTcZMqVM,"Omar Courtz, ROA",WO OH OH,es,nostalgia,0.9318,0.9339,0.617,0.4175,0.8199,0.5309,0,0.8126,0.9738,0.4832,0.9533,0
Colombia,7qbPQqOYYMPdQqRqv7bNin,Yeison Jimenez,Ya No Mi Amor,es,other,0.9482,0.7772,0.1126,0.949,0.6926,0.2916,0.763,0.1838,0.404,0.6708,0.5504,0.1372
Colombia,7nyk5uxevcijIfl1FlJgmA,Omar Courtz,SI ESTÁS CON ALGUIEN,es,other,0.7007,0.7271,0.1033,0.7951,0.4055,0.5094,0.5663,0.2966,0.59,0.4191,0.7137,0
Colombia,3f4AsGGYt94t7g1lHcsa8D,"Alzate, Yeison Jimenez",Mi Venganza,es,angst,0.8294,0.9796,0.1278,0.9754,0.8649,0.4759,0.9122,0.4275,0.1752,0.9223,0.748,0
Colombia,6NSMQFKgjpQb0KkjMDYIK0,"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),es,passion,0.2314,0.802,0.1757,0,0.5015,0.4387,0,0.1261,0.3085,0.2888,0.8031,0
Colombia,01dFxiEOMTTzim5J3kytjA,"TURY, CARABIN3",CHUCHA,es,angst,0.3439,0.7286,0,0.2843,0.2522,0.4049,0.2628,0,0,0.1432,0.43,0
Colombia,4MUrUT38U98olfnyzMBCzm,Bad Bunny,KLOuFRENS,es,heartbreak,0.9264,0.7282,0.1714,0.962,0.2418,0.1841,0.6864,0,0.7435,0.8349,0.7452,0
Colombia,3mg9jYNC1NihbthlglzrWP,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",57,en,empowerment,0.4079,0.4306,0.4412,0,0.8974,0.7572,0,0.3042,0.2336,0.1144,0.8385,0
Colombia,4Udf3NPZZVggwmVXHcjuqA,Yeison Jimenez,El Mejor Caballo,es,heartbreak,0.8606,0.8696,0.2519,0.9721,0.8821,0.9491,0.4529,0.4434,0.6373,0.2261,0.8638,0
Colombia,72q1JMsCJbKNbWgzipGi6x,"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,unknown,unclassified,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,4aDbrgm1ZaebS1Bb2dOXac,Milo j,Niño,es,heartbreak,0.8104,0.9515,0,0.9789,0.3528,0.1261,0.8578,0.1182,0.9728,0.7215,0.4756,0.4305
Colombia,5AK6QqM8aUXXTk6oY00ZRh,"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,unknown,unclassified,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,5HCk7iruzhQ1FbxyS3igmM,"La Combinación Vallenata, Jean Carlos Centeno",Ayer Y Hoy,unknown,unclassified,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,1tz7RZirwiuaJw2p0jbdHb,Omar Courtz,KOKO,es,solitude,0.7466,0.7059,0.2061,0,0.7295,0.1499,0,0.2694,0.4465,0.9818,0.9675,0
Colombia,482PEx8hfMHSsuGtHd960A,Kapo,OHNANA,es,solitude,0.8513,0.932,0.4478,0.7764,0.6708,0.3957,0.6811,0.2247,0.9355,0.9975,0.9251,0
Colombia,6OaGIYcVzx5c7aEKkuYS1M,"Tony Dize, Yandel",Permítame,es,empowerment,0.4492,0.2806,0.4444,0,0.7574,0.2527,0,0.3862,0.2854,0.5047,0.4675,0.4037
Global,3sK8wGT43QFpWrvNQsrQya,Bad Bunny,DtMF,es,passion,0.8705,0.7411,0.7961,0.5457,0.7136,0.3917,0,0.6442,0.5967,0,0.8821,0.1165
Global,1DwscornXpj8fmOmYVlqZt,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,en,angst,0.7197,0.9593,0.1476,0.6735,0.7401,0.3152,0.6431,0.939,0.5062,0.3201,0.8587,0.1022
Global,5y2ijHECwFYWqcAHKTZgzD,Bruno Mars,Risk It All,en,passion,0.9434,0.5866,0.2861,0,0.9001,0.382,0,0.5861,0,0.2084,0.9706,0
Global,3qhlB30KknSejmIvZZLjOD,Djo,End of Beginning,en,nostalgia,0,0.8807,0,0.952,0,0,0.3827,0,0.9656,0.2533,0.2833,0
Global,1qbmS6ep2hbBRaEZFpn7BX,Olivia Dean,Man I Need,en,empowerment,0.8202,0.8056,0.4927,0.2884,0.8903,0.5223,0.1998,0.8102,0.6573,0.3549,0.7909,0.1715
Global,53iuhJlwXhSER5J2IYYv1W,Taylor Swift,The Fate of Ophelia,en,heartbreak,0.8548,0.926,0.4806,0.9754,0.9567,0.6143,0.7167,0.6854,0.8006,0.9483,0.8998,0
Global,6sGIMrtIzQjdzNndVxe397,Olivia Dean,So Easy (To Fall In Love),en,love,0.9767,0.2349,0.6937,0,0.8763,0.5108,0,0.8132,0.8234,0.4068,0.8627,0.6982
Global,2lTm559tuIvatlT1u0JYG2,Bad Bunny,BAILE INoLVIDABLE,es,party,0.9417,0.8987,0.4153,0.9632,0.6729,0.9892,0.6286,0.2942,0.9,0.7879,0.9381,0.1534
Global,6f68Ac5tt5BQOpwr0BV9oN,Bruno Mars,I Just Might,en,heartbreak,0.6779,0.7982,0.1486,0.9105,0.747,0.4936,0.369,0.3083,0.1876,0,0.6694,0
Global,5TFD2bmFKGhoCRbX61nXY5,Bad Bunny,NUEVAYoL,es,nostalgia,0.6064,0.7417,0.8949,0,0.8672,0.8919,0,0.5258,0.9602,0.5319,0.816,0.5768
Global,7qjZnBKE73H4Oxkopwulqe,sombr,back to friends,en,angst,0.4331,0.9119,0,0.863,0.2656,0.143,0.6766,0.1248,0.8931,0,0.8196,0
Global,7yNf9YjeO5JXUE3JEBgnYc,Dominic Fike,Babydoll,en,angst,0.5863,0.9297,0.1665,0.8637,0.5046,0.1004,0.8253,0.296,0.7517,0.8165,0.6221,0.1329
Global,55lijDD6OAjLFFUHU9tcDm,RAYE,WHERE IS MY HUSBAND!,en,passion,0.807,0.9248,0.4645,0.7864,0.8518,0.4548,0.7885,0.5919,0.8256,0.9302,0.9579,0
Global,3oTuTpF1F3A7rEC6RKsMRz,"Dave, Tems",Raindance (feat. Tems),pt,love,0.9218,0.7116,0.5276,0.4639,0.8003,0.6634,0,0.5517,0.8455,0.5116,0.903,0.3282
Global,1IHWl5LamUGEuP4ozKQSXZ,Bad Bunny,Tití Me Preguntó,es,angst,0.8508,0.9544,0.1479,0.9504,0.5628,0.4194,0.8624,0.1173,0.4877,0.3797,0.7436,0
Global,1rIKgCH4H52lrvDcz50hS8,Zara Larsson,Lush Life,en,heartbreak,0.8825,0.4089,0.5462,0.9562,0.6246,0.6817,0,0.1519,0.7328,0.2327,0.9183,0.1973
Global,2RkZ5LkEzeHGRsmDqKwmaJ,Alex Warren,Ordinary,en,love,0.9969,0.8005,0.9183,0.5757,0.8266,0.2422,0.8434,0.8303,0.3657,0,0.9705,0
Global,1CPZ5BxNNd0n0nF4Orb9JS,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,en,solitude,0.7577,0.8753,0.7564,0.7683,0.9651,0.4731,0.4223,0.9405,0.7286,0.9975,0.894,0.221
Global,6J5kc12BW5HuP3d7C3vvx8,Bad Bunny,EoO,es,nostalgia,0.5536,0.5489,0.6187,0.1103,0.7441,0.4569,0.1006,0.3754,0.9593,0.1305,0.8692,0.21
Global,7so0lgd0zP2Sbgs2d7a1SZ,"Lady Gaga, Bruno Mars",Die With A Smile,en,love,0.9794,0.929,0.1561,0.917,0.5149,0.8332,0.3927,0,0.6315,0,0.9631,0
Global,7ogpGbKc4Io6NCU6ydxXwZ,Alex Warren,FEVER DREAM,en,angst,0.9064,0.9793,0,0.9727,0.513,0.1821,0.9699,0.8022,0.8652,0.8603,0.9338,0
Global,2gYTC8DsplN3RNdpdBcCOQ,SIENNA SPIRO,Die On This Hill,en,love,0.9514,0.8208,0.5098,0.8136,0.7511,0.3027,0.6327,0.5806,0.4697,0.8611,0.7717,0.2609
Global,3FZPp9lBUvhsxFxKJi3VkB,BLACKPINK,GO,en,heartbreak,0.9382,0.778,0.2784,0.9908,0.9688,0.1635,0.5592,0.6528,0,0.8012,0.935,0
Global,6Qyc6fS4DsZjB2mRW9DsQs,The Goo Goo Dolls,Iris,en,heartbreak,0.9086,0.822,0.1849,0.9385,0.3309,0.2006,0.4034,0,0.701,0.5517,0.8995,0
Global,7tICCrK3CcyRFKza7yrR0z,sombr,Homewrecker,en,heartbreak,0.87,0.9136,0,0.9412,0.5159,0.4234,0.5152,0.2845,0.6067,0,0.7979,0
Global,6dOtVTDdiauQNBQEDOtlAB,Billie Eilish,BIRDS OF A FEATHER,en,love,0.9797,0.8511,0.3611,0.8613,0.5001,0.1269,0.439,0.2772,0.7265,0.8431,0.9261,0
Global,1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,en,heartbreak,0.9504,0.9686,0.1769,0.9902,0.6797,0.6257,0.9458,0.2521,0.8456,0.8749,0.9243,0
Global,4WFgvKVfEhb3IUAFGrutTR,Ravyn Lenae,Love Me Not,en,passion,0.879,0.9541,0.1042,0.9329,0.3757,0.295,0.829,0.293,0.52,0,0.9561,0.1002
Global,0myRViRgmQ3J8izICXEAVO,She & Him,I Thought I Saw Your Face Today,en,nostalgia,0.9788,0.4932,0.4776,0.5901,0.6718,0.124,0,0.3116,0.9795,0.1398,0.9309,0.3147
