artist,title,spotify_uri,lyrics,original_lang,length
Malcolm Todd,Earrings,0eAuGrXyGFYwur9ARUe7LJ,"Her love is in your head
You lost your earrings in her bed
You couldn't tell her that you lost 'em
'Cause you're scared and you're not talking
So you think of what to say
Then save it for another day
'Cause you just never had the heart
Now they just drift further apart

From you, oh
From you, oh
From you, oh
From you, oh

Her love is in your head
You lost your earrings in her bed
You couldn't tell her that you lost 'em
'Cause you're scared and you're not talking
So you think of what to say
Then save it for another day
'Cause you just never had thе heart
Now they just drift further apart

(From you, oh) Extra, еxtra, read all about it
Malcolm's in his feelings and he can't get out of it
(From you, oh) Extra, extra, read all about it
Malcolm's in his feelings and he can't get out of it
(From you, oh) Extra, extra, read all about it
Malcolm's in his feelings and he can't get out of it
(From you, oh) Extra, extra, read all about it
Malcolm's in his feelings and he can't get out of it

From you, oh
From you, oh

(From you, oh) Extra, extra, read all about it
Malcolm's in his feelings and he can't get out of it
(From you, oh) Extra, extra, read all about it
Malcolm's in his feelings and he can't get out of it
Can't get out of it, can't get out of it

Okay, well, I hope you like my mixtape",en,1344
"Kendrick Lamar, SZA",luther (with sza),2CGNAOSuO1MEFCbBRgUzjd,,unknown,
The Marías,No One Noticed,3siwsiaEoU4Kuuc9WKMUy5,"Maybe I
Lost my mind
No one noticed
No one noticed

It's getting old (I'd kinda like it if you'd call me)
All alone ('Cause I'm so over bein' lonely)
May have lost it (I need a virtual connection)
I have lost it (Be my video obsession)

No one tried
To read my eyes
No one but you
Wish it weren't true

Maybe I (I'd kinda like it if you'd call me)
It's not right ('Cause I'm so over bein' lonely)
Make you mine (I need a virtual connection)
Take our time (Be my video obsеssion)

Come on, don't leave mе, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city, excited to see your face
Hold me, console me, and then I'll leave without a trace
Come on, don't leave me, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city, excited to see your face
Hold me, console me, then I'll leave without a trace
Come on, don't leave me, it can't be that easy, babe
If you believe me, I guess I'll get on a plane
Fly to your city, excited to see your face
Hold me, console me, and then I'll leave without a trace
(Maybe I) Come on, don't leave me, it can't be that easy, babe
(It's not right) If you believe me, I guess I'll get on a plane
(Make you mine) Fly to your city, excited to see your face
(Take our time) Hold me, console me, and then I'll leave without a trace

I'd kinda like it if you'd call me
(It's not right) 'Cause I'm so over bein' lonely
(Make you mine) I need a virtual connection
(Take our time) Be my video obsession",en,1541
EsDeeKid,4 Raws,554qQSs9lpRVq6TlaaiIKT,"(
Okay
)
(Phew, phew)
(Phew, phew)
(Phew, phew)
Ayy

I'm four man deep in this German
And I'm whippin' it 'round the suburban
Plod are on chase, gotta make the excursion
So I manage this shit like I'm Jürgen
Went from Henny to sippin' on Bourbon
I've switched to a different person
Cut to the chase, now they call me the surgeon
All over the net, I'm a burden

I'm a warlord, kilos under the floorboards
Rammin' the whip through the store door
EsDeeKid, I'm from Mordor
I'm puttin' me name on the scoreboard
Pull up, I've gotten me sword drawn
I'm rotten, I'm sick when I pour fours
Every time I smoke, I light four Raws (
Okay
)

I pull up in that Lamborghini just so you can see me
All these people wanna get dropped on
All these people, they wanna be me
Me leather jacket's from East Asia
And I'm smokin' up on these beast flavours
Got little kiddas and bigger hitters
That'll bang you up for a wee favour

I'm four man deep in this German
And I'm whippin' it 'round the suburban (
Okay
)
Plod are on chase, gotta make the excursion
So I manage this shit like I'm Jürgen (
Okay
)
Went from Henny to sippin' on Bourbon
I've switched to a different person
Cut to the chase, now they call me the surgeon
All over the net, I'm a burden

I'm a scumbag, I was raised in Liverpool slums, lad (
Okay
)
I was broke, no joke, but I spun back
And now I sip this rum and I fund packs (
Okay
)
I'm a dirty dog, I'm a young rat
Year ten, I was out, had to run cash (
Okay
)
PayPal, flip quids for the dumb tax
Catfish as a bitch for the dumb stack
I kept learning, kept lurkin'
Kept whippin' 'round and workin'
Me pockets filled with twenty buds
And GBP, that's Sterling
I'm rolling 'round in spenny cars
Got heavy gas that I'm burnin'
I'm a rockstar with these rocks, lad
I could never beat these urges (
Okay
)

I'm four man deep in this German
And I'm whippin' it 'round the suburban (
Okay
)
Plod are on chase, gotta make the excursion
So I manage this shit like I'm Jürgen (
Okay
)
Went from Henny to sippin' on Bourbon
I've switched to a different person (
Okay
)
Cut to the chase, now they call me the surgeon
All over the net, I'm a burden (
Okay
)

I'm a warlord, kilos under the floorboards (
Okay
)
Rammin' the whip through the store door
EsDeeKid, I'm from Mordor (
Okay
)
I'm puttin' me name on the scoreboard
Pull up, I've gotten me sword drawn (
Okay
)
I'm rotten, I'm sick when I pour fours
Every time I smoke, I light four Raws",en,2534
Addison Rae,Fame is a Gun,7B3BwNecBhKvNwSMOOl7Gk,"Tell me who I am, do I provoke you with my tone of innocence?
Don't ask too many questions, that is my one suggestion
You know I keep it real, I live for the appeal
Knew it from the start, it was the only way to mend my broken heart
Don't ask too many questions, this is my one confession
It never was enough, I always wanted more
I always wanted more

Fame is a gun and I point it blind
Crash and burn, girl, baby, swallow it dry
You got a front row seat and I
I got a taste of the glamorous life

There's no mystery, I'm gonna make it, gonna go down in history
Don't ask too many questions, God gave me the permission
And when you shame me, it makes me want it more
It makes me want it more, more

Fame is a gun and I point it blind (Blind)
Crash and burn, girl, baby, swallow it dry (Dry)
You got a front row seat and I
I got a taste of the glamorous life (Life)
Love is a drug that I can't deny (Deny)
I'm your dream girl, but you're not my type
You got a front row seat and I
I got a taste of the glamorous life (Uh-huh)

Glamorous life
Glamorous life
Glamorous life
I got a taste of the glamorous life

Nothing makes me feel as good
As being loved by you
Nothing makes me feel as good
As being loved by you (Ooh)

Fame is a gun and I point it blind (Blind)
Crash and burn, girl, baby, swallow it dry (Dry)
You got a front row seat and I
I got a taste of the glamorous life (Life)
Love is a drug that I can't deny
I'm your dream girl, but you're not my type
You got a front row seat and I
I got a taste of the glamorous life (Uh-huh)

I got a taste of the glamorous life (Uh-huh)
I got a taste of the glamorous life",en,1667
"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG,"安物のウイスキーが俺の心を癒してくれる
ビーチタオルが物干し竿で揺れている
俺が君に88年型フォードに乗った君の父さんを思い出させるかい？
助手席ではラブラドールがくつろいでいる
君の髪についた砂が俺の目に入ってきて
ビーチのせいにしてくれ　大の男は泣かない
あの壊れた地下室のソファを覚えてるかい？
俺がラブソングを歌っていると君は
君の母さんがどうして指輪を質に入れて出て行ったかを教えてくれるんだ
すべて、すべて覚えているよ

閉店時間の冷え切った態度
君は俺に日が昇るまで一緒に居てほしいと懇願したのに
おかしな言葉が口から零れる
大人の男の心が壊れたときは
写真と過ぎ去った時間
君は飲んでるときだけそんな風に笑うんだ
したくないけど、そうしてしまうよ
君と過ごした夜の、一瞬一秒を思い出す

あなたは心を癒すためなら何でも飲む
でも私の心はいつになったら癒してくれるの？
あなたといると、まるで夏の暑さに熱せられたコンクリートの上を歩いてるようで
二人の魂が出会うとき、それは地獄のように燃え上がる
あなたはあなたがいつも誓っていたような男にはなれないわ
でも、あの88年型フォードで歌うあなたのことを忘れない

閉店時間の冷え切った態度
君は俺に日が昇るまで一緒に居てほしいと懇願したのに
おかしな言葉が口から零れる
大人の男の心が壊れたときは
写真と過ぎ去った時間
君は飲んでるときだけそんな風に笑うんだ
したくないけど、そうしてしまうよ
君と過ごした夜の、一瞬一秒を思い出す
閉店時間の冷え切った態度
君は俺に日が昇るまで一緒に居てほしいと懇願したのに
おかしな言葉が口から零れる
大人の男の心が壊れたときは
写真と過ぎ去った時間
君は飲んでるときだけそんな風に笑うんだ
したくないけど、そうしてしまうよ
君と過ごした夜の、一瞬一秒を思い出す

安物のウイスキーが俺の心を癒してくれる
ビーチタオルが物干し竿で揺れている
俺が君に88年型フォードに乗った君の父さんを思い出させるかい？
助手席ではラブラドールがくつろいでいる",ja,918
Fetty Wap,Trap Queen,2d8JP84HNLKhmd6IYOoupQ,"RGF Productions
Remy Boyz, yah-ah
1738, ayy

I'm like ""Hey, what's up? Hello"" (Ayy)
Seen yo' pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a hundred grams though
Man, I swear I love her, how she work the damn pole
Hit the strip club, we be lettin' bands go
Everybody hatin', we just call them fans, though
In love with the money, I ain't never lettin' go

And I get high with my baby (My baby)
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby (My baby)
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby (My baby)
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby
I be in the kitchen cookin' pies

I'm like, ""Hey, what's up? Hello""
I hit the strip with my trap queen, 'cause all we know is bands
I just might snatch up a 'Rari and buy my boo a Lamb'
I just might snatch her a necklace, drop a couple on a ring
She ain't wantin' for nothin' because I got her everything
It's big ZooWap from the bando
Remind me where I can't go
Remy Boyz got the stamp though
Count up hella them bands though
Boy how far can your bands go?
Fetty Wap, I'm livin' fifty thousand K how I stand though
If you checkin' for my pockets I'm like…

And I get high with my baby (My baby)
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby (My baby)
I be in the kitchen cookin' pies with my baby, yeah
And I can ride with my baby (My baby)
I just left the mall, I'm gettin' fly with my baby, yeah
And I can ride with my baby (My baby)
I be in the kitchen cookin' pies

I'm like, ""Hey, what's up? Hello""
Seen yo' pretty ass soon as you came in the door
I just wanna chill, got a sack for us to roll
Married to the money, introduced her to my stove
Showed her how to whip it, now she remixin' for low
She my trap queen, let her hit the bando
We be countin' up, watch how far them bands go
We just set a goal, talkin' matchin' Lambos
At 56 a gram, 5 a hundred grams though
Man, I swear I love her how she work the damn pole
Hit the strip club, we be lettin' bands go
Everybody hatin', we just call them fans though
In love with the money, I ain't never lettin' go

I be smokin' dope and you know Backwoods what I roll
Remy Boyz, Fetty eatin' shit up, that's fasho
I'll run in ya house, then I'll fuck yo' ho
'Cause Remy Boyz or nothin'
Re-Re-Remy Boyz or nothin', yeah

Yeah, you hear my boy
Soundin' like a zillion bucks on the track
I got whatever on my boy, whatever
Put your money where your mouth is
Money on the wood make the game go good
Money out of sight cause fights
Put up or shut up, huh?
Nitt Da Gritt, huh, RGF Productions
Squad",en,3010
Tame Impala,The Less I Know The Better,6K4t31amVTZDgR3sKmwUJJ,"Someone said they left together
I ran out the door to get her
She was holding hands with Trevor
Not the greatest feeling ever
Said, ""Pull yourself together
You should try your luck with Heather""
Then I heard they slept together
Oh, the less I know the better
The less I know the better

Oh, my love, can't you see yourself by my side?
No surprise, leanin' on his shoulder like every night
Oh, my love, can't you see that you're on my mind?
Don't suppose you could convince your lover to change his mind
So goodbye

She said, ""It's not now or never
Wait ten years, we'll be together""
I said, ""Better late than never
Just don't make me wait forever""
Don't make me wait forever
Don't make me wait forever

Oh, my love, can't you see yourself by my side?
I don't suppose you could convince your lover to change his mind

I was doing fine without ya
'Til I saw your face, now I can't erase
Givin' in to all his bullshit
Is this what you want? Is this who you are?
I was doing fine without ya
'Til I saw your eyes turn away from mine
Oh, sweet darling, where he wants ya

So, come on, Superman, say your stupid line
So, come on, Superman, say your stupid line
So, come on, Superman, say your stupid line",en,1233
"Drake, Wizkid, Kyla",One Dance,1zi7xx7UVEFkmKfv06H8x0,"Senin tarzını seviyorum bebek

Eller belde
Öne ve arkaya
Biliyorsun rol yapmıyorum
Sokaklar güvenli değil
Fakat asla kaçmadım
Uzakta olsam bile
Hayır, hayır, kentin dışında asla yeteri kadar sevgi yok
Tek parça dönmek için dua ediyorum
Dua ediyorum, dua ediyorum

Bu yüzden bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor
Bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor

Senin tarzını seviyorum bebek

Güç ve idare
Arkadaşlarım için bütün dilediğim bu
Benim mahallemden kimse bunu yapamaz
Sessizliği parçalamalıydım
Biliyorsun yanımda kalmalısın
Yazıyı görür görmez bana yanıt ver
Zamanı kavga ederek harcamak istemiyorum
Hiç zamanımız yok

Bu yüzden bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor
Bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor

Güzel bir kız var ve o, beni uzun zamandır seviyor
Dans et, dans et, uzun zamandır
Oh evet, uzun zamandır
Geri geri git, geri geri git, geri geri git ve dans et
Geri geri git, geri geri git, geri geri git ve dans et bebeğim
Geri geri git, geri geri git, geri geri git ve dans et
Oh evet, uzun zamandır
Geri geri git, geri geri git, geri geri git ve dans et bebeğim

Söyle bana
Bilmeliyim, nereye gitmek istiyorsun?
Çünkü eğer istiyorsan, yavaşlayabilirim
Sana kontrolünü kaybettiriyor

Nereye, nereye, nereye
Nereye, nereye, nereye, nereye (Oh evet, uzun zamandır)
Nereye, nereye, nereye (Geri geri git, geri geri git ve dans et bebeğim)
Nereye, nereye, nereye, nereye
Çünkü eğer istiyorsan (Geri geri git, geri geri git ve)
Çünkü eğer istiyorsan (Geri geri git, geri geri git ve)
Çünkü eğer istiyorsan (Geri geri git, geri geri git ve)

Bu yüzden bir dansa ihtiyacım var (
Nereye, nereye, nereye
)
Elimde bir Hennessy var (
Nereye, nereye, nereye, nereye
)
Gitmeden önce bir kez daha (
Nereye
)
Yüksek güçler beni tutuyor (
Nereye, nereye, nereye, nereye
)
Bir dansa ihtiyacım var
Elimde bir Hennessy var
Gitmeden önce bir kez daha
Yüksek güçler beni tutuyor

""Hennessy""i nasıl heceliyorsun?
İki ""N"" ve iki ""S"" koyuyorum, böyle mi? Hen... Henn... Henn...
Kesinlikle çıkmıyor
""Hennessy""nin iki tane ""S""i olduğundan eminim, o yüzden ""N""lerden birini çıkaracağım",tr,2407
"White Noise Radiance, Rain Sounds","Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)",7gF2mPcjipv2hLGHY7bi17,,unknown,
Morgan Wallen,I'm The Problem,7AeM1BGYM7emrqmQn1PuWv,"You say I'll never change
I'm just a-go around town with some gasoline
Just tryin' to bum a flame
Gonna burn the whole place down
And how do you explain
Ever fallin' in love with a guy like me in the first place
Then turn around, say that I'm the worst thing?

I guess I'm the problem
And you're Ms. ""Never Do No Wrong""
If I'm so awful
Then why'd you stick around this long?
And if it's the whiskey
Then why you keep on pullin' it off the shelf?
You hate that when you look at me, you halfway see yourself
And it got me thinkin'
If I'm the problem, well, you might be the reason

We try to go our sеparate ways
And we're back and forth likе a swingin' door
And tomorrow's like yesterday
Some days better than the night before
And you're back with me again
Then you go and tell your friends

That I'm the problem
And you're Ms. ""Never Do No Wrong""
If I'm so awful
Then why'd you stick around this long?
And if it's the whiskey
Then why you keep on pullin' it off the shelf?
You hate that when you look at me, you halfway see yourself
And it got me thinkin'
If I'm the problem, well, you might be the reason

If I'm such a waste of breath, such a waste of time
Then why you on your way to waste another Friday night?

If I'm the problem
And you're Ms. ""Never Do No Wrong""
If I'm so awful
Then why'd you stick around this long?
And if it's the whiskey
Then why you keep on pullin' it off the shelf?
You hate that when you look at me, you halfway see yourself
And it got me thinkin'
If I'm the problem, well, you might be the reason",en,1574
Bad Bunny,VOY A LLeVARTE PA PR,59D4DOkspUbWyMmbAPQkxZ,"Acho, PR es otra cosa
Yo la conocí en Miami, en Brickell
Ella sabe que aquí hay ticket
Quiere que yo se la aplique
Que pa' casa la trafique

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar (Ey, ey)

Aprovecha, quе estoy soltero (Ay), single
Míramе mal si quiere' que te singue
Te vo'a llevar pa' PR to' el finde
Despué' de mí va' a borrar Tinder
Y estoy suelto, mami, estoy suelto
Mírame ahora, perreando un experto
Estoy suelto, mami, estoy suelto, ey, ey, ey
Hoy la calle está prendía', hookah, pastilla molía'
Yo no pierdo tiempo, yo las cambio como ROSALÍA
La que me mira a los ojo' por cinco segundo' ya yo sé que es mía
¿Dónde están las mala'? Que son bienvenía'
'Toy puesto pa'l lío, dime si tú lía'
Tus amiga' y to' el corillo 'tán bien rica'
Pero ese culo tuyo, wow, sobresalía
Salimo' de la disco y estaba de día
Obviamente salí con la que quería, ey
Que viva la putería
Dale pa'trá', pa'trá', tan-tan, chulería, ey
Dime si te va' a montar, pa' la isla tengo el portal
Bien borracho' los tre', baby, a las do' me las vo'a llevar
Oh, oh, me quiere besar, ja, yo que la puse mal
Tírate fotitos ahora porque ahorita te vo'a despeinar
Yeah-eh-eh-eh-eh

Vo'a llevarte pa' PR, mami, pa' que vea' cómo es que se perrea
Tráete a tu amiga si te gusta la idea
Dile que esta noche vamo' a janguear
Que rico la vamo' a pasar
Aquí nadie se va a casar
Pero tú te va' a querer quedar, yeah

Yeah, sí, sí
Esto es PR, mami
Aquí nací yo y el reggaetón, pa' que sepa'
Ey, ey, ey
Voy cazando y muero perreando
Voy cazando y muero perreando
Voy cazando y muero perreando
Que bailen toa' las gata', nos fuimo' algarete
'Tás escuchando al que más le mete
Dale, mami, suéltate el grillete
Ponte en cuatro, que te vo'a dar fuete
Ponte en cuatro, que te vo'a dar fue—",es,1978
Brent Faiyaz,butterflies.,4jyyma8YdFC4S4llusSFRu,"Maybe it's a little bit rushed, but I'm falling in love
Hope that's not too much, but this isn't a crush
I've done that enough, girl, I know that it's real
It's like you fell down from Heaven (Oh, no)
Oh, I've been waiting forever, so long

And I know we can do this together (Talkin', you and me)
How do you feel?
Is it anything like I feel? (Yes or no?)
Is it anything like I feel? (Let me know)
Or should I chill?
How do you feel?
Is it anything like I feel? (Although)
Is it anything like I feel? (Although)

Maybe you might think it's untrue, but I've fallen for you
My mind is a mess, girl, don't know what to do
All of this pressure I'm feeling inside
Ain't this supposed to be painless?
Then why am I so anxious?

I wish we could do this together (Talkin', you and me)
How do you feel?
Is it anything like I feel? (Yes or no?)
Is it anything like I feel? (Let me know)
Or should I chill?
How do you feel?
Is it anything like I feel? (Although)
Is it anything like I feel? (Although, yes or no?)


You were there for everything
That came along with being true
You did a lot of things you wouldn't normally do
While I appreciate how much you give to others
Can't help but wonder, oh
Would they do the same for you?
Girl, you're truly a one-of-one (Superwoman)
But remember to take care of number one (Somehow you're perfect, but don't try to be)
Girl, you're truly a one-of-one (You're the last of your kind)
But remember to take care of number one (For what it's worth, girl, you inspire me)
You are, are Superwoman (Somehow you're perfect, but don't try to be)
And you're the last of your kind (For what's it's worth, girl, you inspire me)
Yeah, you know, know, know that you're Superwoman (Somehow you're perfect, but don't try to be)
You're a dying breed (You're the last of your kind)
For what it's worth, girl, you inspire me",en,1882
Daniel Caesar,Who Knows,6DH13QYXK7lKkYHSU88N48,"I'll probably be a waste of your time, but who knows?
Chances are I'll step out of line, but who knows?
Lately, you've set up in my mind
Yeah, girl, you, and I like that

Lately, I've been thinking that perhaps I am a coward
Hiding in a disguise of an ever-giving flower
Incompetent steward of all of that sweet, sweet power

Yesterday was feeling so good, now it's gone
I'd feel like that always if I could, is that wrong?
Tell me 'bout the city you're from
Is it hot? Does it snow there?

Lately, I've been thinking 'bout my precarious future
Will you be there with me by my side, my girl, my shooter?
Who's to say who calculates? Not me, I'm no computer

Is it a crime to be unsure? (Let me know, let me know, let me know, let me)
In time we'll find (Let me know, let me know, let me know, let me)
If it's sustainable (Let me know, let me know, let me know, let me)
You're pure, you're kind (Let me know, let me know, let me know, let me)
Mature, divine (Let me know, let me know, let me know, let me)
You might be too good for me, unattainable (Let me know, let me know, let me know, let me)

Maybe we get married one day, but who knows?
Think I'll take that thought to the grave, but who knows?
I know that I'll love you always
Yeah, girl you, and I'd like that",en,1294
"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",3GCdLUSnKSMJhs4Tj6CV3s,"Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you? (Haunt)
I know the feeling haunt you (Haunt)

This may be the night that my dreams might let me know
All the stars approach you
All the stars approach you
All the stars approach you
This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

Tell me what you gon' do to me (Do to me)
Confrontation ain't nothin' new to me (New to me)
You can bring a bullet, bring a sword, bring a morgue
But you can't bring the truth to me (Truth to me)
Fuck you and all your expectations (Expectations)
I don't even want your congratulations (Congratulations)
I recognize your false confidence and calculated promises
All in your conversation (Conversation)
I hate people that feel entitled (Entitled)
Look at me crazy 'cause I didn't invite you (Invite you)
Oh, you important? You the moral to the story? You endorsin'?
Mothafucka, I don't even like you (Like you)
Corrupt a man's heart with a gift (With a gift)
That's how you find out who you dealin' with (Dealin' with)
A small percentage who I'm buildin' with (Buildin' with)
I want the credit if I'm losin' or I'm winnin'
On my mama, that's the realest shit

Love, let's talk about love
Is it anything and everything you hoped for?
Or do the feeling haunt you? (Haunt)
I know the feeling haunt you (Haunt)

This may be the night that my dreams might let me know
All the stars approach you
All the stars approach you
All the stars approach you
This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer

Skin covered in ego
Get to talkin' like ya involved
Like a rebound, no control
No off switch in the way that you bringin' me down
It's a turn on, get it away from me
Know you mean wrong, keep away from me
And it's all wrong, get it away from me, yeah, yeah
I just cry for no reason
I just pray for no reason
I just thank for the life, for the day
For the hours and another life breathin'
How did it all go to feel good?
You'd leave it all if it feel bad
Better live your life
We been runnin' out of time

Love, let's talk about love (
Let's talk about love, is
)
Is it anything and everything you hoped for? (
Anything, oh, oh, this
)
Or do the feeling haunt you? (Haunt; 
haunt, haunt
)
I know the feeling haunt you (Haunt)

This may be the night that my dreams might let me know
All the stars approach you
All the stars approach you
All the stars approach you
This may be the night that my dreams might let me know
All the stars are closer
All the stars are closer
All the stars are closer",en,2759
J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr,"First things first: rest in peace, Uncle Phil
For real
You the only father that I ever knew
I get my bitch pregnant, I'ma be a better you
Prophecies that I made way back in the Ville
Fulfilled
Listen, even back when we was broke, my team ill
Martin Luther King woulda been on Dreamville, talk to a nigga

One time for my L.A. sisters
One time for my L.A. ho
Lame niggas can't tell the difference
One time for a nigga who know

Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved

No role models, and I'm here right now
No role models to speak of
Searchin' through my memory, my memory, I couldn't find one
Last night, I was gettin' my feet rubbed by the baddest bitch
Not Trina, but I swear to God, this bitch'll make you call your girl up
And tell her, ""Hey, what's good?
Sorry, I'm never comin' home, I'ma stay for good""
Then hang the phone up and proceed to lay the wood
I came fast like 9-1-1 in White neighborhoods
Ain't got no shame 'bout it
She think I'm spoiled and I'm rich 'cause I can have any bitch
I got defensive and said, ""Nah, I was the same without it""
But then I thought back, back to a better me
Before I was a B-list celebrity
'Fore I started callin' bitches ""bitches"" so heavily
Back when you could get a platinum plaque without no melody, you wadn't sweatin' me

One time for my L.A. sisters
One time for my L.A. ho
Lame niggas can't tell the difference
One time for a nigga who know

Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved

I want a real love, dark-skinned Aunt Viv love
That Jada and that Will love
That leave a toothbrush at your crib love
And you ain't gotta wonder whether that's your kid love
Nigga, I don't want no bitch from reality shows
Out-of-touch-with-reality hoes
Out in Hollywood bringin' back five or six hoes
Fuck 'em then we kick 'em to the do', nigga, you know how it go
She deserved that, she a bird, it's a bird trap
You think if I didn't rap she would flirt back?
Takin' off her skirt, let her wear my shirt 'fore she leave
""I'ma need my shirt back"" (Nigga, you know how it go)

One time for my L.A. sisters
One time for my L.A. ho
Lame niggas can't tell the difference
One time for a nigga who know

Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved

There's an old saying in Tennessee—I know it's in Texas, probably in Tennessee—that says, fool me once... shame on... shame on you
Fool me—can't get fooled again

Fool me one time, shame on you (Ayy)
Fool me twice, can't put the blame on you (Ayy)
Fool me three times, fuck the peace sign
Load the chopper, let it rain on you (Bop, bop, bop)
Fool me one time, shame on you (Ayy)
Fool me twice, can't put the blame on you (Ayy)
Fool me three times, fuck the peace sign
Load the chopper, let it rain on you (Bop, bop, bop)

My only regret was too young for Lisa Bonet
My only regret was too young for Nia Long
Now all I'm left with is hoes from reality shows
Hand her a script, the bitch prolly couldn't read along
My only regret was too young for Sade Adu
My only regret, could never take Aaliyah home
Now all I'm left with is hoes up in Greystone
With the stale face 'cause they know it's they song

She shallow but the pussy deep (She shallow, she shallow)
She shallow but the pussy deep (She shallow), yeah, ayy
(She shallow)
She shallow but the pussy deep (She shallow), haha
(She shallow)
She shallow but the pussy deep (She shallow, she shallow)

Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved
Don't save her, she don't wanna be saved",en,4130
Tame Impala,Dracula,1NXbNEAcPvY5G1xvfN57aA,"Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
(Check it out now)

The morning light is turning blue, the feeling is bizarre (Bizarre)
The night is almost over, I still don't know where you are
The shadows, yeah, they keep me pretty like a movie star
Daylight makes me feel like Dracula (Dracula)

In the end, I hope it's you and me
In the darkness, I would never leave (Ah)
You won't ever see me in the light of day
It's far too late, the time has come

I'm on the verge of caving in, I run back to thе dark
Now I'm Mr. Charisma, fuckin' Pablo Escobar (Escobar)
My friends are saying, ""Shut up, Kevin, just gеt in the car"" (Kevin)
I just wanna be right where you are (Oh, my love)

In the end, I hope it's you and me
In the darkness, I would never leave (I won't leave her)
We both saw this moment comin' from afar
Now here we are

Run from the sunlight, Dracula (Hey)
Run from the sunlight, Dracula (Dracu-Dracula)
Run from the sunlight, Dracula (Run from the sun)
Isn't the view spectacular? (Sunlight, Dracula)

Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh (Check it out now)
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh
Oh-oh-oh-oh-oh, oh-oh-oh-oh-oh

But please, do you think about what it might mean?
'Cause I dream about you in my sleep
Would you ever love someone like me, like me? (Oh)

In the end, I hope it's you and me (Oh)
In the darkness, I would never leave (I won't leave her)
We both saw this moment comin' from afar
Now here we are

So run from the sunlight, Dracula (Hey)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
(Dracu-Dracula)
Run from the sunlight, Dracula (Oh)
Isn't the view spectacular? (Run from the sunlight, Dracula)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
(Dracu-Dracula)
Run from the sunlight, Dracula (Run from the sunlight)
Isn't the view spectacular? (Run from the sunlight, Dracula)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
Run from the sunlight, Dracula (Run from the sunlight, Dracula)
Isn't the view spectacular?",en,2092
