rank,artist,title,region,language,spotify_uri,streams,weeks_on_chart,peak_rank,lyrics
No solo hieres, tú noqueas, tú las vainas las piloteas
Esto se volvió una odisea, tú estás errónea aún que no lo veas
Huele todavía a tu perfume, duele todavía esto me golpea

Un diablo labrado como yo
No vuelvo a enamorarme
Conmigo lo tenías todo
Lo valioso no siempre se ve
De amor na-na, na-na-na-na
Na-na-na-na
Nadie se muere
De amor na-na, na-na-na-na
Na-na-na-na
Nadie se muere

Espero que no te caigas del cielo en el que estás (Huh)
Alright
Yeah, bae
Beéle
Nanpa
Super Da
Soundbwoy"
33,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,Colombia,latin,7koAf6aZgjO6TS7bipfPD0,747831,38,2,"You give me sweet love, babe
O-O-Ovy On The Drums
Or you give me sweet heartbreak

Yo siempre había singa'o (Ah-ah-ah)
Pero contigo es primera vez que hago el amor (Que hago el amor)
Tú me encantas, ma, mucho con demasia'o
Ser el que te despierte a beso', e' un honor
Baby, por favor (Óyelo)

Imagínate tú y yo
Yo y tú, los do'
Bailando esta bien pega'o
Con un Phillie enrola'o
Imagínate tú y yo
Yo y tú, tú, tú, los do'
Bailando esta bien pega'o
Con un Philliе enrola'o

Tu espalda pegá' a mi abdomеn perreando en una esquinita del VIP
Me muerde el labio y me pregunta: ""Do you like it?""
Mami, obvio, si parecemo' novio'
Si me doy otro shot quizás se me escapa un ""I love you""
Pero yo no quiero eso (No)
Por lo meno' hasta ayer eso pensaba
Y eso que soltero estaba melo
Pero Cupido no falló su última bala, esa me dio
Y ahora me tiene mirando arriba, pidiendo a Dio'
Que nunca se acabe este momento perreándono'
Se me está ocurriendo un futuro para los do'
Que empieza esta noche en mi cama singándono'
Y ahora me tiene mirando arriba, pidiendo a Dio'
Que nunca se acabe este momento perreándono'
Se me está ocurriendo un futuro
Pero pa' empezar bajemo' esta bellaquera

Imagínate tú y yo
Yo y tú (Yo y tú), los do' (Los do')
Bailando esta bien pega'o
Con un Phillie enrola'o
Imagínate tú y yo
Yo y tú, tú, tú, los do'
Bailando esta bien pega'o
Con un Phillie enrola'o

En cámara lenta yo te quiero ver
En esta esquinita te vo'a secuestrar
Yo sé, mami, que a ti te gusta el bling-bling
Tenerte de espalda, mami, arrecostá'
En cámara lenta yo te quiero ver
En esa esquinita te vo'a secuestrar
Yo sé, mami, que a ti te gusta el bling-bling
Tenerte de espalda, mami, arrecostá'
To'a mis ganas se me salen
Si me mira' así, me pone mal
Cómo me besa' es to' lo que está bien
Volvamo' a hacerlo, ¿tú te imagina'?
Toa' mis ganas se me salen
Si me mira' así, me pone mal
Besarno' así es to' lo que está bien
Dime pa' qué quedarno' con las gana'

Imagínate tú y yo
Yo y tú, los do'
Bailando esta bien pega'o
Con un Phillie enrola'o
Imagínate tú y yo
Yo y tú, tú, tú, los do'
Bailando esta bien pega'o
Con un Phillie enrola'o

Gu-gu-gu-gu-gu
Aye (Ah)
Quevedo, óyelo
Ovy On The rasta Drums
Rasta Drums, yeah
Beéle, eh-eh, KEITYN
Alright
The Kristoman
Óyelo, Súper Da"
34,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,Colombia,latin,0lMafSfME2iJEE972bsQaK,739865,36,2,"Awoo-woo, awoo-woo
Kybba, how you bad suh

Medellín, háblame, fai
No hay estrés, give me the light
Un gin tonic, gin tonic vamo' a tomar
Yo te robo y te quito la combi Nike (Plo-plo)
Awoo

Bad-bad-bad-bad-bad-bad-bad-bad (Uh)
Pa' to'as las mamacitas que escuchan dancehall
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
Y pa' que to' los manes boten el style
Mai, tú estás rica y bailas una chimba
Las europea', las latina' y las gringa'
Bad-bad-bad-bad-bad-bad-bad-bad (Uh)
Bussin' up the place with me style, bad, bad (Plo-plo-plo)

Yo la conocí bailando en un party de Kybba
Se me pegó y me bailó, la baby es una asesina
Yo le dije: ""Mano' arriba, que esta noche tú ere' mía""
La pegué en lo oscurito, bailándome en la esquina
Una gata felina, los manes le hacen fila
Ella quiere un gangster, le gustan los killa
Ella quiere al ""Awoo"", le gusta mi styla
Y yo le tiro un flow pa' que rompan fila

Bad-bad-bad-bad-bad-bad-bad-bad (Uh)
Pa' to'as las mamacitas que escuchan dancehall
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
Y pa' que to' los manes boten el style
Mai, tú estás rica y bailas una chimba
Las europea', las latina' y las gringa'
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
Bussin' up the place with me style

It could be ever look fresh and ever clean
You seen the gyal them a roppin'
Oh, you mean
Ever controlling the entire scene
And I'm on a poly money, my money real
What you feel is real, you get fi face to steal
Me no steal, boys, I am the real deal
Girl them love me, but give them the real feel
Go down pon a knee, push up bring it back
She want peace and me, me all inna the—
Bad-bad-bad-bad-bad-bad-bad-bad
Yeah, when me put it on she and she put it on me and again in some way
She want me ugly, fi bump the ugly, come here

Bad-bad-bad-bad-bad-bad-bad-bad (Uh)
Anywhere them see me, me and me gun, them a chat (Whoo!)
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
Bussin' up the place with me style, bad, bad (Uh)
Mai, tú estás rica y bailas una chimba
Las europea', las latina' y las gringa'
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
Bussin' up the place with me style, bad, bad (Uh)

Get it lit (Boy), love your vibe (Yeah)
We the best (Boy), give me the light (Yeah)
And we turn it up, turn it up every time (Every time)
And we bust it up, bust it up, watch it hype (Watch it hype), ha

Kybba, how you bad suh"
35,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,Colombia,latin,614NVFo5csQqRnryl4jXs2,716593,31,19,"Eh (W), eh-eh (Y)
Eh (El Father), eh-eh (Haces falta)
¡Los Rompe Discotekas!

Hace mucho tiempo que te quiero ver
Busco la manera de tu cuerpo tener
Ni tu padre ni tu madre te quieren conmigo
Pues hagamos el amor por el teléfono
Hace mucho tiempo que te quiero ver
Busco la manera de tu cuerpo tener
Ni tu padre ni tu madre te quieren conmigo
Pues hagamos el amor por el teléfono

Y solo ten mi número telefónico
Para cuando te sientas sola
Y me llamas a mí, recuerda que
Yo estaré para ti a todas horas
Y solo ten mi número telefónico
Para cuando te sientas sola
Y me llamas a mí, recuerda que
Yo estaré para ti a todas horas (¡Oye, bebé!)

Muñeca, llama por ley (¡Hah!), que de ti tengo sed (¡Buh!)
Quiero tocarte
Enredarte en la red (¡Hah!), pegarte a la pared (¡Buh!)
Pa' devorarte (Ajá)
Entonces suéltate (¡Hah!), lúcete, sedúceme
Vamos, aprovéchate (¡Hah!)
Enciéndete (¡Hah!), libérate y caliéntate (¡Buh!)
Pa' devorarte

Hace mucho tiempo que te quiero ver (Eh-eh)
Busco la manera de tu cuerpo tener (Eh-eh)
Ni tu padre ni tu madre te quieren conmigo
Pues hagamos el amor por el teléfono (Eh, eh-eh-eh)
Hace mucho tiempo que te quiero ver (Eh-eh)
Busco la manera de tu cuerpo tener (Eh-eh)
Ni tu padre ni tu madre te quieren conmigo
Pues hagamos el amor por el teléfono

Ella me llama en asterisco, le gusta el shot y un poco 'e disco
Loca que la coma de un mordisco
Ma', quiero tu zip code, tu número te lo confisco
Chico, tú la llama' y yo la pellizco
Que se aquiete el bizco o te lo tiro por un risco
Ponle este disco y dile que yo vivo arisco
Ese gato tuyo es un peñisco, medio jalisco
Y yo gigante como San Francisco

Y solo ten mi número telefónico
Para cuando te sientas sola
Y me llamas a mí, recuerda que
Yo estaré para ti a todas horas
Y solo ten mi número telefónico
Para cuando te sientas sola
Y me llamas a mí, recuerda que
Yo estaré para ti a todas horas

Hace mucho tiempo que te quiero ver (Eh-eh)
Busco la manera de tu cuerpo tener (Eh-eh)
Ni tu padre ni tu madre te quieren conmigo
Pues hagamos el amor por el teléfono (Eh, eh-eh-eh)
Hace mucho tiempo que te quiero ver (Eh-eh)
Busco la manera de tu cuerpo tener (Eh-eh)
Ni tu padre ni tu madre te quieren conmigo
Pues hagamos el amor por el teléfono

Oiga, payaso
Pa' usted hacer una canción como esta
Es sencillo, tiene que volver a nacer
Hambre y sueño es lo que usted tiene
W ""El Sobreviviente"" con Yandel
Héctor ""El Father""
Oye, bebé, tranquila que no va a haber rebuleo
¿Okey?
Usted anda conmigo, ¡hah!"
36,Herencia De Grandes,Ya Borracho,Colombia,latin,4NyUIohBa3CEMGcXURYSOh,714760,9,36,"Me enamoré y creo que me fui de paso
Hoy me declaro un loco obsesionado
Y no te espantes pues no es nada malo
Pero es que tú eres mi amor anhelado
Cuando te vi sentí algo que ya no había aquí
Quise elegir por mí y me decidí por ti

Y ya borracho me parqueo por tu ventana
Para llevarte las canciones que te encantan
Pa' enamorarte las flores no son tan caras
Pero llevan todo el cariño de mi alma
Que pa' en febrero vendré frente a ti
Con mis preguntas y digas que sí
Hacernos novios y verte feliz y muy contenta como yo por ti

Herencia De Grandes

Pregúntame qué es lo que me enamora
Pa' describirte unas cuántas horas
También pregunta qué quiero contigo
Que seas dichosa al estar conmigo
Y ya borracho contéstame la llamada
Pa' dedicarte unas bonitas palabras
Así borracho me animo a decirte todo
Y puedo describir lo mucho que me encantas
Decirte que me siento muy feliz y emocionado por tenerte a ti
Espero que quieras estar aquí enamorada mirándome a mí
Mirándome a mí"
37,"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,Colombia,latin,1xRRW5ZrL7I9EG8CGZrXHE,711034,8,8,
38,Bad Bunny,NO ME QUIERO CASAR,Colombia,latin,39L3LdlHS3gqB62HPWaJRg,701742,79,19,"Y si tu man te quiere parar, dile que no
Modélale y corre a la disco, yeah
Porque tu man, ah, porque tu man, ah
Porque tu, porque tu, porque tu—
Ey

Que levante la mano to' el que está haciendo dinero
Que venga el Año Nuevo y yo voy a josearlo entero
Un día de estos llega mi amor verdadero
Pero, quiero hacerme rico primero
2026 y yo sigo soltero
W, ando con to' mis vaquero'
Me monté en la Cybertruck y me acordé de la Montero
De los viejos tiempo'
Ya mismo me hago bi sin dejar de ser hetero
Ya mismo vo'a tener un hijo, un heredero
Vo'a extrañar la calle, la disco y el putero
Pero yo voy a seguir hasta que me caiga 'el caballo y se me pierda el sombrero, je
Este año será mejor que el anterior, yo lo sé
Que tú te ve' mejor en ropa interior, yo lo sé, yo lo sé, ey
Yo seré tu amante bandido, Miguel Bosé
Pero hasta ahí, woh, hasta ahí, mami, hasta ahí
Vamo' a vivir el hoy

Porque mañana yo no sé qué va a pasar
Me siento triste, pero se me va a pasar, je
Mi vida está cabrona, ey
Yo no me quiero casar
La-la-la, la-la, la-la
Yo no me quiero casar, ey
Por ahora celibato, voy a gozar un rato
Yo no me quiero casar

2016, arrebata'o con las Cazal
Mi casa algún día seis millone' va a tasar
Al corillo entero lo voy a engrasar
La vida es bonita, la voy a abrazar
Trabajando con cojone', aquí nada fue al azar
Malas vibras pa'l carajo, a mí nadie me va a atrasar, ey
Sorry por bostezar, ey
Pero es que me aburro fácil
Si me gusta, yo lo quiero
Me pongo pa' eso y lo tengo fácil
Una vez me iba a casar
Gracias a Dios que no, wow, diablo, pero casi, ey
Viendo la ciudad de Nueva York monta'o en taxi
Me puse a soñar
Y dije: ""Mi futuro tengo que cambiarlo hoy""

Porque mañana yo no sé qué va a pasar
Me siento triste, pero se me va a pasar, je
Mi vida está cabrona, ey
Yo no me quiero casar
La-la-la, la-la, la-la
Yo no me quiero casar

Y si yo volviera a nacer
Así quisiera ser
Para todas las babies, las ladies

Me gusta el vino tinto, los atardeceres
La risa de mis amigos, la mirada de las mujere'
Que tú quiere' estar conmigo, tú no sabes lo que quiere'
Baby, yo soy un peligro
Ey

Yo por nadie vo'a cambiar, ey
Siempre vo'a campear, mami
Me voy a trampear
Hoy voy pa' la calle, je, acaba'o de recortar
Yo soy Bad Bunny, no fulano de tal
Gracia' a la vida pudimo' conectar
Tú me gustas, no vaya' a malinterpretar
Pero estoy enfoca'o, puesto pa' apretar
Por el momento contigo no puedo estar, je
Yo siempre he sido un hijo 'e puta, desde Head Start, je
Cierra la puerta cuando salga' y pon el ""no molestar""

Oah
Oah
Oh, oah
Oah"
39,Beéle,top diesel,Colombia,latin,2QP041AcWg8PwPIWP95RKN,688171,42,3,"Aye
Uh-uh-uh-uh-uh-uh
Uh

Top diesel, top de cara, top princess (Uh), uh
Pasa que dije algo que escuché en Cap Cana
Dice, dice un bro: (No te–)

""No te vaya' a enamorar""
Yo me dije: ""Why, why?""
Se lo dije al corazón: ""No te vaya' a enamorar""
Y él se ríe, ay, ay

Yo no sé decir que no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)
Yo no sé decir que no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)

Top diesel, top de cara, top princess
(Pero, y ese asfixie que tú tiene', hermanito mío, si viste esa tipa ahora mismo)
(Why, Papa Dios?)

'Toy viendo a la más linda, le haría un hijo con gana'
Si así como baila, chinga, vo'a ser su playlist en la cama
Ella es la más linda, por la noche a su casa
Quiero ir de visita, parcharme a su mamá
Yo hago lo que toque solo si me toca
Me imagino que esto suceda desde que salió de mi boca
Dejo que me enamore', me le pongo romanticón
Si mi tía me ve cachetón, diga: ""Carajo, el amor engorda""
Yo no sabría decir que no, quiero que sea su culpa
Que me ajuicie del borondo y me dé amorcito en pulpa
Hasta lo dijo mi cucha:

No te vaya' a enamorar
Yo me dije: ""Why, why?""
Se lo dije al corazón: ""No te vaya' a enamorar""
Y él se ríe, ay, ay

Yo no sé decir que no
No, no, no, no, no, no, no, no
Ah, no, no, no, no, no, no, no, no
Ah, no, no, no, no, no, no, no, no
Ah, no, no, no, no, no, no, no, no
Ah, no, no, no, no, no, no, no, no
Ah, no, no, no, no, no, no, no, no
Ah, no, no, no, no, no, no, no, no
Ah, no, no, no, no, no, no, no, no"
40,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Colombia,latin,7d6yK8v8J484SWH5prIQiE,680800,61,5,"Freaky girl
Freaky girl
Eh
Ayo, it's Ousi
Yeah-yeah
Dei V, Underwater
Freaky girl

You followed me and I followed you back
You gave me a like and I gave two back
Take that, the other day you put me in your close friends
That’s what you want, babe
I'm heading to the DMs, from the back, side, or front
You look amazing in all your pics
Baby, I'll give it to you now and later too
You posted a story nearby, I’m ready to walk over if I have to, eh
Ooh, babe, I want you to be my wolf
You've got me walking a fine line
Woah-oh, if we go underwatеr, you'll get wet
I'm gonna eat you up likе running a red light

And come on, get ready
Who's paying tonight? Babe, don't worry about it
You're coming, I'm going, just follow me
With that anime-style ass, babe, anime-style
Come on, get ready (Yeah)
Who’s paying tonight? Baby, don’t worry about it
Are you coming or should I come? Just follow me
This is what you've been waiting for
My flirty message

We’ll see if it's true (Ooh-ooh), eh
We'll see if it's true, we’ll see if it's true, we'll see if it's true
Baby
We'll see if it's true (We'll see if it's true), eh

Baby, you do it like you knew how (Like you knew how)
Even you would get turned on if you saw yourself through my eyes
Saw yourself through my eyes

Hey (Hey), you and I are gonna meet, we're gonna get to know each other
We're gonna dance (We're gonna dance), we're gonna drink (We're gonna drink)
We're gonna hook up (We're gonna hook up), then get it on
You're gonna get addicted, and this is gonna get wild
We're gonna end badly, yeah
Because I'm trouble
And because you're hot
But I've got my girls
The ones I don't let go of, but you're loose, yeah
But you're fr—, but-but you're loose, hey (Hey)
You're a pitcher, baby, but I grew up on the mound
You'll be dreaming of me after I eat you up
I'll roll up to your block, lowkey in the Tacoma
Or maybe in the Lambo, living a crazy movie life
Hey (Hey), check the AP, it's always on time
That's why no girl rushes me or tricks me
I'm ready to knock you up right now (Horny)

She showed up all wild, like a white girl in La Perla
Baby, this is Ousi, it's a pleasure to meet you
I'm with Bad Bo, with Dei V, and you're with your girls
And I don't know if it's the weed, but you've got
Those tiny little eyes like Don
I ran my tongue over you like sealing a blunt
Baby, you let loose with tequila and lime
That thing in the back, baby, it's huge, like a Yukon
Close your eyes and think of me
I'm drinking and blazing too
She wants a message that says, ""Come over""
I spend my time staring at that booty online

Baby (Baby), that ass belongs to a boss
And I've always wanted to be a boss
Let's go somewhere no one will notice
So when I hit it, hey (Hit it)

We'll see if it's true
We'll see if it's true, we'll see if it's true, we'll see if it's true
Eh-eh
We'll see if it's true, we'll see if it's true

Baby, you do it like you knew how
Even you would get turned on if you saw yourself through my eyes, saw yourself through my eyes (Eyes)

What? Baby, I heard you get things done
Who leads the new generation?
The multi-platinum league
Bad Bunny, Dei V, Omar Courtz
You know, your idols
You're probably wondering how they do it
You've gotta step it up, boom!

Hey, yeah-yeah
Hey
Close your eyes and think of me, hey
I'm drinking and blazing too
She wants a message that says, ""Come over""
I spend my time staring at that booty online"
41,"Luister La Voz, maikol el insoportable",Ozono,Colombia,latin,4acvrfbXrDPFQNNDnFZnpC,678942,3,41,
42,Yeison Jimenez,Un Perro Enamorado,Colombia,latin,3kcr3teEgyTOVIAxMPOPeO,668288,8,21,"Esto se llama ""Un Perro Enamorado""
Para ti, mi vida, dice así

Es la primera vez que me enamoro así
Así de esta manera que te estoy amando, que te quiero a ti
Es la primera vez que muero de deseo
Y siento que me mata no besar tus labios cuando no te veo
No entiendo qué pasó, mi vida no era así
Ahora no soy el mismo, todo me ha cambiado, pues te tengo a ti

Y empiezo a preguntarme qué pasó
Con el perro enamorado que era yo
¿Qué pasó con el galán que sentía pena
Caminar con unas flores para ella?
Y vuelvo a preguntarme qué pasó
Con el perro enamorado que era yo
Nunca imaginé que un día llegaría la alegría
Que jamás había sentido como hoy

Ay-ay-ay, muchachos
¡Mamacita!
Con el corazón
Oiga, y eso que estoy en sano juicio

¿Y qué pasó?, yo no era así
Y ahora sé que estás aquí
Ahora no soy el mismo, todo me ha cambiado, pues te tengo a ti

Y empiezo a preguntarme qué pasó
Con el perro enamorado que era yo
¿Qué pasó con el galán que sentía pena
Caminar con unas flores para ella?
Y vuelvo a preguntarme qué pasó
Con el perro enamorado que era yo
Nunca imaginé que un día llegaría la alegría
Que jamás había sentido como hoy
Nunca imaginé que un día llegaría la alegría
Que jamás había sentido

Salucita, salucita
Oiga, me empezó a hacer esta güevonada
Ahí sí me preocupa
Como hoy"
43,Arcángel,Pa' Que La Pases Bien,Colombia,latin,1pLCpA1RN8avJxSD3ZCwhj,661883,165,23,"(Pa' que la—Pa' que la pases bien)
Sí, jaja
Oye, yo le pregunté and she said ""yes"", ¡wow!
(Pa' que la—Pa' que la pases bien)
Jaja, ajá
(Arcángel, pa)
Tini-tan-tan-tan
(Tainy; ey; La Maravilla, ajá, aoh)

A ella no le gusta el reggaetón
A ella le gusta cómo canta la sensación
Maravillosamente a la pista se adapta (Ajá)
Con señas, rápido me capta
Llega el chamaquito, el chiquito
El que por cierto no tiene mucho 'e bonito
Pero las gatas se enloquecen cuando canto
No venga' a tirarme que yo 'toy cura'o de espanto

Ella brinca y salta (Cuando yo le doy)
Tranquila (Ella sabe quién soy)
Si me llama (Seguro que voy)
Ponte ready (Que te toca lo tuyo pa' hoy)
Ella brinca y salta (Cuando yo le doy)
Tranquila (Ella sabe quién soy)
Si me llama (Seguro que voy)
Ponte ready (Que te toca lo tuyo pa' hoy; ajá)

Y búscame pa' que la pases bien
Pa' que la—Pa' que la pases bien
Acércate pa' que la pases bien
Pa' que la—Pa' que la pases bien
Y búscame pa' que la pases bien
Pa' que la—Pa' que la pases bien
Acércate pa' que la pases bien
Pa' que la—Pa' que la pases bien (Ajá)

You know, your boy is lookin' good for the ladies (For the ladies)
When I pass by in my new Mercedes (Mercedes)
Swag, te hace falta un masaje
First class, primera clase son mis pasaje'
Vente conmigo pa' que vea' lo que traje
Sensual y a la vez salvaje
Vuelve, mami, recoge tu equipaje (Ajá)
Que de nuevo nos vamo' de viaje (Ey)
Sin demora, quítate el traje
Y a la vez disfruta el paisaje (Sí)
Ahora deshaz tu equipaje
Bienvenida a una nueva misión

Y búscame pa' que la pases bien
Pa' que la—Pa' que la pases bien
Acércate pa' que la pases bien
Pa' que la—Pa' que la pases bien
Y búscame pa' que la pases bien
Pa' que la—Pa' que la pases bien
Acércate pa' que la pases bien
Pa' que la—Pa' que la pases bien

Ella brinca y salta (Cuando yo le doy)
Tranquila (Ella sabe quién soy)
Si me llama (Seguro que voy)
Ponte ready (Que te toca lo tuyo pa' hoy; ajá)
Ella brinca y salta (Cuando yo le doy)
Tranquila (Ella sabe quién soy)
Si me llama (Seguro que voy)
Ponte ready (Que te toca lo tuyo pa' hoy)
(¡Wuh!)

Ey
La Maravilla
Arcángel
El fenómeno musical (Que te toca lo tuyo pa' hoy)
Simplemente te dedica esta canción (Uh) para que tú (Pa' que la—Pa' que la—Pa' que la—Pa' que la—Pa' que la pases bien)
Directamente desde mi Factoría del Flow
Flow Factory, la compañía, ajá
Oh, no
Tainy (Ajá)
Otra amenaza en la música
Ingeniero (Naldy)
Siempre con la calidad (Ajá)
Hyde, Jorgy, jaja, prr
Artillery, ajá, jaja, ah
(Bien, bien-bien, bien-bien-bien-bien-bien-bien-bien-bien-bien-bien-bien-bien—Pa' que la, pa' que la pases bien)"
44,"El Bogueto, Yung Beef",Cuando No Era Cantante,Colombia,latin,6N2iccqxRInhTLHc2Fu3W0,660043,18,22,"Jajajajaja
Jaja, QueHicisteBella

Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
(Antes de que yo me hiciera un gánster)

Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación
Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación

Como antеs, baby, vamo' a hacerlo como antes
Como cuando no era cantantе
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'
Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'

Deja de esconderte, vo'a salir a buscarte
Deja demostrarte que ya no soy el de ante'
Rico vo'a tratarte, lo nuestro, eso e' aparte
Vamo' a hacer deporte, después pa'l restaurante
Baby, vamo' a hacerlo, 'cerlo duro como ante'
Y si tú quiere', mañana puede' olvidarte
Y dale un beso a tu mamá de mi parte
Y si tú quiere', ya sabe' dónde encontrarme

Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
(Antes de que yo fuera un gánster)
(Antes de que yo fuera cantante)

Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor
Como lo hacíamos antes dentro de tu habitación
Mami, extraño tu olor, necesito tu calor
Ven, que yo te quiero hacer el amor
Escuchando de fondo La Mafia del Amor (Prr)
Como lo hacíamos antes dentro de tu habitación (Ah, ah)

Ando por la calle, ando en el joseo
Tú sabes, mami, yo me cuido de los feos
Pendiente a ti, a las otras yo ni las leo
Extraño los perreos dándote de'o
Me tienes preso, ven, dame de eso
Eso a mí me dejó el cora ileso
Te juro que ha sido difícil el proceso
Ando con culos, pero, mami, yo te pienso
Y ahora soy un bandido, pero roto
Vamos pa' la Louis V, yo te la exploto
Ma', todavía tengo las fotos
Estoy loquito por romperte ese toto

(Mami, extraño tu olor, necesito tu calor)
(Ven, que yo te quiero hacer el amor)
(Escuchando de fondo La Mafia del Amor)
(Como lo hacíamos antes dentro de tu habitación)

Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'
Como antes, baby, vamo' a hacerlo como antes
Como cuando no era cantante
Antes de que yo me hiciera un gánster
Antes de ponerte eso' implante'

Jajajajaja
Jaja, QueHicisteBella"
45,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Colombia,latin,6C1RD7YQVvt3YQj0CmuTeu,659861,300,20,"(Prende otro phillie, bebé)

Prende otro phillie, bebé, que ya mismo este se apaga (Ey, yo')
Vamos para el cuarto polvo, ya esto es una saga (Jajaja)
Dice que le gusta hacerlo con mis temas de trap (Oh, yeah)
Y si te preguntan por qué pa'l sexo yo soy tu fav

Diles que yo me sé tus pose' favoritas
Que te hablo malo y que eso te excita
Que te hago todo lo que necesitas pa' hacerte venir
Y dile' que yo me sé tus pose' favorita'
Que te hablo malo y que eso te excita
Que te hago todo lo que necesita' pa' hacerte venir

(¡Farru!)
Dile que soy el baby (Uh), tu novio viste de Old Navy
Yo sí tengo flow, él no tiene flow
Yo a ti te martillo y te doy dembow (Jaja)
Por la noche, cuando él se va
Tú me llamas con la necesidad
Porque te gusta cómo te doy
Tranquila, ma', que por ahí voy ya
Uh-uh-uh-uh
Quiero hacerte cosita' que nunca te han hecho (Te han hecho)
Esta noche conmigo tú tocas el techo (Tocas el techo)
Uh-uh-uh-uh
Cuando te pelean y estás en despecho (Despecho)
Me llamas y yo adentro te la echo (Jajaja)

Dime si tú quieres que yo te ubique en mi cama
Deja el drama, ven y mama
Voy a darte duro hasta por la mañana (Wuh)
Y que comience la acción (La acción; wuh-wuh)
Dame tu ubicación (Ubicación)
Tú sabe' que yo le llego
Y cuando llego, este bicho causa emoción (Auh; wuh)
Le bajo al pozo como Poseidón (Yeah)
Le abro las piernas en el balcón (Auh)
Pa' hablarte claro, ma', tú le mete' cabrón (Yeah)
Me gusta cómo con la boca me pone' el condón (Uh)
Y te queda mejor, mamá, cuando no me pone' na'
Este bicho es tuyo, avanza y corre
Ven y súbete en la torre (La Ma')

Diles que yo me sé tu' pose' favoritas
Que te hablo malo y que eso te excita
Que te hago todo lo que necesitas pa' hacerte venir
Y dile' que yo me sé tus pose' favorita'
Que te hablo malo y que eso te excita
Que te hago todo lo que necesitas pa' hacerte venir

Conozco tus pose'
Hago susurrar todas tus voce' por mi cuello
Se ilumina el camino cuando estrello tu cuerpo junto al mío
Haciendo detener el tiempo, este es el mejor momento
Pose' abajo o arriba, pose' en cuatro, encima o de la'o
Caliente, caliente, dime qué tú sientes
Si te doy de frente, se siente apreta'o
Tu culo pégalo cerca pa' retumbarte completa
Baja y sube en cámara lenta, ma'i

(Bad Bunny)
Vamo' a hacerlo dentro del carro y pichea el hotel (Hotel)
Que tengo ganas, bebé, y no hay tiempo para perder
Cristale' tintia'o, nadie nos va a ver
Estamo' bellaco' y queremo' meter (Wuh)
Tú y yo solitos, dale, apaga el cel'
Que te vo'a hacer lo que no te hace él
Y woh, heh
Los cristale' del carro se empañan
Tu carita de ángel me engaña
Yo soy sano, pero tú me dañas
Y woh (Woh)
Prendió un krippy y se puso lucí'a
Me dio un blowjob mientras conducía
Se trepó y me seducía

Y dile' que yo me sé tu' pose' favorita'
Que te hablo malo y que eso te excita
Que te hago todo lo que necesitas pa' hacerte venir (¡Farru'!)
Y diles (Dile'), que yo me sé tu' pose' favoritas
Que te hablo malo y que eso te excita
Que te hago todo lo que necesitas pa' hacerte venir

Bad Bunny
Bad Bunny
Hear This Music
Hear This Music
Mambo Kingz
Mambo Kingz
DJ Luian
Luian
¡Farru!
Ozuna
(Ozuna)
Ñengo Flow
Arcángel
(ELGENERO.COM)"
