rank,artist,title,region,spotify_uri,lyrics
19,Evangeline Wong,離開我的依賴,Taiwan,23WLgtD54AeluEPRr5muHo,
20,BLACKPINK,Fxxxboy,Taiwan,7m0duH1vdTNxM2g8BLfR0F,"Everybody needs love
Do you, do you really wanna go down that road tonight?
Do you, do you? We already tried it once or twice (Twice, twice, twice)
Just to end up hitting the wall, mm (Oh-oh-oh-oh)

If my signals mixed and messy
Bet you think it's destiny
Call my ex, send late night texts
'Cause I get off on jealousy
Keep your expectations
Underneath the pavement
Guess karma's a bitch
How's it feel? Now I'm the fuckboy

It's the way that it goes
Call me icy, icy, yeah, you made me ice cold, uh
I saw it all, front row
Should've won a prize for thе stories you told
Oh, oh, oh, oh
Played the gamе, but I kept the score
How's it feel? Now I'm the fuckboy

Uh, phone is unavail', unavail'
If you wanna hit me, try my other cell 'cause I ain't pickin' up
Had enough, beep, beep, da-da-da
If you play with my emotions, you already know what's up
I'm so tired of the fake love
Can't no tears ruin my makeup (Say)
Say, how do you sleep knowing
That my love was like heaven 'til you gave me hell? (Oh)

If my signals mixed and messy
Bet you think it's destiny
Call my ex, send late night texts
'Cause I get off on jealousy
Keep your expectations ('Tae, 'tae)
Underneath the pavement
Guess karma's a bitch (
Bitch
)
How's it feel? Now I'm the fuckboy

It's the way that it goes
Call me icy, icy, yeah, you made me ice cold, uh
I saw it all, front row
Should've won a prize for the stories you told
Oh, oh, oh, oh
Played your game, but I kept the score
How's it feel? Now I'm the fuckboy

Ooh, oh
If I told you it's not that serious
Heartbreak builds experience
It's evident that
You burned the bridge, I'm on fire
You set the tone, now I'm louder
I don't like you, I'm just bored
How's it feel? Now I'm the fuckboy

It's the way that it goes
Call me icy, icy, yeah, you made me ice cold, uh (Call me icy)
I saw it all, front row
Should've won a prize for the stories you told
Oh, oh, oh, oh
Played your game, but I kept the score (I did, I did, I did, I did)
How's it feel? Now I'm the fuckboy"
21,IVE,BLACKHOLE,Taiwan,2ytQFMxdreEFPPZTtyDdqM,"Shall it all be sung, be done like this, this, this, this
This, this, this

너의 심장 위에
뿌리내린 순간 (Uh)
뻗어나가 깊게
이 노래가 들리니? Uh-huh
어두운 세상 위에
쏟아지는 glitter (Uh)
목격하고 있어
기적이 틀림없는 것

Keep on running, 위험을 겁내지 마
간직해왔던 불꽃을 일으켜
원한 모든 걸 나와 읊조려봐
빗속에서도 타오를 수 있게

Now, look at me now, look at me now
원하면 뭐든 이뤄지리라
Look at me now, shine like my crown
과감히 all the way

La, la, la-la, love flame, wi-wi-win it my way
두려울 게 없어 내겐 (Ooh) 새로운 걸 보여줄게 (Ah)
La, la, la-la, love flame, wi-wi-win it my way
꿈을 더 꿈꿔봐도 돼 (Ooh) 끝내 현실이 돼 (Ooh)

Ha, ah

발목 잡은 손을 밀쳐내 (Yeah)
움츠렸던 꿈을 펼쳐내 (Yeah)
진흙 속에서도 피는 꽃
찢긴 날개로도 나는 bird like
One, two, three
나를 따라 come with me
흔들리고 부서져도 then finally
So go ahead, baby

Keep on running, 위험을 겁내지 마
간직해왔던 불꽃을 일으켜
원한 모든 걸 나와 읊조려봐
빗속에서도 타오를 수 있게

Now, look at me now, look at me now
원하면 뭐든 이뤄지리라
Look at me now, shine like my crown
과감히 all the way

Oh, oh
Look at me (Now), look at me (Now)
Oh, oh
Look at me (Now), look at me

눈을 감고 손을 잡아
다 보여줄 테니 더 가까이 와
(Hey) I got fire in my eyes, (Hey) 더 똑바로 봐
La-la-la, love flame, la-la-la, love flame (Ooh)
(Hеy) 불을 지핀 건 (Hey) 운명을 쥔 건
La-la-la, love flame, la-la-la, lovе flame (네 손에)

La, la, la-la, love flame, wi-wi-win it my way
흩날리는 빛, 방울에 (Ooh) 밤새도록 춤을 출래 (Ah)
La, la, la-la, love flame, wi-wi-win it my way
오랜 기다림을 끝내 (Ooh) 마침내 우리답게 (Ooh)
Oh, oh
Look at me (Now), look at me (Now)
Oh, oh
Look at you (Now), look at you"
22,黃奇斌,若無你我欲去佗位,Taiwan,76EfpqmO6JUL2TTR1SIGwz,"若無你我欲去佗位
我愛你毋但彼當時
我盡力習慣沒有你
卻無法放過我自己

咱做伙生活的彼跤皮箱
閣寫有你的名字
親像咱猶原鬥陣
是你將咱的愛情攏變做不得已
是我毋情願你離開

最後 傷的是我 吼的是我 閣放我一個人
你好膽 著應我一聲
夠了 誰又能做選擇 (沒有選擇) 痛過 才懂
最後 咱的一切 無應無回 閣拍無一個家
你講過 咱攏袂改變
哪知 你無欲閣轉來 (無法轉來) 是我 應該

若無你我欲去佗位
我也曾想過去找你

咱談情說愛的彼張相片
閣囥佇我的身邊
親像咱猶原鬥陣
是你將咱的愛情攏變做不得已
是我毋情願你離開

最後 傷的是我 吼的是我 閣放我一個人
你好膽 著應我一聲
夠了 誰又能做選擇 痛過 才懂
最後 咱的一切 無應無回 閣拍無一個家
你講過 咱攏袂改變
哪知 你無欲閣轉來 是我 應該

若無你我欲去佗位
我愛你毋但彼當時
我盡力習慣沒有你"
23,"Patrick Brasca, mac ova seas",左轉燈 (1000 Times+1),Taiwan,4UwZyC0wEV6XDEAr9kaQhi,"回憶 降落沒訊號的地方
心入境 在空無一人的機場
留下的謊話 就寫成小說 好嗎
筆下的我是什麼模樣
不想拉扯
身體卻誠實 手還拉著
成為了自己曾經最討厭的那種人

說都說了一千遍 別再見面
卻止不住想念 一再重演
你偷走我習慣的世界怎麼還
算了 我送你我回憶裡的一半
錯都錯了一千遍 就再加一遍
按理說平行線 不應該有交點
在路口打著向左邊轉彎的燈
向右轉

Yeah-yeah, yeah
酒是個壞東西
它操控我拿起了我的手機
左手點開對話框 右手扶到樓梯
今天碰到那個女娃兒很像你
他也穿的球衣
要不要給你發消息
這個想法在我腦殼翻來覆去
太久沒聯繫 現在我不曉得你的坐標
刪除了電話號碼 我不曉得現在是多少
我忘記好多天 像掉進一個圈
I miss you a thousand times
A thousand times plus one
我打的左轉彎的燈 但我在往右轉
愛情是丘比特 他的反面哪個在管
我忘記好多天 像掉進一個圈
I miss you a thousand times
A thousand times plus one

都說了一千遍 別再見面
卻止不住想念 一再重演
你偷走我習慣的世界怎麼還
算了 我送你我回憶裡的一半
錯都錯了一千遍 就再加一遍
按理說平行線 不應該有交點
在路口打著向左邊轉彎的燈
向右轉

Woah-oh-oh
都說了一千遍 都說了一千遍
錯都錯了一千遍 就再加一遍
按理說平行線 不應該有交點
在路口打著向左邊轉彎的燈
向右轉

在路口打著向左邊轉彎的燈
向右轉"
24,Jay Chou,擱淺,Taiwan,0cOMncRq4cmDLO4tPQnkBF,"久未放晴的天空
依舊留著你的笑容
哭過 卻無法掩埋歉疚
風箏在陰天擱淺
想念還在等待救援
我拉著線 複習你給的溫柔

曝曬在一旁的寂寞
笑我給不起承諾
怎麼會 怎麼會
你竟原諒了我

我只能永遠讀著對白
讀著我給你的傷害
我原諒不了我
就請你當作我已不在
我睜開雙眼看著空白
忘記你對我的期待
讀完了依賴 我很快就離開

久未放晴的天空
依舊留著你的笑容
哭過 卻無法埋歉
風箏在陰天擱淺
想念還在等待救援
我拉著線 複習你給的溫柔

曝曬在一旁的寂寞
笑我給不起承諾
怎麼會 怎麼會
你竟原諒了我

我只能永遠讀著對白
讀著我給你的傷害
我原諒不了我
就請你當作我已不在
我睜開雙眼看著空白
忘記你對我的期待
讀完了依賴 我很快就
我只能永遠讀著對白
讀著我給你的傷害
我原諒不了我
就請你當作我已不在
我睜開雙眼看著空白
忘記你對我的期待
讀完了依賴 我很快就離開"
25,BLACKPINK,Me and my,Taiwan,5MXcM263QvCTWriH3nVusc,"We outside every night, just me and my girls, ayy
Way too fine every time, just me and my girls, ayy
Hide your man, we ain't playin', just me and my girls, ayy
Droppin' it, poppin' it, just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls

Just me and my girls, that's a little sitch
Pretty privilege, pop off, she could fizz if she want to
You know that's my girl when I call her bitch
That's a compliment, take over this shit like she was born to
La-la-la-la-la, buyin' out the bar, we some superstars
Everywhere we are, we keep it rеal cute
Mirror on the wall, this ain't from the mall
Courtsidе on the call, we can touch the ball, that's how we move

If we ain't in the spot, ain't a party (Pop)
We gon' make it pop like a lolly
Pull up with a lot, servin' body (Brrt)
Put your hands up if you with me

We outside every night, just me and my girls, ayy
Way too fine every time, just me and my girls, ayy
Hide your man, we ain't playin', just me and my girls, ayy
Droppin' it, poppin' it, just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls

Just me and my day ones, pretty girls walkin' (Walkin')
Golden like we Draymond, they pay us for a walk-in (Walk-in)
Step (Step), step (Step), step into some commas
Yeah (Yeah), yeah (Yeah), boys all wanna holla
I'm one-of-one, not two, in my hottie season (Season)
Givin' 'tude to ya, I don't need no reason (Reason)
Daisy dukes make me speak my mind, I'm beamin' (Beamin')
Kinda cute, glistenin', it's in her being (Hahaha)

If we ain't in the spot, ain't a party (Pop)
We gon' make it pop like a lolly
Pull up with a lot, servin' body (Brrt)
Put your hands up if you with me

We outside every night, just me and my girls, ayy
Way too fine every time, just me and my girls, ayy
Hide your man, we ain't playin', just me and my girls, ayy
Droppin' it, poppin' it, just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls, ayy, ayy
Just me and my girls"
26,KiiiKiii,404 (New Era),Taiwan,24rDDbSlFY9OHrlJb48CRh,"It's your boys, LDN Noise

404, not found in the system
404, the new era, era
404, 좌표 밖의 지점
404, the new era, era
404, 우리 신호는 question
404, 안 떠 radar, radar
404, 백지를 내도 백 점
404, the new era, era

나 잡아봐라, off the Wi-Fi
말을 안 해도, I'm already on this vibe
Always riding low, 안 터져 안테나
경계를 넘어서, 이미 outta town
Yeah, criss-cross, lip gloss
Missed some, 괜찮아, uh, uh
Everyday, 내 방식대로 해
Take my time, bring it on

(Bye) And it feels good, (Bye) all left behind
(Bye) 모든 짐은 다 놔둘게
You know this feeling, 좀 더 크게
Yeah, yeah, keep on surfing

404, not found in the system
404, the new era, era
404, 좌표 밖의 지점
404, the new era, era
404, 백지를 내도 백 점
404, 안 떠 radar, radar
404, not found in thе system
404, the new еra, era

404, all the girlies to the floor
들어 손, 흔들어 몸, wink, wink, 메롱, uh
찾지 못해도 어디든 있잖아Put down your phone, look me in my eyes

(Bye) And it feels good, (Bye) all left behind
(Bye) 모든 짐은 다 놔둘게
You know this feeling, 좀 더 크게
Yeah, yeah, keep on surfing

404, not found in the system
404, the new era, era
404, 좌표 밖의 지점
404, the new era, era
404, 우리 신호는 question
404, 안 떠 radar, radar
404, 백지를 내도 백 점
404, the new era, era

Yeah, that's the 404
Yeah, that's the 404 (Oh-oh)

We can have it all, 골라줘, thirty-one (
Oh, oh
)
Tell me what you want (Tell me what you want)
I know something's up, 너가 원하는 걸 (*너가 원하는 걸*)
Let's run into unknown (Ah, ah)

404, not found in the system
404, the new era, era
404, 좌표 밖의 지점
404, the new era, era
404, 백지를 내도 백 점
404, 안 떠 radar, radar
404, not found in the system
404, the new era, era

Ooh, ah
Ooh, ooh
404, not found in the system
404, the new era, era
Ooh, ah
Ooh, ooh
404, not found in the system
404, the new era, era"
27,Bestards,離開的一路上,Taiwan,1NoDTQhJsrd5rnpb6PQthK,"背影逐漸拉開距離
告別所有與你有關的風景
我很努力
回憶的雨裡忍住淚向前進
愛不再是選擇題 當你已經選擇你
再多深刻的曾經都破碎支離
我只剩下我自己

離開的一路上 我沒忘記
你微笑的臉龐
好像是在告訴著我不應該為誰哭
可能你一個人比較幸福
離開的一路上 反覆想起
燦爛的星空下
對彼此許下過什麼 天真的美麗
今後誰也別提起

清醒在無人的島嶼
明白我和你不過就是一場夢境
別輸不起
揹起了傷心 終究要向前進
愛不再是選擇題 當你已經選擇你
那些愛過的證據都失去蹤影
還有什麼能失去

離開的一路上 我沒忘記
你微笑的臉龐
好像是在告訴著我不應該為誰哭
可能你一個人比較幸福
離開的一路上 反覆想起
燦爛的星空下
對彼此許下過什麼天真的美麗
今後誰也別提起


離開的一路上 我沒忘記
你微笑的臉龐
好像是在告訴著我不應該為誰哭
可能你一個人比較幸福
離開的一路上 反覆想起
燦爛的星空下
對彼此許下過什麼天真的美麗
今後誰也別提起
誰也別提起"
28,Crowd Lu,一夜一夜一夜,Taiwan,3wofqqt5YJWdhLI9IFaX39,"不關燈就不怕天黑
不看訊息就不怕失眠
再夜長夢多都是思念作祟
不聽歌就不會流淚
那些平常不聽的歌曲
為何每一句都像是我和你

你是我的誰
你不是我的誰
我只能這樣地以為

我一夜一夜一夜
一夜一夜沒闔眼
嘴邊說好想要忘掉的一切
在夜深人靜只會變得更明顯
我也也也
也也會心碎
陽光慢慢透進漆黑的房間
在還沒天亮之前 請你不要對我說再見

你是我的誰
你不是我的誰
又怎麼能 在我的心口不停地徘徊
你是我的誰
你不是我的誰
我只能這樣地以為

我一夜一夜一夜
一夜一夜沒闔眼
嘴邊說好想要忘掉的一切
在夜深人靜只會變得更明顯
我也也也
也也會心碎
陽光慢慢透進漆黑的房間
在還沒天亮之前 請你不要對我說再見

在無邊星球漫漫長夜盡頭
我們曾一起面對

一夜一夜一夜
一夜一夜沒闔眼 (一夜一夜沒闔眼)
我也也也
也也會心碎
我一夜一夜一夜
一夜一夜沒闔眼 (一夜一夜沒闔眼)
陽光慢慢透進漆黑的房間
在還沒天亮之前 請你不要對我說再見

不關燈就不怕天黑
不聽歌就不會流淚"
29,JENNIE,like JENNIE,Taiwan,0fK7ie6XwGxQTIkpFoWkd1,"Ha, c'mon, it's gon' be fucking hard

Special edition and your AI couldn't copy
I'm leaving clues in the fittin' room and it's hot tea
No, I'm not thinking 'bout no exes, know they miss me
I got the whole room spinning like it's tipsy
Don't bore us, take you to the chorus

Who wanna rock with JENNIE?
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed like JENNIE?
Like, like, like (JENNIE, JENNIE, JENNIE, JENNIE)
I think I really like (JENNIE, JENNIE, JENNIE)
Haters, they don't really like (JENNIE, JENNIE, JENNIE, JENNIE)
'Cause they could never ever be (JENNIE, JENNIE, JENNIE)
But have you ever met JENNIE, JENNIE, JENNIE, JENNIE?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE, JENNIE

But have you ever met?
But have you ever met?
But have you ever met?

얼말 줘도 못해 서커스짓
포징한번에 만들어 mosh pit
They can't deal with me 'cause I'm priceless
여러 셀럽들 속에 내 DNA
Get, get outta my way
바비가 처키가 되기 전에
Name, shame, blame tryna burst my bubble
터트려봐 그럼 더 큰 홀에서
만나는 거야 제니를 keep shading
예술작품엔 필요해 frame이
I've slayed it, and I graved it
Yes, I'm guilty 잘난 게 죄니 (Mmh)

Who wanna rock with JENNIE?
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed like JENNIE?
Like, like, like
I think I really like JENNIE
Haters, they don't really like JENNIE
'Cause they could never ever be JENNIE
But have you ever met JENNIE, JENNIE, JENNIE, JENNIE?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE
JENNIE, JENNIE, JENNIE
Like JENNIE, JENNIE, JENNIE, JENNIE, JENNIE
Rock with JENNIE
Keep your hair done, nails done like JENNIE
Who else got 'em obsessed, like

But have you ever met JENNIE?
But have you ever met?
JENNIE, JENNIE, JENNIE
It's JENNIE, JENNIE, JENNIE, JENNIE"
30,Crowd Lu,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Taiwan,4F7ZAsndEIJXyFzJUHNlRu,
31,"i-dle, skaiwater",Mono (feat. skaiwater),Taiwan,3VxmXJ4FdtbWI27p3Gx4Wh,"У, у
Мм, а, о

Совсем не важно во что они играют
Ты — тот ритм, что пробивается сквозь всё
И именно смысл звучит громче
Не беспокойся ни о чём, я настроюсь на тебя
Не позволяй шуму мешать тебе
Ты — ритм, который им не заменить
Приглуши свои мысли
Пусть поёт твоё сердцебиение

Справа ты
Или слева
С востока или запада
Гетеро или гей
Каждый день и ночь
Танцуй под свой настоящий вайб
Убавь эффекты
Пусть всё затихнет и весь мир заиграет в «моно»

Ла-ла-ла-ла-ла-да
Ла-ла-ла-ла-ла-ла-ла-ла
Ла-ла-ла-ла-ла-да
Потому что любовь громче в «моно»
Ла-ла-ла-ла-ла-да
Ла-ла-ла-ла-ла
Ла-ла-ла-ла-ла-да-ла

Прибавь музыку (Прибавь)
Пусть все услышат мой ритм
Любовь и танцы в моём доме (Доме)
Детка, мы можем вывести вечеринку на наружу, для всех
Дай мне шанс
Танцуй, как все остальные (О)
Я знаю, что ты чувствуешь то же, что и я, о-о

Справа ты (О-о)
Или слева
С востока или запада (О-о)
Гетеро или гей
Каждый день и ночь (О-о)
Танцуй под свой настоящий вайб
Убавь эффекты (О-о)
Пусть всё затихнет и весь мир заиграет в «моно» (Моно)

Ла-ла-ла-ла-ла-да
Ла-ла-ла-ла-ла-ла-ла-ла (Ла-ла-ла)
Ла-ла-ла-ла-ла-да
Потому что любовь громче в «моно» (Любовь громче в «моно»)
Ла-ла-ла-ла-ла-да
Ла-ла-ла-ла-ла (Ла-ла-ла)
Ла-ла-ла-ла-ла-да-ла
Потому что любовь громче в «моно» (Любовь громче в «моно»)

Мы виним, забываем, жалеем, но кого ты слышишь на самом деле?
Слова не смогли достучаться до тебя
Мы виним, забываем, жалеем, давай же выключим всё
Ты ведь знаешь, что рождён, чтобы любить

(Ла-ла-ла-ла-ла-ла-да) Итак, как ты определяешь свою гендерную идентичность?
(Ла-ла-ла-ла-ла-ла-ла-ла-ла) Я определяюсь как она/её
(Ла-ла-ла-ла-ла-ла-да) Я определяюсь как он/его
(Ла-ла-ла-ла-ла-ла-ла-ла-ла-ла) Классно
(Ла-ла-ла-ла-ла-ла-да) Лично я не знаю никого, кто определяет себя как они/их, но мне кажется...
(Ла-ла-ла-ла-ла-ла) Я считаю, что важно просто оставаться собой
(Ла-ла-ла-ла-ла-ла-ла) Точно
Когда ты любишь себя, можешь полюбить и окружающих

Справа ты (Справа)
Или слева (Или слева)
С востока или запада (А, да)
Гетеро или гей
Каждый день и ночь (Ночь)
Танцуй под свой настоящий вайб
Убавь эффекты (Убавь)
Пусть всё затихнет и весь мир заиграет в «моно»"
32,EggPlantEgg,閣愛妳一擺,Taiwan,4Zwn8WxD61diTwqv9hyTQA,"過了盈暗 欲和別人結婚
聽講妳已經有 別人的子孫
結果嘛是行到最後一步
著是妳有翁 我猶袂有某
想起彼時 妳是歹甲有賰
拄著我是 妳好命的天份
結果嘛是行到最後一步
著是越頭走 莫閣再耽誤

毋知妳是佇佗位
我想欲 聽妳溫柔的聲音 (Oh)
以後我會當做毋捌妳
無咱的過去

若是彼工 是我來牽起妳的手
著毋是這馬 是伊來完成妳的要求
若是彼工 是我對愛情無相讓
妳敢會轉來 做伙的所在
我愛妳無問題 問題是妳毋是我的
我有影毋知好歹 閣想欲愛妳一擺

過了盈暗 欲和別人結婚
聽講妳已經有 別人的子孫
結果嘛是行到最後一步
著是妳有翁 我猶袂有某

毋知妳是佇佗位
我想欲聽妳溫柔的聲音
以後我會當做毋捌妳
無咱的過去

若是彼工 是我來牽起妳的手
著毋是這馬 是伊來完成妳的要求
若是彼工 是我對愛情無相讓
妳敢會轉來 做伙的所在
我愛妳無問題 問題是妳毋是我的
我有影毋知好歹 閣想欲愛妳一擺
若是彼工 是我來牽起妳的手
(著毋是這馬 是伊來完成妳的要求)
若是彼工 是我對愛情無相讓
(妳敢會轉來 做伙的所在)
我愛妳無問題 問題是妳毋是我的
我有影毋知好歹 閣想欲愛妳一擺

閣愛妳一擺 閣愛妳一擺 閣愛妳一擺
閣愛妳一擺 閣愛妳一擺 閣愛妳一擺
閣愛妳一擺 閣愛妳一擺 閣愛妳一擺"
33,Stefanie Sun,遇見,Taiwan,3xJK8ywApYVEYIDhymYMC6,"聽見 冬天 的離開
我在某年某月醒過來
我想 我等 我期待
未來卻不能因此安排
陰天 傍晚 車窗外
未來有一個人在等待
向左 向右 向前看
愛要拐幾個彎才來

我遇見誰 會有怎樣的對白
我等的人 他在多遠的未來
我聽見風 來自地鐵和人海
我排著隊 拿著愛的號碼牌

陰天 傍晚 車窗外
未來有一個人在等待
向左 向右 向前看
愛要拐幾個彎才來

我遇見誰 會有怎樣的對白
我等的人 他在多遠的未來
我聽見風 來自地鐵和人海
我排著隊 拿著愛的號碼牌


我往前飛 飛過一片時間海
我們也曾 在愛情裡受傷害
我看著路 夢的入口有點窄
我遇見你 是最美麗的意外

總有一天 我的謎底會揭開"
34,CORTIS,GO!,Taiwan,6OWWZtNQORY1McaZmOrwhc,"우린 필요 없어 다른 sign
Paint the town, 초록색의 lights
페달에 발을 올려, 마치 bike

I just gotta get it
Watch me go, go, go, go, go, go
I just gotta get it
Watch me go, go, go, go, go, go
I just gotta get it

가져와 new beat
가져와 new hit
가져와 new sheet
만들어 new shit
가져와 new beat
가져와 new hit
가져와 new sheet
I'm on the new shit

(Ya, shh) 바지 내려 입고 우린 studio로 가지 (Uh, uh)
Drippy, 고장 난 듯 배수관이, yeah, yeah
불러와 new wave, Poseidon같이 (Uh, uh)
Martin
 (
That's so fire
), 
play that beat
 (
That's so fire
)
Yeah, 작업실에서 불을 피워, 밤도 대낮같이 (Yeah)
우린 오늘 만들었지, and this track is so sick (So sick)
Level 좀 더 키워, 이 노래는 달려 도시를 (Yeah)

우린 필요 없어 다른 sign (Yeah, okay)
Paint the town, 초록색의 lights (Yeah, lights)
페달에 발을 올려, 마치 bike (Yeah, yeah)

I just gotta get it
Watch me go, go, go, go, go, go
I just gotta get it
Watch me go, go, go, go, go, go
I just gotta get it (Yеah)

어렸을 때부터 난 동네서 좀 특이했어 (Fah-fah-fah-fah-fah; ew)
Yeah, 맘은 이미 popstar back at 중이 때 (Yeah, yеah, yeah, yeah)
우린 모자 눌러쓰고 new era 추진해 (Eh)
우릴 보고 엄질 들어, 모든 구시대, yeah
Watch me, I'm gon' spit it, pop and pop, 난 지금 hit mode
Hitman처럼 hit 만들고 싶어서 난 reload
 (Yeah, yeah)
치키치키, reload (Right), uh-uh, reload
신호 주면 바로 던져넣어, 마치 free throw

우린 필요 없어 다른 sign
Paint the town, 초록색의 lights
페달에 발을 올려, 마치 bike

I just gotta get it
Watch me go, go, go, go, go, go
I just gotta get it
Watch me go, go, go, go, go, go
I just gotta get it

가져와 new beat
가져와 new hit
가져와 new sheet
만들어 new shit
가져와 new beat
가져와 new hit
가져와 new sheet
I'm on the new shit"
35,Stefanie Sun,我懷念的,Taiwan,7z2M7DsEjZjwXBkWG3zd21,"我問為什麼 那女孩傳簡訊給我
而你為什麼 不解釋低著頭沉默
我該相信你很愛我 不願意敷衍我
還是明白你已不想挽回什麼
想問為什麼 我不再是你的快樂
可是為什麼 卻苦笑說我都懂了
自尊常常將人拖著 把愛都走曲折
假裝了解是怕 真相太赤裸裸
狼狽比失去難受

我懷念的 是無話不說
我懷念的 是一起作夢
我懷念的 是爭吵以後
還是想要愛你的衝動
我記得那年生日
也記得那一首歌
記得那片星空
最緊的右手 最暖的胸口 (Ooh, ooh)

誰記得 誰忘了

想問為什麼 我不再是你的快樂
可是為什麼 卻苦笑說我都懂了
自尊常常將人拖著 把愛都走曲折 (Ah-ah, hah-ah-ah)
假裝了解是怕 真相太赤裸裸 (Hah-ah-ah)
狼狽比失去難受

我懷念的 是無話不說
我懷念的 是一起作夢
我懷念的 是爭吵以後 (Uh, 爭吵以後)
還是想要愛你的衝動
我記得那年生日 也記得那一首歌
記得那片星空 最緊的右手 最暖的胸口
誰忘了
我懷念的 是無言感動
我懷念的 是絕對熾熱
我懷念的 是你很激動
求我原諒抱得我都痛
我記得你在背後 也記得我顫抖著
記得感覺洶湧 最美的煙火 最長的相擁

誰愛得太自由 (誰愛得太自由)
誰過頭太遠了 (誰過頭太遠了)
誰要走我的心 (誰要走我的心)
誰忘了那就是承諾
誰自顧自地走 (誰自顧自地走)
誰忘了看著我 (誰忘了看著我)
誰讓愛變沉重 (誰讓愛變沉重)
誰忘了要給你溫柔

Woah, ooh, woah
我懷念的
我還有想要愛你的衝動
我記得那年生日 也記得那一首歌
記得那片星空 最緊的右手 最暖的胸口

我放手
我讓座
假灑脫
誰懂我多麼不捨得
太愛了
所以我
沒有哭
沒有說"
36,ROSÉ,toxic till the end,Taiwan,1z5ebC9238uGoBgzYyvGpQ,"Call us what we are, toxic from the start
Can't pretend that I was in the dark
When you met my friends, didn't even try with them
I should've known right then

That you were jealous and possessive
So manipulatin'
Honestly, impressive
You had me participatin'

Back then, when I was runnin' out of your place
I said, ""I never wanna see your face""
I meant I couldn't wait to see it again
We were toxic till the end
Uh-huh, 'cause even when I said it was over
You heard, ""Baby, can you pull me in closеr?""
You were plotting how to stay in my head
Wе were toxic till the end

Ladies and gentlemen
I present to you
The ex

His favourite game is chess, who would ever guess?
Playing with the pieces in my chest
Now he's on the screen and saying, ""Don't leave""
You stole that line from me

'Cause you're just jealous and possessive
So manipulatin'
Honestly, impressive
You had me participatin'

Back then, when I was runnin' out of your place
I said, ""I never wanna see your face""
I meant I couldn't wait to see it again
We were toxic till the end
Uh-huh, 'cause even when I said it was over
You heard, ""Baby, can you pull me in closer?""
You were plotting how to stay in my head
We were toxic till the end, end, end

I can forgive you for a lot of things
For not giving me back my Tiffany rings
I'll never forgive you for one thing, my dear
You wasted my prettiest years

Back then, when I was runnin' out of your place
I said, ""I never wanna see your face""
I meant I couldn't wait to see it again
We were toxic
Uh-huh, 'cause even when I said it was over
You heard, ""Baby, can you pull me in closer?""
You were plotting how to stay in my head
We were toxic till the end, end, end
We were toxic till the end, end, end"
