rank,artist,title,region,language,spotify_uri
57,"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,Colombia,es,2Mgur7BKnpr7OG3izSNFTA
58,"CARABIN3, SVNTI",MUSA,Colombia,es,0QuHK1VvIZ1Kt2GfqRrdVo
59,Arcángel,Me Prefieres A Mi,Colombia,es,3GhmL9fuM8jwGcHCFbeo3v
60,"Blessd, GeezyDee",DIOMEDEZ,Colombia,es,6qDTm2QbRSLlSmaUSJE6bF
61,Bad Bunny,NUEVAYoL,Colombia,es,5TFD2bmFKGhoCRbX61nXY5
62,"Kris R., ROA",PASIÓN Y SEXO,Colombia,es,4pjkZyNZnOJEPpBmzOqTC2
63,Kapo,NO CRY,Colombia,es,4YM3IYESNKXWYHbPXvMMVD
64,Rels B,TU VAS SIN (fav),Colombia,es,6uiQ0DqbXTBc8tl0AUKZkR
65,"Blessd, J Alvarez",FANÁTICO,Colombia,es,0e3d2UZRjtvviXWWMRYGQo
66,"Blessd, Ovy On The Drums",Mírame,Colombia,es,2btNsI4OvcVl7SAHQQDHFB
67,Ñengo Flow,En Las Noches Frias,Colombia,es,0a0JiZejbYYem1W31fldde
68,"Tony Dize, Plan B",Solos,Colombia,es,3CbiuLMBPM6uV4a7HvkOib
69,"KAROL G, Feid",Verano Rosa,Colombia,es,0nafF9MxcXJBQWv3BTKtdF
70,Danny Ocean,Me Rehúso,Colombia,es,6ifUES3keWjwXgae8pXI3o
71,"Yan Block, Panda Black",444,Colombia,es,1o4xkdBe0RjSf2u6VXi4OI
72,"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,Colombia,en,13BDiikG6y5o5cQTK0HpW6
73,Willie Colón,Idilio,Colombia,es,5iwgEFKEktjBBZV3C9TTZj
74,"Yan Block, Panda Black",Talento,Colombia,es,7sChwC2NZjGc2Kdni3hlDg
75,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Colombia,es,0l0vcZMU7AOeQmUIREoI2U
76,"Boza, ELENA ROSE",orióN,Colombia,en,4feh4Ak3ZJfC6ibxkNzlkE
77,Luis Alberto Posada,Mal Amor,Colombia,es,1j4XwpoLvqdkWllikDu7Rm
78,Arcángel,Ganas De Ti,Colombia,es,71w26UK674tLfGtJFfDSjE
79,Romeo Santos,Imitadora,Colombia,es,6r46lnXFbE9fr2d3KNaGbe
80,Maluma,Borro Cassette,Colombia,es,6DUdDIRgLqCGq1DwkNWQTN
81,"Yan Block, TORRRES",Yo sé,Colombia,es,5DdLSEyKh8zgCrJq2hFj92
82,"El Americano 4KT, Kobby",The Flow's Son Black!,Colombia,es,6uLcqYE347zlvXD6rhiM4J
83,Dalmata,Dile a Tu Amiga,Colombia,es,3u2jlo9kygiIAq7SPVuw6S
84,"Kris R., GeezyDee, Prodmonja",BOBADITA,Colombia,unknown,52IeC2QBiJqk9jAR5gbe14
85,"Omar Courtz, ROA",WO OH OH,Colombia,es,0h54mLixODOqU6vTcZMqVM
86,Yeison Jimenez,Ya No Mi Amor,Colombia,es,7qbPQqOYYMPdQqRqv7bNin
87,Omar Courtz,SI ESTÁS CON ALGUIEN,Colombia,es,7nyk5uxevcijIfl1FlJgmA
88,"Alzate, Yeison Jimenez",Mi Venganza,Colombia,es,3f4AsGGYt94t7g1lHcsa8D
89,"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Colombia,es,6NSMQFKgjpQb0KkjMDYIK0
90,"TURY, CARABIN3",CHUCHA,Colombia,es,01dFxiEOMTTzim5J3kytjA
91,Bad Bunny,KLOuFRENS,Colombia,es,4MUrUT38U98olfnyzMBCzm
92,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,Colombia,en,3mg9jYNC1NihbthlglzrWP
93,Yeison Jimenez,El Mejor Caballo,Colombia,es,4Udf3NPZZVggwmVXHcjuqA
94,"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,Colombia,unknown,72q1JMsCJbKNbWgzipGi6x
95,Milo j,Niño,Colombia,es,4aDbrgm1ZaebS1Bb2dOXac
96,"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,Colombia,unknown,5AK6QqM8aUXXTk6oY00ZRh
97,"La Combinación Vallenata, Jean Carlos Centeno",Ayer Y Hoy,Colombia,unknown,5HCk7iruzhQ1FbxyS3igmM
98,Omar Courtz,KOKO,Colombia,es,1tz7RZirwiuaJw2p0jbdHb
99,Kapo,OHNANA,Colombia,es,482PEx8hfMHSsuGtHd960A
100,"Tony Dize, Yandel",Permítame,Colombia,es,6OaGIYcVzx5c7aEKkuYS1M
1,Bad Bunny,DtMF,Global,es,3sK8wGT43QFpWrvNQsrQya
2,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,Global,en,1DwscornXpj8fmOmYVlqZt
3,Bruno Mars,Risk It All,Global,en,5y2ijHECwFYWqcAHKTZgzD
4,Djo,End of Beginning,Global,en,3qhlB30KknSejmIvZZLjOD
5,Olivia Dean,Man I Need,Global,en,1qbmS6ep2hbBRaEZFpn7BX
6,Taylor Swift,The Fate of Ophelia,Global,en,53iuhJlwXhSER5J2IYYv1W
7,Olivia Dean,So Easy (To Fall In Love),Global,en,6sGIMrtIzQjdzNndVxe397
8,Bad Bunny,BAILE INoLVIDABLE,Global,es,2lTm559tuIvatlT1u0JYG2
9,Bruno Mars,I Just Might,Global,en,6f68Ac5tt5BQOpwr0BV9oN
10,Bad Bunny,NUEVAYoL,Global,es,5TFD2bmFKGhoCRbX61nXY5
11,sombr,back to friends,Global,en,7qjZnBKE73H4Oxkopwulqe
12,Dominic Fike,Babydoll,Global,en,7yNf9YjeO5JXUE3JEBgnYc
13,RAYE,WHERE IS MY HUSBAND!,Global,en,55lijDD6OAjLFFUHU9tcDm
14,"Dave, Tems",Raindance (feat. Tems),Global,pt,3oTuTpF1F3A7rEC6RKsMRz
15,Bad Bunny,Tití Me Preguntó,Global,es,1IHWl5LamUGEuP4ozKQSXZ
16,Zara Larsson,Lush Life,Global,en,1rIKgCH4H52lrvDcz50hS8
17,Alex Warren,Ordinary,Global,en,2RkZ5LkEzeHGRsmDqKwmaJ
18,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,Global,en,1CPZ5BxNNd0n0nF4Orb9JS
19,Bad Bunny,EoO,Global,es,6J5kc12BW5HuP3d7C3vvx8
20,"Lady Gaga, Bruno Mars",Die With A Smile,Global,en,7so0lgd0zP2Sbgs2d7a1SZ
21,Alex Warren,FEVER DREAM,Global,en,7ogpGbKc4Io6NCU6ydxXwZ
22,SIENNA SPIRO,Die On This Hill,Global,en,2gYTC8DsplN3RNdpdBcCOQ
23,BLACKPINK,GO,Global,en,3FZPp9lBUvhsxFxKJi3VkB
24,The Goo Goo Dolls,Iris,Global,en,6Qyc6fS4DsZjB2mRW9DsQs
25,sombr,Homewrecker,Global,en,7tICCrK3CcyRFKza7yrR0z
26,Billie Eilish,BIRDS OF A FEATHER,Global,en,6dOtVTDdiauQNBQEDOtlAB
27,The Police,Every Breath You Take,Global,en,1JSTJqkT5qHq8MDJnJbRE1
28,Ravyn Lenae,Love Me Not,Global,en,4WFgvKVfEhb3IUAFGrutTR
29,She & Him,I Thought I Saw Your Face Today,Global,en,0myRViRgmQ3J8izICXEAVO
30,Sabrina Carpenter,Manchild,Global,en,2BwO5K8Q7EPAJSGze3AAh9
31,Bad Bunny,VOY A LLeVARTE PA PR,Global,es,59D4DOkspUbWyMmbAPQkxZ
32,sombr,12 to 12,Global,en,05od2qm2MTSKCHxy1GBp5W
33,Gigi Perez,Sailor Song,Global,en,21IYMdzTrzSe191Cy5eMap
34,Taylor Swift,Opalite,Global,en,3yWuTOYDztXjZxdE2cIRUa
35,Bella Kay,iloveitiloveitiloveit,Global,en,5IMpnpD0tQVcqWlVIgtAtV
36,The Neighbourhood,Sweater Weather,Global,en,0cQVqPuHQP4KEwc7ZUQmj6
37,Billie Eilish,WILDFLOWER,Global,en,3QaPy1KgI7nu9FJEQUgn6h
38,Radiohead,Creep,Global,en,70LcF31zb1H0PyJoS1Sx1r
39,Bruno Mars,That's What I Like,Global,en,0KKkJNfGyhkQ5aFogxQAPU
40,"J Balvin, Bad Bunny",LA CANCIÓN,Global,es,0fea68AdmYNygeTGI4RC18
41,"Disco Lines, Tinashe",No Broke Boys,Global,en,3cZajhyr8LmtPfHZ9296tj
42,"Drake, Wizkid, Kyla",One Dance,Global,tr,1zi7xx7UVEFkmKfv06H8x0
43,Benson Boone,Beautiful Things,Global,en,3xkHsmpQCBMytMJNiDf3Ii
44,Ella Langley,Choosin' Texas,Global,en,65DbTqJKhbwqYbZ1Okr0rc
45,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,Global,unknown,2pbSCYzxrG0wa6qcj8IyiE
46,Bruno Mars,Cha Cha Cha,Global,en,6QletrrmpkUpeJkipX9pgf
47,Don Toliver,E85,Global,en,3B4cjvGlPvyBLNG3AzEgkZ
48,Bruno Mars,Locked out of Heaven,Global,en,5g7sDjBhZ4I3gcFIpkrLuI
49,Jin,Don’t Say You Love Me,Global,en,27xkOIER6uDLKALIelHylZ
50,Arctic Monkeys,I Wanna Be Yours,Global,en,5XeFesFbtLpXzIVDNQP22n
51,The Killers,Mr. Brightside,Global,en,003vvx7Niy0yvhvHt4a68B
52,"Sean Paul, Keyshia Cole",(When You Gonna) Give It Up to Me - Radio Version,Global,en,5nEdwtSv0qqeE0l4o1lR4q
53,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",Global,en,7CyPwkp0oE8Ro9Dd5CUDjW
54,Coldplay,Yellow,Global,en,3AJwUDP919kvQ9QcozQPxg
55,Bruno Mars,God Was Showing Off,Global,en,1sVBT215CDmVJvfy1E2OCU
56,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Global,es,0l0vcZMU7AOeQmUIREoI2U
57,"El Bogueto, Yung Beef",Cuando No Era Cantante,Global,es,6N2iccqxRInhTLHc2Fu3W0
58,Sabrina Carpenter,Espresso,Global,en,2HRqTpkrJO5ggZyyK6NPWz
59,KATSEYE,Gabriela,Global,en,1xOqGUkyxGQRdCvGpvWKmL
60,Fleetwood Mac,Dreams - 2004 Remaster,Global,it,0ofHAoxe9vBkTCp2UQIavz
61,Jimin,Who,Global,en,7tI8dRuH2Yc6RuoTjxo4dU
62,"Peso Pluma, Tito Double P",dopamina,Global,es,3e32UUqXzrI4g2y5kNZrwC
63,BLACKPINK,JUMP,Global,en,5H1sKFMzDeMtXwND3V6hRY
64,"The Weeknd, Daft Punk",Starboy,Global,tr,7MXVkk9YMctZqd1Srtv4MB
65,Coldplay,Sparks,Global,en,7D0RhFcb3CrfPuTJ0obrod
66,"Ryan Castro, Kapo, Gangsta",LA VILLA,Global,es,2ZyrAym0sRLwt4PhGotHuI
67,Harry Styles,As It Was,Global,en,4Dvkj6JhhA12EX05fT7y2e
68,"ROSÉ, Bruno Mars",APT.,Global,en,4wJ5Qq0jBN4ajy7ouZIV1c
69,Dominic Fike,White Keys,Global,en,5ViLKrbyL3HD6wsq3AB9eI
70,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Global,en,7d6yK8v8J484SWH5prIQiE
71,Teddy Swims,Lose Control,Global,en,17phhZDn6oGtzMe56NuWvj
72,"Gorillaz, De La Soul",Feel Good Inc.,Global,en,0d28khcov6AiegSCpG5TuT
73,"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",Global,en,3GCdLUSnKSMJhs4Tj6CV3s
74,Vance Joy,Riptide,Global,en,2uXlHCUbq9OMUwx3hrk06o
75,Arctic Monkeys,505,Global,en,58ge6dfP91o9oXMzq3XkIS
76,Daniel Caesar,Who Knows,Global,en,6DH13QYXK7lKkYHSU88N48
77,sombr,undressed,Global,en,0TFTAtCYhp2tQ9KcJIZb55
78,Bruno Mars,Why You Wanna Fight?,Global,en,3Ac4AjYkqsvop2ydbSAhTX
79,Addison Rae,Fame is a Gun,Global,en,7B3BwNecBhKvNwSMOOl7Gk
80,Herencia De Grandes,Ya Borracho,Global,es,4NyUIohBa3CEMGcXURYSOh
81,Linkin Park,In the End,Global,en,60a0Rd6pjrkxjPbaKzXjfq
82,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),Global,ru,2HRgqmZQC0MC7GeNuDIXHN
83,Bruno Mars,Dance With Me,Global,en,1myZ6GQewhAzMH2dKtKSWK
84,Michael Jackson,Billie Jean,Global,en,7J1uxwnxfQLu4APicE5Rnj
85,Nadhif Basalamah,kota ini tak sama tanpamu,Global,id,13CwOTXUgBugeBByE9oIWb
86,Lord Huron,The Night We Met,Global,en,5yJaXWIErrrsjQ3J0eR5aK
87,"Peso Pluma, Tito Double P",daño,Global,es,136BeIIoBGrrU9fI1jbcDR
88,Bruno Mars,Just the Way You Are,Global,en,7BqBn9nzAq8spo5e7cZ0dJ
89,Neton Vega,Pvta Luna,Global,es,33MeEaRCeIQMSRyFTr5ZJU
90,Gracie Abrams,That’s So True,Global,en,7ne4VBA60CxGM75vw0EYad
91,"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,Global,en,6iOndD4OFo7GkaDypWQIou
92,The Marías,No One Noticed,Global,en,3siwsiaEoU4Kuuc9WKMUy5
93,BLACKPINK,Champion,Global,en,43BJVWcBzHRIDaQCg7abnX
94,"Peso Pluma, Tito Double P",7-3,Global,es,4lzo6zPM2paqyP8oBp3DOs
95,Don Toliver,Body,Global,en,0FlcmZ13DGRmscCroro9GO
96,Lenin Ramírez,Todo Lo Fue,Global,es,0Sa8aRfGckW0qUGLrBwoBG
97,"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),Global,tr,0FIDCNYYjNvPVimz5icugS
98,Coldplay,Viva La Vida,Global,en,1mea3bSkSGXuIRvnydlB5b
99,Lil Uzi Vert,What You Saying,Global,en,7cjoZVmWe2xsGR4wcXiV2v
100,Bruno Mars,On My Soul,Global,en,4i4BVY2JiH4mDSLIBdNGKD
1,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),Taiwan,en,7G7mSV4BebkoHWwKTDvXu9
2,BLACKPINK,GO,Taiwan,en,3FZPp9lBUvhsxFxKJi3VkB
3,Jin,Don’t Say You Love Me,Taiwan,en,27xkOIER6uDLKALIelHylZ
4,A-Lin,幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲,Taiwan,unknown,3VHi5bCUek6XdiDmqqrirs
5,Jimin,Who,Taiwan,en,7tI8dRuH2Yc6RuoTjxo4dU
6,Crowd Lu,太陽與地球,Taiwan,zh,0bQSWXtpau3VkNI1ZcXTQA
7,Pei-Yu Hung,再見的時候 - 電影〈陽光女子合唱團〉主題曲-再見版,Taiwan,unknown,3IBYp3fKyydZ5dDtirLY6P
8,Hearts2Hearts,RUDE!,Taiwan,en,0WA27lZzPKFJKAbiDRmQDc
9,IVE,BANG BANG,Taiwan,ko,7pBE8YpFoZ9ankC2Ci5z9X
10,BLACKPINK,Champion,Taiwan,en,43BJVWcBzHRIDaQCg7abnX
11,Khalil Fong,特別的人,Taiwan,zh,0VTzUEuHYD8s7CgQ15cDPo
12,BLACKPINK,JUMP,Taiwan,en,5H1sKFMzDeMtXwND3V6hRY
13,V,Slow Dancing,Taiwan,ko,5h1BN75CEh8wdSwE1xrbSe
14,Patrick Brasca,單程票,Taiwan,unknown,3woBOD3Ldh81fAwpsnD8yC
15,"Top Barry, INDEcompany",一半一半,Taiwan,zh,21x0N6lu6D9kO8rVtTU3mH
16,V,Love Me Again,Taiwan,ko,2N0SPREDYqILVEFSsWF5N5
17,HWASA,Good Goodbye,Taiwan,ko,3cLXrotzCjYCkN73PewALM
18,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,Taiwan,en,1CPZ5BxNNd0n0nF4Orb9JS
19,Evangeline Wong,離開我的依賴,Taiwan,unknown,23WLgtD54AeluEPRr5muHo
20,BLACKPINK,Fxxxboy,Taiwan,en,7m0duH1vdTNxM2g8BLfR0F
21,IVE,BLACKHOLE,Taiwan,ko,2ytQFMxdreEFPPZTtyDdqM
22,黃奇斌,若無你我欲去佗位,Taiwan,zh,76EfpqmO6JUL2TTR1SIGwz
23,"Patrick Brasca, mac ova seas",左轉燈 (1000 Times+1),Taiwan,zh,4UwZyC0wEV6XDEAr9kaQhi
24,Jay Chou,擱淺,Taiwan,zh,0cOMncRq4cmDLO4tPQnkBF
25,BLACKPINK,Me and my,Taiwan,en,5MXcM263QvCTWriH3nVusc
26,KiiiKiii,404 (New Era),Taiwan,ko,24rDDbSlFY9OHrlJb48CRh
27,Bestards,離開的一路上,Taiwan,zh,1NoDTQhJsrd5rnpb6PQthK
28,Crowd Lu,一夜一夜一夜,Taiwan,zh,3wofqqt5YJWdhLI9IFaX39
29,JENNIE,like JENNIE,Taiwan,en,0fK7ie6XwGxQTIkpFoWkd1
30,Crowd Lu,幾分之幾 - 電影<花甲大人轉男孩>主題曲,Taiwan,unknown,4F7ZAsndEIJXyFzJUHNlRu
31,"i-dle, skaiwater",Mono (feat. skaiwater),Taiwan,ru,3VxmXJ4FdtbWI27p3Gx4Wh
32,EggPlantEgg,閣愛妳一擺,Taiwan,zh,4Zwn8WxD61diTwqv9hyTQA
33,Stefanie Sun,遇見,Taiwan,zh,3xJK8ywApYVEYIDhymYMC6
34,CORTIS,GO!,Taiwan,ko,6OWWZtNQORY1McaZmOrwhc
35,Stefanie Sun,我懷念的,Taiwan,zh,7z2M7DsEjZjwXBkWG3zd21
36,ROSÉ,toxic till the end,Taiwan,en,1z5ebC9238uGoBgzYyvGpQ
37,BABYMONSTER,PSYCHO,Taiwan,ko,491ca80N1C63tpoLvAsLKb
38,Khalil Fong,愛愛愛,Taiwan,zh,59lBAMCis4C6NsPdUV35Vz
39,"LE SSERAFIM, j-hope",SPAGHETTI,Taiwan,en,2N9miXnewVmUrgl6JSK1FI
40,"Patrick Brasca, 陳華",你沒等我去的舊金山,Taiwan,unknown,1aNVW0fujBVx7JTorTO1jn
41,Bestards,不是因為天氣晴朗才愛你,Taiwan,zh,2VEt42QSQxILgEf9B50xxm
42,aespa,Whiplash,Taiwan,en,7Cnpb1vBbC46RgVyyKLH7p
43,Amazing Show,愛情的大壞蛋,Taiwan,zh,5HVq8nS0pbM6G7YK8M7DY4
44,Jay Chou,晴天,Taiwan,zh,5pIcwtJYNJx93l420oR2Vm
45,A-Mei Chang,連名帶姓,Taiwan,unknown,3LlQoKvVnkVvq3KC8anUn8
46,陳粒,小半,Taiwan,unknown,3QxWTqyIT4O9bokIZlNDpo
47,BABYMONSTER,WE GO UP,Taiwan,en,1tonXoW6dcb7GGNpec3PTl
48,"Jay Chou, Lara Liang",珊瑚海,Taiwan,vi,3Qj9Fy8BPbWmICTiNkuqB7
49,Pets Tseng,一個人想著一個人,Taiwan,unknown,3n3zzFH7zzO0gJNaw4RKSm
50,ILLIT,NOT CUTE ANYMORE,Taiwan,ko,1k0JAiH11gHL9dc5dfQjQr
51,张远,看着我的眼睛说,Taiwan,zh,7d6eShN6yVeR4Y2Md9uCA4
52,Stefanie Sun,開始懂了,Taiwan,zh,68tZwwRuo9ip5gRQFG1XWF
53,David Tao,愛我還是他,Taiwan,unknown,13bw75oRjvxMv9VGIeM32i
54,LBI利比,Jumping Machine (跳楼机),Taiwan,zh,1XZE0InCx3SdCnLpVsPpZl
55,Bruno Mars,Risk It All,Taiwan,en,5y2ijHECwFYWqcAHKTZgzD
56,JOLIN,布拉格廣場 - JOLIN Version/ 星宇航空布拉格開航主題曲,Taiwan,unknown,0HnESxAFR5lTHioAlI7wo3
57,EggPlantEgg,浪流連,Taiwan,zh,1IS0WFyiVpwsATeSzjEvpI
58,Sam Lee,痴心絕對,Taiwan,unknown,0D0n4q2o54VTOmDJdL6ikY
59,Djo,End of Beginning,Taiwan,en,3qhlB30KknSejmIvZZLjOD
60,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,Taiwan,en,1DwscornXpj8fmOmYVlqZt
61,EggPlantEgg,愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),Taiwan,unknown,6m2I6ZyWRkxjBrrLVQILfl
62,"Firdhaus, DIOR 大穎",在加納共和國離婚,Taiwan,zh,6GyUt7yJ0sOktc5HjvVnFh
63,icyball 冰球樂團,不在乎,Taiwan,unknown,1t2mpO9GpLjRHDDX6SFWRn
64,Jay Chou,楓,Taiwan,gd,1pALOIA4ytESmhl7Fxjdic
65,"马也_Crabbit, Cole先生",海屿你,Taiwan,unknown,6UO9nrihAk6sFGvVHDVTz8
66,艾薇 Ivy,天使借的溫柔,Taiwan,unknown,3ITUmRLMjxf3ZqCPSDD2gk
67,Taylor Swift,The Fate of Ophelia,Taiwan,en,53iuhJlwXhSER5J2IYYv1W
68,LNGSHOT,Moonwalkin',Taiwan,ko,46V2ciN6F5bxjQWityNhkY
69,"ROSÉ, Bruno Mars",APT.,Taiwan,en,4wJ5Qq0jBN4ajy7ouZIV1c
70,G.E.M.,多遠都要在一起,Taiwan,zh,55d0jw269HE9pbOt5ntCo8
71,Joker Xue,演员,Taiwan,zh,5Sib99jpYybZAicUMETb3h
72,张远,嘉賓,Taiwan,zh,5jAmIkIpskwu2hRz2YaEHi
73,CORTIS,FaSHioN,Taiwan,ko,4ecdsGz3Hg6TKPwQ0ZOdJz
74,Taylor Swift,Opalite,Taiwan,en,3yWuTOYDztXjZxdE2cIRUa
