artist,title,language,spotify_uri
"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",es,0JoHqmlqE0W0i9prt6kcHR
"Danny Ocean, Kapo",Imagínate,es,7ns16ylM6sbxo9ZWIwyE5d
"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,es,2Mgur7BKnpr7OG3izSNFTA
"CARABIN3, SVNTI",MUSA,es,0QuHK1VvIZ1Kt2GfqRrdVo
Arcángel,Me Prefieres A Mi,es,3GhmL9fuM8jwGcHCFbeo3v
"Blessd, GeezyDee",DIOMEDEZ,es,6qDTm2QbRSLlSmaUSJE6bF
Bad Bunny,NUEVAYoL,es,5TFD2bmFKGhoCRbX61nXY5
"Kris R., ROA",PASIÓN Y SEXO,es,4pjkZyNZnOJEPpBmzOqTC2
Kapo,NO CRY,es,4YM3IYESNKXWYHbPXvMMVD
Rels B,TU VAS SIN (fav),es,6uiQ0DqbXTBc8tl0AUKZkR
"Blessd, J Alvarez",FANÁTICO,es,0e3d2UZRjtvviXWWMRYGQo
"Blessd, Ovy On The Drums",Mírame,es,2btNsI4OvcVl7SAHQQDHFB
Ñengo Flow,En Las Noches Frias,es,0a0JiZejbYYem1W31fldde
"Tony Dize, Plan B",Solos,es,3CbiuLMBPM6uV4a7HvkOib
"KAROL G, Feid",Verano Rosa,es,0nafF9MxcXJBQWv3BTKtdF
Danny Ocean,Me Rehúso,es,6ifUES3keWjwXgae8pXI3o
"Yan Block, Panda Black",444,es,1o4xkdBe0RjSf2u6VXi4OI
"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,en,13BDiikG6y5o5cQTK0HpW6
Willie Colón,Idilio,es,5iwgEFKEktjBBZV3C9TTZj
"Yan Block, Panda Black",Talento,es,7sChwC2NZjGc2Kdni3hlDg
"Rauw Alejandro, Bad Bunny",Qué Pasaría...,es,0l0vcZMU7AOeQmUIREoI2U
"Boza, ELENA ROSE",orióN,en,4feh4Ak3ZJfC6ibxkNzlkE
Luis Alberto Posada,Mal Amor,es,1j4XwpoLvqdkWllikDu7Rm
Arcángel,Ganas De Ti,es,71w26UK674tLfGtJFfDSjE
Romeo Santos,Imitadora,es,6r46lnXFbE9fr2d3KNaGbe
Maluma,Borro Cassette,es,6DUdDIRgLqCGq1DwkNWQTN
"Yan Block, TORRRES",Yo sé,es,5DdLSEyKh8zgCrJq2hFj92
"El Americano 4KT, Kobby",The Flow's Son Black!,es,6uLcqYE347zlvXD6rhiM4J
Dalmata,Dile a Tu Amiga,es,3u2jlo9kygiIAq7SPVuw6S
"Kris R., GeezyDee, Prodmonja",BOBADITA,unknown,52IeC2QBiJqk9jAR5gbe14
"Omar Courtz, ROA",WO OH OH,es,0h54mLixODOqU6vTcZMqVM
Yeison Jimenez,Ya No Mi Amor,es,7qbPQqOYYMPdQqRqv7bNin
Omar Courtz,SI ESTÁS CON ALGUIEN,es,7nyk5uxevcijIfl1FlJgmA
"Alzate, Yeison Jimenez",Mi Venganza,es,3f4AsGGYt94t7g1lHcsa8D
"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),es,6NSMQFKgjpQb0KkjMDYIK0
"TURY, CARABIN3",CHUCHA,es,01dFxiEOMTTzim5J3kytjA
Bad Bunny,KLOuFRENS,es,4MUrUT38U98olfnyzMBCzm
"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,en,3mg9jYNC1NihbthlglzrWP
Yeison Jimenez,El Mejor Caballo,es,4Udf3NPZZVggwmVXHcjuqA
"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,unknown,72q1JMsCJbKNbWgzipGi6x
Milo j,Niño,es,4aDbrgm1ZaebS1Bb2dOXac
"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,unknown,5AK6QqM8aUXXTk6oY00ZRh
"La Combinación Vallenata, Jean Carlos Centeno",Ayer Y Hoy,unknown,5HCk7iruzhQ1FbxyS3igmM
Omar Courtz,KOKO,es,1tz7RZirwiuaJw2p0jbdHb
Kapo,OHNANA,es,482PEx8hfMHSsuGtHd960A
"Tony Dize, Yandel",Permítame,es,6OaGIYcVzx5c7aEKkuYS1M
Bad Bunny,DtMF,es,3sK8wGT43QFpWrvNQsrQya
"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,en,1DwscornXpj8fmOmYVlqZt
Bruno Mars,Risk It All,en,5y2ijHECwFYWqcAHKTZgzD
Djo,End of Beginning,en,3qhlB30KknSejmIvZZLjOD
Olivia Dean,Man I Need,en,1qbmS6ep2hbBRaEZFpn7BX
Taylor Swift,The Fate of Ophelia,en,53iuhJlwXhSER5J2IYYv1W
Olivia Dean,So Easy (To Fall In Love),en,6sGIMrtIzQjdzNndVxe397
Bad Bunny,BAILE INoLVIDABLE,es,2lTm559tuIvatlT1u0JYG2
Bruno Mars,I Just Might,so,6f68Ac5tt5BQOpwr0BV9oN
Bad Bunny,NUEVAYoL,es,5TFD2bmFKGhoCRbX61nXY5
sombr,back to friends,en,7qjZnBKE73H4Oxkopwulqe
Dominic Fike,Babydoll,en,7yNf9YjeO5JXUE3JEBgnYc
RAYE,WHERE IS MY HUSBAND!,en,55lijDD6OAjLFFUHU9tcDm
"Dave, Tems",Raindance (feat. Tems),pt,3oTuTpF1F3A7rEC6RKsMRz
Bad Bunny,Tití Me Preguntó,es,1IHWl5LamUGEuP4ozKQSXZ
Zara Larsson,Lush Life,en,1rIKgCH4H52lrvDcz50hS8
Alex Warren,Ordinary,en,2RkZ5LkEzeHGRsmDqKwmaJ
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,en,1CPZ5BxNNd0n0nF4Orb9JS
Bad Bunny,EoO,es,6J5kc12BW5HuP3d7C3vvx8
"Lady Gaga, Bruno Mars",Die With A Smile,en,7so0lgd0zP2Sbgs2d7a1SZ
Alex Warren,FEVER DREAM,en,7ogpGbKc4Io6NCU6ydxXwZ
SIENNA SPIRO,Die On This Hill,en,2gYTC8DsplN3RNdpdBcCOQ
BLACKPINK,GO,en,3FZPp9lBUvhsxFxKJi3VkB
The Goo Goo Dolls,Iris,en,6Qyc6fS4DsZjB2mRW9DsQs
sombr,Homewrecker,en,7tICCrK3CcyRFKza7yrR0z
Billie Eilish,BIRDS OF A FEATHER,en,6dOtVTDdiauQNBQEDOtlAB
The Police,Every Breath You Take,en,1JSTJqkT5qHq8MDJnJbRE1
Ravyn Lenae,Love Me Not,en,4WFgvKVfEhb3IUAFGrutTR
She & Him,I Thought I Saw Your Face Today,en,0myRViRgmQ3J8izICXEAVO
Sabrina Carpenter,Manchild,en,2BwO5K8Q7EPAJSGze3AAh9
Bad Bunny,VOY A LLeVARTE PA PR,es,59D4DOkspUbWyMmbAPQkxZ
sombr,12 to 12,en,05od2qm2MTSKCHxy1GBp5W
Gigi Perez,Sailor Song,en,21IYMdzTrzSe191Cy5eMap
Taylor Swift,Opalite,en,3yWuTOYDztXjZxdE2cIRUa
Bella Kay,iloveitiloveitiloveit,en,5IMpnpD0tQVcqWlVIgtAtV
The Neighbourhood,Sweater Weather,en,0cQVqPuHQP4KEwc7ZUQmj6
Billie Eilish,WILDFLOWER,en,3QaPy1KgI7nu9FJEQUgn6h
Radiohead,Creep,en,70LcF31zb1H0PyJoS1Sx1r
Bruno Mars,That's What I Like,en,0KKkJNfGyhkQ5aFogxQAPU
"J Balvin, Bad Bunny",LA CANCIÓN,es,0fea68AdmYNygeTGI4RC18
"Disco Lines, Tinashe",No Broke Boys,en,3cZajhyr8LmtPfHZ9296tj
"Drake, Wizkid, Kyla",One Dance,tr,1zi7xx7UVEFkmKfv06H8x0
Benson Boone,Beautiful Things,en,3xkHsmpQCBMytMJNiDf3Ii
Ella Langley,Choosin' Texas,en,65DbTqJKhbwqYbZ1Okr0rc
"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,unknown,2pbSCYzxrG0wa6qcj8IyiE
Bruno Mars,Cha Cha Cha,en,6QletrrmpkUpeJkipX9pgf
Don Toliver,E85,en,3B4cjvGlPvyBLNG3AzEgkZ
Bruno Mars,Locked out of Heaven,en,5g7sDjBhZ4I3gcFIpkrLuI
Jin,Don’t Say You Love Me,en,27xkOIER6uDLKALIelHylZ
Arctic Monkeys,I Wanna Be Yours,en,5XeFesFbtLpXzIVDNQP22n
The Killers,Mr. Brightside,en,003vvx7Niy0yvhvHt4a68B
"Sean Paul, Keyshia Cole",(When You Gonna) Give It Up to Me - Radio Version,en,5nEdwtSv0qqeE0l4o1lR4q
"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",en,7CyPwkp0oE8Ro9Dd5CUDjW
Coldplay,Yellow,en,3AJwUDP919kvQ9QcozQPxg
Bruno Mars,God Was Showing Off,en,1sVBT215CDmVJvfy1E2OCU
"Rauw Alejandro, Bad Bunny",Qué Pasaría...,es,0l0vcZMU7AOeQmUIREoI2U
"El Bogueto, Yung Beef",Cuando No Era Cantante,es,6N2iccqxRInhTLHc2Fu3W0
Sabrina Carpenter,Espresso,en,2HRqTpkrJO5ggZyyK6NPWz
KATSEYE,Gabriela,en,1xOqGUkyxGQRdCvGpvWKmL
Fleetwood Mac,Dreams - 2004 Remaster,en,0ofHAoxe9vBkTCp2UQIavz
Jimin,Who,en,7tI8dRuH2Yc6RuoTjxo4dU
"Peso Pluma, Tito Double P",dopamina,es,3e32UUqXzrI4g2y5kNZrwC
BLACKPINK,JUMP,en,5H1sKFMzDeMtXwND3V6hRY
"The Weeknd, Daft Punk",Starboy,tr,7MXVkk9YMctZqd1Srtv4MB
Coldplay,Sparks,en,7D0RhFcb3CrfPuTJ0obrod
"Ryan Castro, Kapo, Gangsta",LA VILLA,it,2ZyrAym0sRLwt4PhGotHuI
Harry Styles,As It Was,en,4Dvkj6JhhA12EX05fT7y2e
"ROSÉ, Bruno Mars",APT.,id,4wJ5Qq0jBN4ajy7ouZIV1c
Dominic Fike,White Keys,en,5ViLKrbyL3HD6wsq3AB9eI
"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,en,7d6yK8v8J484SWH5prIQiE
Teddy Swims,Lose Control,en,17phhZDn6oGtzMe56NuWvj
"Gorillaz, De La Soul",Feel Good Inc.,so,0d28khcov6AiegSCpG5TuT
"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",en,3GCdLUSnKSMJhs4Tj6CV3s
Vance Joy,Riptide,en,2uXlHCUbq9OMUwx3hrk06o
Arctic Monkeys,505,en,58ge6dfP91o9oXMzq3XkIS
Daniel Caesar,Who Knows,en,6DH13QYXK7lKkYHSU88N48
sombr,undressed,en,0TFTAtCYhp2tQ9KcJIZb55
Bruno Mars,Why You Wanna Fight?,en,3Ac4AjYkqsvop2ydbSAhTX
Addison Rae,Fame is a Gun,en,7B3BwNecBhKvNwSMOOl7Gk
Herencia De Grandes,Ya Borracho,es,4NyUIohBa3CEMGcXURYSOh
Linkin Park,In the End,en,60a0Rd6pjrkxjPbaKzXjfq
"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),ru,2HRgqmZQC0MC7GeNuDIXHN
Bruno Mars,Dance With Me,en,1myZ6GQewhAzMH2dKtKSWK
Michael Jackson,Billie Jean,en,7J1uxwnxfQLu4APicE5Rnj
Nadhif Basalamah,kota ini tak sama tanpamu,id,13CwOTXUgBugeBByE9oIWb
Lord Huron,The Night We Met,en,5yJaXWIErrrsjQ3J0eR5aK
"Peso Pluma, Tito Double P",daño,es,136BeIIoBGrrU9fI1jbcDR
Bruno Mars,Just the Way You Are,en,7BqBn9nzAq8spo5e7cZ0dJ
Neton Vega,Pvta Luna,es,33MeEaRCeIQMSRyFTr5ZJU
Gracie Abrams,That’s So True,en,7ne4VBA60CxGM75vw0EYad
"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,en,6iOndD4OFo7GkaDypWQIou
The Marías,No One Noticed,en,3siwsiaEoU4Kuuc9WKMUy5
BLACKPINK,Champion,en,43BJVWcBzHRIDaQCg7abnX
"Peso Pluma, Tito Double P",7-3,es,4lzo6zPM2paqyP8oBp3DOs
Don Toliver,Body,en,0FlcmZ13DGRmscCroro9GO
Lenin Ramírez,Todo Lo Fue,es,0Sa8aRfGckW0qUGLrBwoBG
"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),tr,0FIDCNYYjNvPVimz5icugS
Coldplay,Viva La Vida,en,1mea3bSkSGXuIRvnydlB5b
Lil Uzi Vert,What You Saying,en,7cjoZVmWe2xsGR4wcXiV2v
Bruno Mars,On My Soul,en,4i4BVY2JiH4mDSLIBdNGKD
"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),en,7G7mSV4BebkoHWwKTDvXu9
BLACKPINK,GO,en,3FZPp9lBUvhsxFxKJi3VkB
Jin,Don’t Say You Love Me,en,27xkOIER6uDLKALIelHylZ
A-Lin,幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲,unknown,3VHi5bCUek6XdiDmqqrirs
Jimin,Who,en,7tI8dRuH2Yc6RuoTjxo4dU
Crowd Lu,太陽與地球,ko,0bQSWXtpau3VkNI1ZcXTQA
Pei-Yu Hung,再見的時候 - 電影〈陽光女子合唱團〉主題曲-再見版,unknown,3IBYp3fKyydZ5dDtirLY6P
Hearts2Hearts,RUDE!,en,0WA27lZzPKFJKAbiDRmQDc
IVE,BANG BANG,en,7pBE8YpFoZ9ankC2Ci5z9X
BLACKPINK,Champion,en,43BJVWcBzHRIDaQCg7abnX
Khalil Fong,特別的人,ko,0VTzUEuHYD8s7CgQ15cDPo
BLACKPINK,JUMP,en,5H1sKFMzDeMtXwND3V6hRY
V,Slow Dancing,en,5h1BN75CEh8wdSwE1xrbSe
Patrick Brasca,單程票,unknown,3woBOD3Ldh81fAwpsnD8yC
"Top Barry, INDEcompany",一半一半,zh-cn,21x0N6lu6D9kO8rVtTU3mH
V,Love Me Again,vi,2N0SPREDYqILVEFSsWF5N5
HWASA,Good Goodbye,ko,3cLXrotzCjYCkN73PewALM
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,en,1CPZ5BxNNd0n0nF4Orb9JS
Evangeline Wong,離開我的依賴,unknown,23WLgtD54AeluEPRr5muHo
BLACKPINK,Fxxxboy,en,7m0duH1vdTNxM2g8BLfR0F
IVE,BLACKHOLE,en,2ytQFMxdreEFPPZTtyDdqM
黃奇斌,若無你我欲去佗位,ko,76EfpqmO6JUL2TTR1SIGwz
"Patrick Brasca, mac ova seas",左轉燈 (1000 Times+1),ko,4UwZyC0wEV6XDEAr9kaQhi
Jay Chou,擱淺,ko,0cOMncRq4cmDLO4tPQnkBF
BLACKPINK,Me and my,en,5MXcM263QvCTWriH3nVusc
KiiiKiii,404 (New Era),en,24rDDbSlFY9OHrlJb48CRh
Bestards,離開的一路上,ko,1NoDTQhJsrd5rnpb6PQthK
Crowd Lu,一夜一夜一夜,ko,3wofqqt5YJWdhLI9IFaX39
JENNIE,like JENNIE,en,0fK7ie6XwGxQTIkpFoWkd1
Crowd Lu,幾分之幾 - 電影<花甲大人轉男孩>主題曲,unknown,4F7ZAsndEIJXyFzJUHNlRu
"i-dle, skaiwater",Mono (feat. skaiwater),ru,3VxmXJ4FdtbWI27p3Gx4Wh
EggPlantEgg,閣愛妳一擺,ko,4Zwn8WxD61diTwqv9hyTQA
Stefanie Sun,遇見,ko,3xJK8ywApYVEYIDhymYMC6
CORTIS,GO!,en,6OWWZtNQORY1McaZmOrwhc
Stefanie Sun,我懷念的,ko,7z2M7DsEjZjwXBkWG3zd21
ROSÉ,toxic till the end,en,1z5ebC9238uGoBgzYyvGpQ
BABYMONSTER,PSYCHO,en,491ca80N1C63tpoLvAsLKb
Khalil Fong,愛愛愛,ko,59lBAMCis4C6NsPdUV35Vz
"LE SSERAFIM, j-hope",SPAGHETTI,en,2N9miXnewVmUrgl6JSK1FI
"Patrick Brasca, 陳華",你沒等我去的舊金山,unknown,1aNVW0fujBVx7JTorTO1jn
Bestards,不是因為天氣晴朗才愛你,ko,2VEt42QSQxILgEf9B50xxm
aespa,Whiplash,en,7Cnpb1vBbC46RgVyyKLH7p
Amazing Show,愛情的大壞蛋,ko,5HVq8nS0pbM6G7YK8M7DY4
Jay Chou,晴天,zh-cn,5pIcwtJYNJx93l420oR2Vm
A-Mei Chang,連名帶姓,unknown,3LlQoKvVnkVvq3KC8anUn8
陳粒,小半,unknown,3QxWTqyIT4O9bokIZlNDpo
BABYMONSTER,WE GO UP,en,1tonXoW6dcb7GGNpec3PTl
"Jay Chou, Lara Liang",珊瑚海,vi,3Qj9Fy8BPbWmICTiNkuqB7
Pets Tseng,一個人想著一個人,unknown,3n3zzFH7zzO0gJNaw4RKSm
ILLIT,NOT CUTE ANYMORE,en,1k0JAiH11gHL9dc5dfQjQr
张远,看着我的眼睛说,ko,7d6eShN6yVeR4Y2Md9uCA4
Stefanie Sun,開始懂了,ko,68tZwwRuo9ip5gRQFG1XWF
David Tao,愛我還是他,unknown,13bw75oRjvxMv9VGIeM32i
LBI利比,Jumping Machine (跳楼机),zh-cn,1XZE0InCx3SdCnLpVsPpZl
Bruno Mars,Risk It All,en,5y2ijHECwFYWqcAHKTZgzD
JOLIN,布拉格廣場 - JOLIN Version/ 星宇航空布拉格開航主題曲,unknown,0HnESxAFR5lTHioAlI7wo3
EggPlantEgg,浪流連,ko,1IS0WFyiVpwsATeSzjEvpI
Sam Lee,痴心絕對,unknown,0D0n4q2o54VTOmDJdL6ikY
Djo,End of Beginning,en,3qhlB30KknSejmIvZZLjOD
"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,en,1DwscornXpj8fmOmYVlqZt
EggPlantEgg,愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),unknown,6m2I6ZyWRkxjBrrLVQILfl
"Firdhaus, DIOR 大穎",在加納共和國離婚,ko,6GyUt7yJ0sOktc5HjvVnFh
icyball 冰球樂團,不在乎,unknown,1t2mpO9GpLjRHDDX6SFWRn
Jay Chou,楓,vi,1pALOIA4ytESmhl7Fxjdic
"马也_Crabbit, Cole先生",海屿你,unknown,6UO9nrihAk6sFGvVHDVTz8
艾薇 Ivy,天使借的溫柔,unknown,3ITUmRLMjxf3ZqCPSDD2gk
Taylor Swift,The Fate of Ophelia,en,53iuhJlwXhSER5J2IYYv1W
LNGSHOT,Moonwalkin',en,46V2ciN6F5bxjQWityNhkY
"ROSÉ, Bruno Mars",APT.,id,4wJ5Qq0jBN4ajy7ouZIV1c
G.E.M.,多遠都要在一起,ko,55d0jw269HE9pbOt5ntCo8
Joker Xue,演员,zh-cn,5Sib99jpYybZAicUMETb3h
张远,嘉賓,zh-cn,5jAmIkIpskwu2hRz2YaEHi
CORTIS,FaSHioN,en,4ecdsGz3Hg6TKPwQ0ZOdJz
Taylor Swift,Opalite,en,3yWuTOYDztXjZxdE2cIRUa
A-Mei Chang,人質,unknown,6OAUhxFZzaRHHC8XiuIkvb
sombr,back to friends,en,7qjZnBKE73H4Oxkopwulqe
BABYMONSTER,DRIP,en,1MUZitHRpmng5NevrvNx4T
Richael Liu,两三句,unknown,0BkBM5rY934yzHViRhd8Em
Olivia Dean,So Easy (To Fall In Love),en,6sGIMrtIzQjdzNndVxe397
"Jay Chou, A-Mei Chang",不該,unknown,5miH0BWhRVTvHAwmnoeyXH
Sam Lee,手放開,en,2Dd9EXYXI2NNrLG61OtWQv
Kenshi Yonezu,IRIS OUT,ja,59hVbgr8rfYkDbHfr8RcGI
CORTIS,"Mention Me - From The Movie ""GOAT""",en,3f0OEJd7mlPNhmH3fUOrqy
F.I.R.,月牙灣,ko,1b5IRT3iraxjHOsKZx93sW
"Lady Gaga, Bruno Mars",Die With A Smile,en,7so0lgd0zP2Sbgs2d7a1SZ
ILLIT,Magnetic,en,1aKvZDoLGkNMxoRYgkckZG
PIZZALI,做我的初戀,unknown,4flk8ZgDFry6o2t0SdKsnB
ROSÉ,number one girl,en,1lcBt7LoEikqYmhUoa2cez
A-Lin,給我一個理由忘記,unknown,2DcmVSLAg0ZzfOQxDshZHY
David Tao,就是愛妳,en,73eCSQ1DxQbaOnzy8PhKx3
Joker Xue,其实,zh-cn,6Mmdzst5fLkrKjhdkGhLpe
DIOR 大穎,人的這一生,unknown,2Jox8DFhnUpJZJWLsVAsAR
Hearts2Hearts,FOCUS,en,6jYiHr12NVKLzn0X7K8aSK
Silence Wang,像晴天像雨天（电视剧《难哄》心动曲）,unknown,1zFuSla4RQ5qAJwDIQYixW
Amazing Show,偷偷愛,ko,0L7R4dmkwk46DEZgqx1fF7
"Disney, Shakira",Zoo,en,3vJIaiTIHxHhYafTSPNiH4
Fish Leong,慢冷,ko,3NNDJfWMGHuNpvHWTImmlW
WeiBird,"如果可以 - 電影""月老""主題曲",unknown,72OVnXDzugvrCU25lMi9au
Ronghao Li,"不將就 (電影""何以笙簫默""片尾曲)",unknown,5DH8nF7aWoXXg5Sm3gjCWD
aespa,Rich Man,en,1sUjTLLCJzcxC15GUBrOlg
Bruno Mars,Risk It All,en,5y2ijHECwFYWqcAHKTZgzD
"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,en,1DwscornXpj8fmOmYVlqZt
Ella Langley,Choosin' Texas,en,65DbTqJKhbwqYbZ1Okr0rc
Bruno Mars,I Just Might,so,6f68Ac5tt5BQOpwr0BV9oN
Bad Bunny,DtMF,es,3sK8wGT43QFpWrvNQsrQya
Olivia Dean,Man I Need,en,1qbmS6ep2hbBRaEZFpn7BX
Dominic Fike,Babydoll,en,7yNf9YjeO5JXUE3JEBgnYc
Don Toliver,E85,en,3B4cjvGlPvyBLNG3AzEgkZ
Olivia Dean,So Easy (To Fall In Love),en,6sGIMrtIzQjdzNndVxe397
Bad Bunny,BAILE INoLVIDABLE,es,2lTm559tuIvatlT1u0JYG2
Bad Bunny,Tití Me Preguntó,es,1IHWl5LamUGEuP4ozKQSXZ
Bad Bunny,NUEVAYoL,es,5TFD2bmFKGhoCRbX61nXY5
Bruno Mars,Cha Cha Cha,en,6QletrrmpkUpeJkipX9pgf
Djo,End of Beginning,en,3qhlB30KknSejmIvZZLjOD
Don Toliver,Body,en,0FlcmZ13DGRmscCroro9GO
Bruno Mars,God Was Showing Off,en,1sVBT215CDmVJvfy1E2OCU
Alex Warren,FEVER DREAM,en,7ogpGbKc4Io6NCU6ydxXwZ
Alex Warren,Ordinary,en,2RkZ5LkEzeHGRsmDqKwmaJ
