rank,artist,title,region,spotify_uri,dominant_emotion,dominant_score,low_confidence,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
23,"Kapo, Ryan Castro",DÓNDE,Colombia,4zqFA9MOG86u7uugR8QFDU,longing,0.9649,False,0.933,0.9649,0.2475,0.0154,0.0152,0.0113,0.2196,0.1173,0.9202,0.0956
24,"J Balvin, Bad Bunny",LA CANCIÓN,Colombia,0fea68AdmYNygeTGI4RC18,longing,0.9448,False,0.3529,0.9448,0.0679,0.7682,0.6768,0.4834,0.1872,0.9353,0.6792,0.2469
25,Omar Courtz,POR SI MAÑANA NO ESTOY,Colombia,595wwjQiad6e6lSTScmXvz,lonely,0.9958,False,0.9512,0.9945,0.0423,0.9822,0.9153,0.4662,0.5233,0.9958,0.9181,0.2002
26,Arcángel,Por Amar A Ciegas,Colombia,2BrfJdTXohQRtWBKsBTIp0,heartbreak,0.8948,False,0.7452,0.8577,0.034,0.8948,0.7008,0.4366,0.0666,0.8888,0.7092,0.0961
27,Kapo,UWAIE,Colombia,0fMjldiEpgjbWQ4bBQwVzH,love,0.98,False,0.98,0.953,0.2919,0.0304,0.0167,0.0056,0.2398,0.1537,0.9757,0.0195
28,Yeison Jimenez,Vete,Colombia,6cZcn282SIMmuO8FHN8634,heartbreak,0.9949,False,0.5794,0.992,0.0002,0.9949,0.9932,0.9878,0.0005,0.9901,0.073,0.9387
29,Lenin Ramírez,Todo Lo Fue,Colombia,0Sa8aRfGckW0qUGLrBwoBG,heartbreak,0.9936,False,0.3259,0.9239,0.0049,0.9936,0.9771,0.9803,0.01,0.9832,0.2293,0.9715
30,Bad Bunny,EoO,Colombia,6J5kc12BW5HuP3d7C3vvx8,longing,0.9329,False,0.3664,0.9329,0.3862,0.0171,0.0297,0.0165,0.2282,0.0354,0.6534,0.1988
31,ARIA VEGA,CHÉVERE (joesón_type_beat),Colombia,5OQCghydcEeA76eGdJ6GEa,sensual,0.854,False,0.7186,0.5717,0.1121,0.381,0.1541,0.1902,0.3458,0.4953,0.854,0.345
32,"Nanpa Básico, Beéle",Hasta Aquí Llegué,Colombia,0Qe2g06yzLBuuSvVmFiweP,heartbreak,0.9942,False,0.5909,0.9937,0.0005,0.9942,0.9748,0.9372,0.0053,0.9747,0.3881,0.4098
33,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,Colombia,7koAf6aZgjO6TS7bipfPD0,sensual,0.594,False,0.5329,0.4944,0.0534,0.2897,0.1263,0.0091,0.0799,0.0154,0.594,0.0111
34,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,Colombia,0lMafSfME2iJEE972bsQaK,anger,0.8235,False,0.0311,0.4547,0.0849,0.0361,0.0433,0.0465,0.0531,0.0918,0.4983,0.8235
35,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,Colombia,614NVFo5csQqRnryl4jXs2,longing,0.989,False,0.742,0.989,0.0524,0.6973,0.0305,0.0434,0.24,0.9719,0.967,0.457
36,Herencia De Grandes,Ya Borracho,Colombia,4NyUIohBa3CEMGcXURYSOh,longing,0.9922,False,0.992,0.9922,0.8014,0.1105,0.1819,0.0049,0.1973,0.0242,0.7899,0.0012
38,Bad Bunny,NO ME QUIERO CASAR,Colombia,39L3LdlHS3gqB62HPWaJRg,lonely,0.8732,False,0.0482,0.8152,0.0076,0.5495,0.1583,0.2061,0.2617,0.8732,0.5819,0.4964
39,Beéle,top diesel,Colombia,2QP041AcWg8PwPIWP95RKN,longing,0.9789,False,0.9425,0.9789,0.0378,0.7883,0.3298,0.3409,0.2538,0.2439,0.9659,0.241
40,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Colombia,7d6yK8v8J484SWH5prIQiE,sensual,0.9393,False,0.5906,0.9176,0.1561,0.0915,0.11,0.0068,0.4435,0.2519,0.9393,0.2793
42,Yeison Jimenez,Un Perro Enamorado,Colombia,3kcr3teEgyTOVIAxMPOPeO,longing,0.9986,False,0.9981,0.9986,0.7685,0.002,0.0096,0.0002,0.2702,0.0014,0.9963,0.0004
43,Arcángel,Pa' Que La Pases Bien,Colombia,1pLCpA1RN8avJxSD3ZCwhj,joy,0.8718,False,0.4129,0.4132,0.8718,0.0047,0.005,0.0011,0.5623,0.026,0.7927,0.019
44,"El Bogueto, Yung Beef",Cuando No Era Cantante,Colombia,6N2iccqxRInhTLHc2Fu3W0,longing,0.9966,False,0.9419,0.9966,0.2394,0.9002,0.717,0.1339,0.8313,0.9653,0.9736,0.4551
45,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Colombia,6C1RD7YQVvt3YQj0CmuTeu,sensual,0.921,False,0.1936,0.7282,0.0662,0.0074,0.0103,0.0046,0.0521,0.0361,0.921,0.4942
46,Bad Bunny,VOY A LLeVARTE PA PR,Colombia,59D4DOkspUbWyMmbAPQkxZ,sensual,0.9826,False,0.2207,0.8732,0.1764,0.1042,0.0578,0.0621,0.1576,0.4721,0.9826,0.3582
47,Arcángel,Hace Mucho Tiempo,Colombia,0a6ogDrZBvYgDjILgsQVaJ,longing,0.9461,False,0.8934,0.9461,0.0738,0.0016,0.0016,0.0002,0.0887,0.0697,0.9195,0.0006
48,"Feid, ATL Jacob",LUNA,Colombia,7bywjHOc0wSjGGbj04XbVi,longing,0.994,False,0.2271,0.994,0.0016,0.9932,0.9803,0.942,0.0198,0.9897,0.5459,0.9497
50,Kris R.,MIL D AURA,Colombia,0LvxvoeJmdhkxRIC4orlJ3,love,0.9772,False,0.9772,0.9716,0.8515,0.1009,0.09,0.0047,0.8357,0.0209,0.9451,0.012
51,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,Colombia,7sRXb5IgYWwVv1DaavHSNs,sensual,0.9725,False,0.9093,0.9531,0.3866,0.5119,0.2864,0.0214,0.3078,0.2166,0.9725,0.6304
52,Plan B,Es un Secreto,Colombia,3KZCP2StVGdWkOKyRZNWA4,sensual,0.9781,False,0.9418,0.9641,0.4014,0.0058,0.0043,0.0014,0.6149,0.0284,0.9781,0.0039
53,Yeison Jimenez,MLP,Colombia,4DAMvNqHt0s8zJr6JwOoye,love,0.9916,False,0.9916,0.8288,0.3471,0.9375,0.748,0.0264,0.1299,0.1428,0.2697,0.2064
54,"Blessd, Los Money Makers, Prodmonja",URUS BLUE,Colombia,4sTnItbNUAcS5KDG6vTA5B,sensual,0.9802,False,0.9767,0.9401,0.6022,0.0047,0.0045,0.0056,0.3634,0.149,0.9802,0.0266
55,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Colombia,0JoHqmlqE0W0i9prt6kcHR,lonely,0.6229,False,0.4985,0.5258,0.0272,0.1976,0.0518,0.4056,0.0537,0.6229,0.6039,0.162
56,"Danny Ocean, Kapo",Imagínate,Colombia,7ns16ylM6sbxo9ZWIwyE5d,longing,0.863,False,0.4333,0.863,0.2253,0.0214,0.0062,0.002,0.1836,0.317,0.813,0.0132
57,"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,Colombia,2Mgur7BKnpr7OG3izSNFTA,longing,0.7437,False,0.3533,0.7437,0.1307,0.3172,0.1285,0.2659,0.0181,0.3708,0.6872,0.6957
58,"CARABIN3, SVNTI",MUSA,Colombia,0QuHK1VvIZ1Kt2GfqRrdVo,sensual,0.9527,False,0.5607,0.7576,0.2511,0.084,0.106,0.1811,0.202,0.2862,0.9527,0.4787
59,Arcángel,Me Prefieres A Mi,Colombia,3GhmL9fuM8jwGcHCFbeo3v,longing,0.6384,False,0.4996,0.6384,0.0364,0.4935,0.1258,0.0683,0.0687,0.2581,0.5243,0.5406
60,"Blessd, GeezyDee",DIOMEDEZ,Colombia,6qDTm2QbRSLlSmaUSJE6bF,love,0.5461,False,0.5461,0.3461,0.0145,0.0784,0.2094,0.2092,0.0318,0.1307,0.5303,0.4994
61,Bad Bunny,NUEVAYoL,Colombia,5TFD2bmFKGhoCRbX61nXY5,sensual,0.9687,False,0.29,0.9328,0.8153,0.0079,0.0153,0.0122,0.5691,0.2205,0.9687,0.2192
62,"Kris R., ROA",PASIÓN Y SEXO,Colombia,4pjkZyNZnOJEPpBmzOqTC2,sensual,0.9813,False,0.9802,0.9569,0.3869,0.0115,0.0096,0.0036,0.3729,0.0651,0.9813,0.2043
63,Kapo,NO CRY,Colombia,4YM3IYESNKXWYHbPXvMMVD,longing,0.9603,False,0.6403,0.9603,0.0008,0.9162,0.6806,0.3647,0.0822,0.8155,0.1664,0.0259
64,Rels B,TU VAS SIN (fav),Colombia,6uiQ0DqbXTBc8tl0AUKZkR,love,0.9895,False,0.9895,0.989,0.4413,0.1272,0.0231,0.0122,0.4138,0.0874,0.9696,0.6309
65,"Blessd, J Alvarez",FANÁTICO,Colombia,0e3d2UZRjtvviXWWMRYGQo,sensual,0.9919,False,0.9814,0.9416,0.2047,0.0112,0.0029,0.0019,0.4082,0.0371,0.9919,0.0228
66,"Blessd, Ovy On The Drums",Mírame,Colombia,2btNsI4OvcVl7SAHQQDHFB,heartbreak,0.9759,False,0.6581,0.7711,0.003,0.9759,0.8961,0.473,0.783,0.8582,0.4544,0.4904
67,Ñengo Flow,En Las Noches Frias,Colombia,0a0JiZejbYYem1W31fldde,longing,0.9051,False,0.7751,0.9051,0.0435,0.8745,0.7034,0.0177,0.0859,0.7021,0.8838,0.5612
68,"Tony Dize, Plan B",Solos,Colombia,3CbiuLMBPM6uV4a7HvkOib,sensual,0.7744,False,0.4647,0.7174,0.0431,0.4419,0.4531,0.4699,0.3044,0.2658,0.7744,0.2816
69,"KAROL G, Feid",Verano Rosa,Colombia,0nafF9MxcXJBQWv3BTKtdF,longing,0.9792,False,0.9329,0.9792,0.1405,0.2314,0.2375,0.1441,0.2603,0.8369,0.9699,0.7378
70,Danny Ocean,Me Rehúso,Colombia,6ifUES3keWjwXgae8pXI3o,sensual,0.8256,False,0.5641,0.792,0.005,0.7857,0.6861,0.4893,0.0512,0.626,0.8256,0.1545
71,"Yan Block, Panda Black",444,Colombia,1o4xkdBe0RjSf2u6VXi4OI,longing,0.9739,False,0.4765,0.9739,0.005,0.8759,0.6274,0.5427,0.0186,0.9551,0.8933,0.8299
72,"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,Colombia,13BDiikG6y5o5cQTK0HpW6,sensual,0.9579,False,0.6914,0.8148,0.0107,0.0237,0.0143,0.0094,0.0267,0.2621,0.9579,0.8121
73,Willie Colón,Idilio,Colombia,5iwgEFKEktjBBZV3C9TTZj,longing,0.9884,False,0.9787,0.9884,0.8403,0.649,0.6207,0.1675,0.9861,0.9292,0.6727,0.0041
74,"Yan Block, Panda Black",Talento,Colombia,7sChwC2NZjGc2Kdni3hlDg,anger,0.9799,False,0.4291,0.8957,0.0705,0.7166,0.4827,0.4315,0.8304,0.8441,0.9406,0.9799
75,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Colombia,0l0vcZMU7AOeQmUIREoI2U,longing,0.9675,False,0.2968,0.9675,0.0667,0.6005,0.4864,0.2654,0.3269,0.9265,0.9172,0.8468
76,"Boza, ELENA ROSE",orióN,Colombia,4feh4Ak3ZJfC6ibxkNzlkE,longing,0.9815,False,0.9179,0.9815,0.0283,0.3648,0.0656,0.0119,0.2649,0.5439,0.9791,0.3408
77,Luis Alberto Posada,Mal Amor,Colombia,1j4XwpoLvqdkWllikDu7Rm,lonely,0.9893,False,0.4186,0.8433,0.0002,0.9884,0.9831,0.9734,0.0024,0.9893,0.0636,0.9163
78,Arcángel,Ganas De Ti,Colombia,71w26UK674tLfGtJFfDSjE,sensual,0.9939,False,0.9934,0.9843,0.1882,0.3424,0.2816,0.9722,0.4396,0.3811,0.9939,0.0843
79,Romeo Santos,Imitadora,Colombia,6r46lnXFbE9fr2d3KNaGbe,lonely,0.9879,False,0.6803,0.9796,0.0066,0.9766,0.9299,0.8534,0.0566,0.9879,0.904,0.8677
80,Maluma,Borro Cassette,Colombia,6DUdDIRgLqCGq1DwkNWQTN,sensual,0.9784,False,0.9355,0.9778,0.1452,0.7625,0.5765,0.4371,0.4236,0.6653,0.9784,0.854
81,"Yan Block, TORRRES",Yo sé,Colombia,5DdLSEyKh8zgCrJq2hFj92,sensual,0.9721,False,0.0479,0.8067,0.007,0.7802,0.537,0.6453,0.0117,0.451,0.9721,0.8442
82,"El Americano 4KT, Kobby",The Flow's Son Black!,Colombia,6uLcqYE347zlvXD6rhiM4J,despair,0.9106,False,0.0039,0.519,0.005,0.6344,0.7355,0.9106,0.0034,0.6449,0.5199,0.7096
83,Dalmata,Dile a Tu Amiga,Colombia,3u2jlo9kygiIAq7SPVuw6S,sensual,0.8945,False,0.7867,0.8736,0.0893,0.0425,0.031,0.0189,0.1071,0.0733,0.8945,0.1872
85,"Omar Courtz, ROA",WO OH OH,Colombia,0h54mLixODOqU6vTcZMqVM,longing,0.9958,False,0.991,0.9958,0.6601,0.194,0.2701,0.0181,0.8873,0.3731,0.9907,0.5594
86,Yeison Jimenez,Ya No Mi Amor,Colombia,7qbPQqOYYMPdQqRqv7bNin,heartbreak,0.9684,False,0.8824,0.7082,0.0046,0.9684,0.7857,0.8751,0.0388,0.9464,0.4545,0.6212
87,Omar Courtz,SI ESTÁS CON ALGUIEN,Colombia,7nyk5uxevcijIfl1FlJgmA,heartbreak,0.9511,False,0.4923,0.558,0.014,0.9511,0.8626,0.5695,0.0523,0.8904,0.4996,0.4055
88,"Alzate, Yeison Jimenez",Mi Venganza,Colombia,3f4AsGGYt94t7g1lHcsa8D,heartbreak,0.9741,False,0.4712,0.1489,0.003,0.9741,0.8897,0.8776,0.0193,0.8116,0.1447,0.8009
90,"TURY, CARABIN3",CHUCHA,Colombia,01dFxiEOMTTzim5J3kytjA,anger,0.7304,False,0.3073,0.5087,0.0069,0.1135,0.0806,0.1692,0.0137,0.3479,0.392,0.7304
91,Bad Bunny,KLOuFRENS,Colombia,4MUrUT38U98olfnyzMBCzm,heartbreak,0.9839,False,0.5646,0.8657,0.075,0.9839,0.971,0.7855,0.024,0.9611,0.5105,0.4618
92,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,Colombia,3mg9jYNC1NihbthlglzrWP,sensual,0.8931,False,0.2757,0.6039,0.346,0.0086,0.0053,0.0071,0.286,0.0973,0.8931,0.0914
93,Yeison Jimenez,El Mejor Caballo,Colombia,4Udf3NPZZVggwmVXHcjuqA,heartbreak,0.9871,False,0.9754,0.9406,0.0183,0.9871,0.9653,0.5549,0.1475,0.8908,0.6549,0.941
95,Milo j,Niño,Colombia,4aDbrgm1ZaebS1Bb2dOXac,longing,0.9896,False,0.1418,0.9896,0.0002,0.9806,0.9723,0.8601,0.0012,0.9323,0.315,0.0054
98,Omar Courtz,KOKO,Colombia,1tz7RZirwiuaJw2p0jbdHb,sensual,0.9906,False,0.6707,0.9434,0.0146,0.0033,0.0032,0.0016,0.213,0.8825,0.9906,0.0698
99,Kapo,OHNANA,Colombia,482PEx8hfMHSsuGtHd960A,longing,0.9763,False,0.8443,0.9763,0.2225,0.6976,0.8018,0.3962,0.0895,0.9692,0.9599,0.2609
100,"Tony Dize, Yandel",Permítame,Colombia,6OaGIYcVzx5c7aEKkuYS1M,sensual,0.6333,False,0.5018,0.5147,0.4526,0.0674,0.0256,0.0226,0.3205,0.2591,0.6333,0.0897
101,"Kenny Die, Blessd, Kris R., Sebas",Ultra Complicado (feat. Sebas) - Remix,Colombia,569xAmXCkpM3IsEOiG4hWe,longing,0.8311,False,0.6035,0.8311,0.2828,0.0199,0.0341,0.0165,0.141,0.3532,0.8247,0.0862
102,"Topboy TGR, Kzadores",MÁS DE AHÍ,Colombia,4ATzrqMF84B9iSCGUUqfTT,anger,0.9282,False,0.0009,0.1603,0.002,0.048,0.1194,0.8777,0.0096,0.3383,0.2097,0.9282
103,Yeison Jimenez,Se Acabó,Colombia,2T6BBNQW4t81x2ddqWrGzs,joy,0.9751,False,0.6952,0.2861,0.9751,0.6724,0.2602,0.0076,0.0384,0.1687,0.8748,0.1055
104,"Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)",Colombia,10B0cONtHL7b8hdMRE2Du6,longing,0.9685,False,0.9245,0.9685,0.216,0.2583,0.0626,0.0505,0.2232,0.5571,0.9669,0.1977
105,"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),Colombia,5q2JbCNi4FcnglgPfxcV65,longing,0.9875,False,0.4704,0.9875,0.0421,0.9462,0.6846,0.5045,0.2168,0.9279,0.7716,0.7023
106,Fuerza Regida,Marlboro Rojo,Colombia,3hpm0fTeSqlhJbnqAgaLZs,sensual,0.9456,False,0.0799,0.8833,0.1059,0.0202,0.0175,0.0341,0.0062,0.1524,0.9456,0.8019
107,Frankie Ruiz,Tú Con Él,Colombia,6cHHrFD3fmBG9MR3k8kvep,love,0.8469,False,0.8469,0.4666,0.0798,0.4831,0.1558,0.0286,0.0105,0.478,0.3484,0.0258
108,"KAROL G, Marco Antonio Solís",Coleccionando Heridas,Colombia,3ddJ8Vbc5tYPxq5zKRVke6,lonely,0.991,False,0.0134,0.6767,0.0003,0.9184,0.8119,0.548,0.0018,0.991,0.0357,0.0266
109,Bad Bunny,MONACO,Colombia,4MjDJD8cW7iVeWInc2Bdyj,sensual,0.9725,False,0.5166,0.7221,0.3848,0.1613,0.2485,0.1973,0.0759,0.5001,0.9725,0.5783
110,Yeison Jimenez,Ni Tengo Ni Necesito,Colombia,6829KtrgNt2ZwrsE19nTEd,lonely,0.8704,False,0.0361,0.3363,0.0134,0.7174,0.0817,0.0751,0.0298,0.8704,0.1006,0.6747
111,"Kris R., Blessd",Las Piponas (Remix),Colombia,281YJmnThveWjsWVic9Ym6,sensual,0.8669,False,0.6966,0.8117,0.2348,0.0782,0.0924,0.3594,0.2189,0.4698,0.8669,0.86
113,"Blessd, Kris R.",POLOS OPUESTOS REMIX - BLESSD VERSION,Colombia,2ALQyXMC26Vew7JX7ert9M,longing,0.9838,False,0.975,0.9838,0.0431,0.2157,0.1662,0.0146,0.4393,0.6619,0.7897,0.3039
114,"Rauw Alejandro, Romeo Santos",Khé?,Colombia,1YYfyJ2yCvGFCxwjsIqEK9,longing,0.9796,False,0.6815,0.9796,0.0024,0.9466,0.7219,0.4924,0.0064,0.9194,0.7642,0.5857
115,Yeison Jimenez,Qué Día Es Hoy,Colombia,5PB1ITleNasy7UMYEaBWkL,anger,0.9848,False,0.264,0.4397,0.0002,0.9062,0.7795,0.6453,0.0003,0.8526,0.2634,0.9848
116,Zion & Lennox,La player (Bandolera),Colombia,0VKkyBKCXyR99navhVRqcP,sensual,0.9217,False,0.1885,0.8443,0.0387,0.3414,0.2082,0.382,0.1694,0.9111,0.9217,0.4566
117,"Kris R., Blessd",COSITAS,Colombia,3ClyThLf2bguwdMcm7hqZ2,heartbreak,0.9821,False,0.6776,0.9658,0.0024,0.9821,0.9384,0.6003,0.1929,0.9805,0.4881,0.4077
118,"Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren",UNA NOCHE DE LOCURA,Colombia,2tKVinInf0PJS1iG04zzqi,sensual,0.9815,False,0.9764,0.9651,0.73,0.0352,0.0122,0.0158,0.5645,0.4168,0.9815,0.3139
119,Beéle,si te pillara,Colombia,1C7NXX8UJ6pgNx8EkmyZDd,longing,0.8155,False,0.2819,0.8155,0.1156,0.5368,0.5008,0.4465,0.147,0.4952,0.5802,0.3194
120,"Don Omar, Kendo Kapponi",RX,Colombia,3NgDulHteTVdF026IxY5bW,anger,0.8032,False,0.014,0.6086,0.0044,0.0144,0.0349,0.0733,0.0104,0.0551,0.5869,0.8032
121,Willie Colón,Oh Qué Será?,Colombia,2n1MTLCis6qPSDKdr5XSDI,longing,0.8753,False,0.4714,0.8753,0.0315,0.6696,0.509,0.4799,0.2267,0.6492,0.6513,0.1237
122,Blessd,Palabras Sobran,Colombia,4wu7jIeJCUhQJaXsXVit0e,love,0.9409,False,0.9409,0.9111,0.1682,0.0266,0.0281,0.0029,0.1876,0.1564,0.8798,0.0088
123,KAROL G,Si Antes Te Hubiera Conocido,Colombia,73scB4Q4fcOmnsBVZPmk32,longing,0.9843,False,0.6859,0.9843,0.0465,0.3908,0.3937,0.121,0.9564,0.5149,0.9138,0.6576
124,ARIA VEGA,AY MAMA (mi tiburón),Colombia,7yHZ66udwjeUafGohI7T46,sensual,0.9529,False,0.162,0.7197,0.0193,0.2484,0.0245,0.0153,0.0161,0.6181,0.9529,0.2727
125,Yeison Jimenez,Aventurero,Colombia,0ftcn4ddKESqQMA784Ebc0,love,0.8787,False,0.8787,0.7475,0.3813,0.4057,0.0293,0.0273,0.007,0.6192,0.8151,0.0105
126,Willie Colón,Gitana,Colombia,4VTb5wB46sZDsfL8XgroGt,longing,0.9874,False,0.9535,0.9874,0.0177,0.9698,0.8995,0.2137,0.5004,0.8886,0.4125,0.1842
127,Tito Rojas,Siempre Sere,Colombia,4ZGk5h0sIfeunWEKzXEoHr,love,0.9914,False,0.9914,0.7916,0.5414,0.02,0.0399,0.0008,0.4378,0.0097,0.9188,0.0004
128,Yandel,Encantadora,Colombia,7LABrQFfRYcZUqUwng0Heb,longing,0.5017,False,0.4745,0.5017,0.0451,0.0298,0.0832,0.1549,0.0757,0.3505,0.498,0.119
129,Yiyo Sarante,Corazon de Acero,Colombia,21nc3O8OncUv1jjSrC1ML2,heartbreak,0.9872,False,0.0559,0.2753,0.0224,0.9872,0.9625,0.744,0.0399,0.9711,0.7105,0.7954
130,GeezyDee,El Peor Hombre Del Mundo,Colombia,0TBFzXKWtoF7Lwh0LKFt8f,despair,0.8504,False,0.2098,0.7543,0.0079,0.7716,0.7216,0.8504,0.0112,0.762,0.49,0.8192
131,Yiyo Sarante,Manos de Tijera,Colombia,5ds1Hh3lo4JUF2vflqyayK,anger,0.4319,False,0.0291,0.232,0.022,0.1456,0.3144,0.2125,0.03,0.1824,0.4284,0.4319
132,Frankie Ruiz,Deseándote,Colombia,0FsXZAMf6NACvNJ2LI6ySp,longing,0.9922,False,0.9095,0.9922,0.0573,0.5711,0.2815,0.0628,0.5982,0.3636,0.9667,0.2278
133,"Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete",Guaro (Remix),Colombia,5sMHuOIvtsSuFZafTcF19Q,lonely,0.9871,False,0.0746,0.9739,0.0019,0.9833,0.9652,0.8543,0.0063,0.9871,0.5071,0.8705
