rank,artist,title,region,spotify_uri
23,"Kapo, Ryan Castro",DÓNDE,Colombia,4zqFA9MOG86u7uugR8QFDU
24,"J Balvin, Bad Bunny",LA CANCIÓN,Colombia,0fea68AdmYNygeTGI4RC18
25,Omar Courtz,POR SI MAÑANA NO ESTOY,Colombia,595wwjQiad6e6lSTScmXvz
26,Arcángel,Por Amar A Ciegas,Colombia,2BrfJdTXohQRtWBKsBTIp0
27,Kapo,UWAIE,Colombia,0fMjldiEpgjbWQ4bBQwVzH
28,Yeison Jimenez,Vete,Colombia,6cZcn282SIMmuO8FHN8634
29,Lenin Ramírez,Todo Lo Fue,Colombia,0Sa8aRfGckW0qUGLrBwoBG
30,Bad Bunny,EoO,Colombia,6J5kc12BW5HuP3d7C3vvx8
31,ARIA VEGA,CHÉVERE (joesón_type_beat),Colombia,5OQCghydcEeA76eGdJ6GEa
32,"Nanpa Básico, Beéle",Hasta Aquí Llegué,Colombia,0Qe2g06yzLBuuSvVmFiweP
33,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,Colombia,7koAf6aZgjO6TS7bipfPD0
34,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,Colombia,0lMafSfME2iJEE972bsQaK
35,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,Colombia,614NVFo5csQqRnryl4jXs2
36,Herencia De Grandes,Ya Borracho,Colombia,4NyUIohBa3CEMGcXURYSOh
37,"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,Colombia,1xRRW5ZrL7I9EG8CGZrXHE
38,Bad Bunny,NO ME QUIERO CASAR,Colombia,39L3LdlHS3gqB62HPWaJRg
39,Beéle,top diesel,Colombia,2QP041AcWg8PwPIWP95RKN
40,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Colombia,7d6yK8v8J484SWH5prIQiE
41,"Luister La Voz, maikol el insoportable",Ozono,Colombia,4acvrfbXrDPFQNNDnFZnpC
42,Yeison Jimenez,Un Perro Enamorado,Colombia,3kcr3teEgyTOVIAxMPOPeO
43,Arcángel,Pa' Que La Pases Bien,Colombia,1pLCpA1RN8avJxSD3ZCwhj
44,"El Bogueto, Yung Beef",Cuando No Era Cantante,Colombia,6N2iccqxRInhTLHc2Fu3W0
45,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Colombia,6C1RD7YQVvt3YQj0CmuTeu
46,Bad Bunny,VOY A LLeVARTE PA PR,Colombia,59D4DOkspUbWyMmbAPQkxZ
47,Arcángel,Hace Mucho Tiempo,Colombia,0a6ogDrZBvYgDjILgsQVaJ
48,"Feid, ATL Jacob",LUNA,Colombia,7bywjHOc0wSjGGbj04XbVi
49,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,Colombia,2pbSCYzxrG0wa6qcj8IyiE
50,Kris R.,MIL D AURA,Colombia,0LvxvoeJmdhkxRIC4orlJ3
51,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,Colombia,7sRXb5IgYWwVv1DaavHSNs
52,Plan B,Es un Secreto,Colombia,3KZCP2StVGdWkOKyRZNWA4
53,Yeison Jimenez,MLP,Colombia,4DAMvNqHt0s8zJr6JwOoye
54,"Blessd, Los Money Makers, Prodmonja",URUS BLUE,Colombia,4sTnItbNUAcS5KDG6vTA5B
55,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Colombia,0JoHqmlqE0W0i9prt6kcHR
56,"Danny Ocean, Kapo",Imagínate,Colombia,7ns16ylM6sbxo9ZWIwyE5d
57,"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,Colombia,2Mgur7BKnpr7OG3izSNFTA
58,"CARABIN3, SVNTI",MUSA,Colombia,0QuHK1VvIZ1Kt2GfqRrdVo
59,Arcángel,Me Prefieres A Mi,Colombia,3GhmL9fuM8jwGcHCFbeo3v
60,"Blessd, GeezyDee",DIOMEDEZ,Colombia,6qDTm2QbRSLlSmaUSJE6bF
61,Bad Bunny,NUEVAYoL,Colombia,5TFD2bmFKGhoCRbX61nXY5
62,"Kris R., ROA",PASIÓN Y SEXO,Colombia,4pjkZyNZnOJEPpBmzOqTC2
63,Kapo,NO CRY,Colombia,4YM3IYESNKXWYHbPXvMMVD
64,Rels B,TU VAS SIN (fav),Colombia,6uiQ0DqbXTBc8tl0AUKZkR
65,"Blessd, J Alvarez",FANÁTICO,Colombia,0e3d2UZRjtvviXWWMRYGQo
66,"Blessd, Ovy On The Drums",Mírame,Colombia,2btNsI4OvcVl7SAHQQDHFB
67,Ñengo Flow,En Las Noches Frias,Colombia,0a0JiZejbYYem1W31fldde
68,"Tony Dize, Plan B",Solos,Colombia,3CbiuLMBPM6uV4a7HvkOib
69,"KAROL G, Feid",Verano Rosa,Colombia,0nafF9MxcXJBQWv3BTKtdF
70,Danny Ocean,Me Rehúso,Colombia,6ifUES3keWjwXgae8pXI3o
71,"Yan Block, Panda Black",444,Colombia,1o4xkdBe0RjSf2u6VXi4OI
72,"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,Colombia,13BDiikG6y5o5cQTK0HpW6
73,Willie Colón,Idilio,Colombia,5iwgEFKEktjBBZV3C9TTZj
74,"Yan Block, Panda Black",Talento,Colombia,7sChwC2NZjGc2Kdni3hlDg
75,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Colombia,0l0vcZMU7AOeQmUIREoI2U
76,"Boza, ELENA ROSE",orióN,Colombia,4feh4Ak3ZJfC6ibxkNzlkE
77,Luis Alberto Posada,Mal Amor,Colombia,1j4XwpoLvqdkWllikDu7Rm
78,Arcángel,Ganas De Ti,Colombia,71w26UK674tLfGtJFfDSjE
79,Romeo Santos,Imitadora,Colombia,6r46lnXFbE9fr2d3KNaGbe
80,Maluma,Borro Cassette,Colombia,6DUdDIRgLqCGq1DwkNWQTN
81,"Yan Block, TORRRES",Yo sé,Colombia,5DdLSEyKh8zgCrJq2hFj92
82,"El Americano 4KT, Kobby",The Flow's Son Black!,Colombia,6uLcqYE347zlvXD6rhiM4J
83,Dalmata,Dile a Tu Amiga,Colombia,3u2jlo9kygiIAq7SPVuw6S
84,"Kris R., GeezyDee, Prodmonja",BOBADITA,Colombia,52IeC2QBiJqk9jAR5gbe14
85,"Omar Courtz, ROA",WO OH OH,Colombia,0h54mLixODOqU6vTcZMqVM
86,Yeison Jimenez,Ya No Mi Amor,Colombia,7qbPQqOYYMPdQqRqv7bNin
87,Omar Courtz,SI ESTÁS CON ALGUIEN,Colombia,7nyk5uxevcijIfl1FlJgmA
88,"Alzate, Yeison Jimenez",Mi Venganza,Colombia,3f4AsGGYt94t7g1lHcsa8D
89,"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Colombia,6NSMQFKgjpQb0KkjMDYIK0
90,"TURY, CARABIN3",CHUCHA,Colombia,01dFxiEOMTTzim5J3kytjA
91,Bad Bunny,KLOuFRENS,Colombia,4MUrUT38U98olfnyzMBCzm
92,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,Colombia,3mg9jYNC1NihbthlglzrWP
93,Yeison Jimenez,El Mejor Caballo,Colombia,4Udf3NPZZVggwmVXHcjuqA
94,"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,Colombia,72q1JMsCJbKNbWgzipGi6x
95,Milo j,Niño,Colombia,4aDbrgm1ZaebS1Bb2dOXac
96,"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,Colombia,5AK6QqM8aUXXTk6oY00ZRh
97,"La Combinación Vallenata, Jean Carlos Centeno",Ayer Y Hoy,Colombia,5HCk7iruzhQ1FbxyS3igmM
98,Omar Courtz,KOKO,Colombia,1tz7RZirwiuaJw2p0jbdHb
99,Kapo,OHNANA,Colombia,482PEx8hfMHSsuGtHd960A
100,"Tony Dize, Yandel",Permítame,Colombia,6OaGIYcVzx5c7aEKkuYS1M
101,"Kenny Die, Blessd, Kris R., Sebas",Ultra Complicado (feat. Sebas) - Remix,Colombia,569xAmXCkpM3IsEOiG4hWe
102,"Topboy TGR, Kzadores",MÁS DE AHÍ,Colombia,4ATzrqMF84B9iSCGUUqfTT
103,Yeison Jimenez,Se Acabó,Colombia,2T6BBNQW4t81x2ddqWrGzs
104,"Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)",Colombia,10B0cONtHL7b8hdMRE2Du6
105,"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),Colombia,5q2JbCNi4FcnglgPfxcV65
106,Fuerza Regida,Marlboro Rojo,Colombia,3hpm0fTeSqlhJbnqAgaLZs
107,Frankie Ruiz,Tú Con Él,Colombia,6cHHrFD3fmBG9MR3k8kvep
108,"KAROL G, Marco Antonio Solís",Coleccionando Heridas,Colombia,3ddJ8Vbc5tYPxq5zKRVke6
109,Bad Bunny,MONACO,Colombia,4MjDJD8cW7iVeWInc2Bdyj
110,Yeison Jimenez,Ni Tengo Ni Necesito,Colombia,6829KtrgNt2ZwrsE19nTEd
111,"Kris R., Blessd",Las Piponas (Remix),Colombia,281YJmnThveWjsWVic9Ym6
112,Luister La Voz,Amarte más no pude - En vivo,Colombia,1OHj2WRXOR9XdCV6PuptXv
113,"Blessd, Kris R.",POLOS OPUESTOS REMIX - BLESSD VERSION,Colombia,2ALQyXMC26Vew7JX7ert9M
114,"Rauw Alejandro, Romeo Santos",Khé?,Colombia,1YYfyJ2yCvGFCxwjsIqEK9
115,Yeison Jimenez,Qué Día Es Hoy,Colombia,5PB1ITleNasy7UMYEaBWkL
116,Zion & Lennox,La player (Bandolera),Colombia,0VKkyBKCXyR99navhVRqcP
117,"Kris R., Blessd",COSITAS,Colombia,3ClyThLf2bguwdMcm7hqZ2
118,"Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren",UNA NOCHE DE LOCURA,Colombia,2tKVinInf0PJS1iG04zzqi
119,Beéle,si te pillara,Colombia,1C7NXX8UJ6pgNx8EkmyZDd
120,"Don Omar, Kendo Kapponi",RX,Colombia,3NgDulHteTVdF026IxY5bW
121,Willie Colón,Oh Qué Será?,Colombia,2n1MTLCis6qPSDKdr5XSDI
122,Blessd,Palabras Sobran,Colombia,4wu7jIeJCUhQJaXsXVit0e
123,KAROL G,Si Antes Te Hubiera Conocido,Colombia,73scB4Q4fcOmnsBVZPmk32
124,ARIA VEGA,AY MAMA (mi tiburón),Colombia,7yHZ66udwjeUafGohI7T46
125,Yeison Jimenez,Aventurero,Colombia,0ftcn4ddKESqQMA784Ebc0
126,Willie Colón,Gitana,Colombia,4VTb5wB46sZDsfL8XgroGt
127,Tito Rojas,Siempre Sere,Colombia,4ZGk5h0sIfeunWEKzXEoHr
128,Yandel,Encantadora,Colombia,7LABrQFfRYcZUqUwng0Heb
129,Yiyo Sarante,Corazon de Acero,Colombia,21nc3O8OncUv1jjSrC1ML2
130,GeezyDee,El Peor Hombre Del Mundo,Colombia,0TBFzXKWtoF7Lwh0LKFt8f
131,Yiyo Sarante,Manos de Tijera,Colombia,5ds1Hh3lo4JUF2vflqyayK
132,Frankie Ruiz,Deseándote,Colombia,0FsXZAMf6NACvNJ2LI6ySp
133,"Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete",Guaro (Remix),Colombia,5sMHuOIvtsSuFZafTcF19Q
134,"Zion & Lennox, J Balvin",Otra Vez (feat. J Balvin),Colombia,3QwBODjSEzelZyVjxPOHdq
135,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,Colombia,34vXRJ2bCSFiZKQzVUYVOb
136,Yeison Jimenez,Te Voy a Olvidar,Colombia,6jbDhMUR3Hc3yVPT2tEVxY
137,"W Sound, Myke Towers, Ovy On The Drums",5 Estrellas - W Sound 23,Colombia,7hYlC6s0SXSIwtFlW6NgjT
138,"Romeo Santos, Prince Royce",Dardos,Colombia,5SudOD9R1Of6CsJVWZy6CQ
139,Grupo Niche,Sin Sentimientos,Colombia,7xDwU3I38ReireLvv79h63
140,"Yeison Jimenez, Pasabordo",Hasta La Madre,Colombia,1nDvFYTsaQwxt5CTk7LJ5E
141,Clarent,BIENVENIDA,Colombia,7zwgHkTKv86nMOREN5k1hx
142,Yeison Jimenez,Tu Mal Sabor,Colombia,1LNLFgc99bgCWPAaJ9zUQi
143,"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,Colombia,2beS6dD5rovBxSA1zYoSHR
144,Beéle,frente al mar,Colombia,1i1n7hUzCDkXGFqIJSSzom
145,"Maluma, Yeison Jimenez",Con el Corazón,Colombia,1xTWu5aArww0QtXqX2ScBI
146,"J Balvin, Bad Bunny, Marciano Cantero",UN PESO,Colombia,7hynhxDoDpgMIV12JuVtNa
147,"El Americano 4KT, THE FAVORITES",MAMAXITA,Colombia,3UJN0IUZIeXnrmo48e6XXx
148,Aventura,Dile al Amor,Colombia,2Bhmj4XK33InfhqKPxcJ1v
149,"Peso Pluma, Estevan Plazola",HOLLYWOOD,Colombia,5GTBdEjZe7zEDp1N0eCZE4
150,Rayo & Toby,Movimiento de Caderas,Colombia,5u4XWSNpF4wE6W6i78Uf1B
151,Fuerza Regida,ANSIEDAD,Colombia,1a7onn7lPqqRWul5ogyMyX
152,Aventura,El Perdedor,Colombia,27ze5t5tIDPlVits0KRbxT
153,Tego Calderón,Pa' Que Retozen,Colombia,5YJ4BVvTFmVCxUyhKejHfR
154,"Georgy Parra Salvaje, Yeison Jimenez",GPS #5 - Dime Que Sí,Colombia,7BNTVOitDoUC5HVN8HleQy
155,BTS,Dynamite,Colombia,5QDLhrAOJJdNAmCTJ8xMyW
156,"J Balvin, Bad Bunny",QUE PRETENDES,Colombia,25ZAibhr3bdlMCLmubZDVt
157,Mon Laferte,Tu Falta De Querer,Colombia,4skuEIloXWuxxgekKupkEH
158,Bad Bunny,Tití Me Preguntó,Colombia,1IHWl5LamUGEuP4ozKQSXZ
159,ROA,FANTASÍA,Colombia,5hWpXZOs7vpz0JD3CIylsb
160,"Blessd, CARABIN3, SVNTI",MUSA REMIX,Colombia,5ReIuecGjsHabpYSNlKnuR
161,Don Omar,Dile,Colombia,69Ej1xrGjOcHvIMtMKxK0G
162,"Ryan Castro, Blaiz Fayah, Tribal Kush",BOMBASTIK<3,Colombia,2Kx9AfJPaJib9DwAdDYdB9
163,Luister La Voz,Las Cartas,Colombia,73BrH4q0vUdhT34uK9j98O
164,"Ryan Castro, Blessd",LEJANIA,Colombia,4py8x8qXCOTi0Rrm4NbCTK
165,Ele A El Dominio,Hace Mucho Tiempo,Colombia,3eIvjtwoYC16ElxYE6ph7J
166,"Trap Capos, Noriel, Bad Bunny, Arcángel",De las 2 (feat. Bad Bunny & Arcángel),Colombia,4DS7HoqrKq1dDjeYOKBlu9
167,"Bad Bunny, Feid",PERRO NEGRO,Colombia,7iQXYTyuG13aoeHxGG28Nh
168,Grupo Niche,Algo Que Se Quede,Colombia,1JXcB149QtbcIpDUA6YZOB
169,"Alleh, Yorghaki",capaz (merengueton),Colombia,2dd3G3ZqEcG2cNS1tp3oEk
170,"Alexis y Fido, Arcángel, De La Ghetto",Camuflaje (Remix),Colombia,1dAQ93kw8Sy9n4JCz2G9Nf
171,Los Hijos De Puerto Rico,Separados,Colombia,2HbmLkHkkI15eES8kpWRuI
172,Adolescent's Orquesta,Virgen,Colombia,5HCGrYR7g9u2X9Ju83yQLm
173,"El Americano 4KT, Tony Monta",WELCOME,Colombia,2lGGv17kLfOrdVzNFzuQWM
174,Yeison Jimenez,Maldita Traga,Colombia,4ysgNOWbc02RUnCxQMzpeL
175,"Luis Silva, Yeison Jimenez",Como No Voy a Decirlo,Colombia,0ToktqlTchGYvCRHUCWnG5
176,"Blessd, Hades66, Blackinny, Young Fatty",MAS QUE AMIGOS,Colombia,0sOrHE0vkEhrmWZnhqjP36
177,"Oscar Maydon, Fuerza Regida",Tu Boda,Colombia,5mp6OBKCAjN4UYRvhOuUze
178,Omar Courtz,⁠LUCES DE COLORES,Colombia,5dDlknAL9imbXXl7uG7oqe
179,"La Factoria, Eddy Lover",Perdóname,Colombia,6yLqoieklk9gwabLaUDJ4s
180,"Piso 21, Marc Anthony, Beéle",Volver,Colombia,61C7zXd4t2Zuhz6DRwgsLM
181,Farruko,Cositas Que Haciamos,Colombia,5BrVJGkFTBPAMRl5hIE9A7
182,"Blessd, Kris R., Young Fatty, TURY, CARABIN3, GeezyDee","MIU MIU (feat. GeezyDee, CARABIN3)",Colombia,1btsXTZnL2wVSW8oDWvjMM
183,Willie Colón,Talento De Televisión,Colombia,3fRIuTih8bzc0vtY9fHhvF
184,"Don Omar, Plan B",Hooka,Colombia,0BenZn1xELuxhb7Pjwyjxv
185,Blessd,Instagram,Colombia,0EFxJw34fK8DWlTxx9qYeW
186,Juliana,El AchanTAdo,Colombia,3fr52NaaVxb2UxPNxDtaQx
187,"J Alvarez, Ñejo & Dalmata","Sexo, Sudor y Calor",Colombia,4eDjNcAyIuJFhQ31Fvvoc1
188,Maluma,El Perdedor,Colombia,1iEwyiSLAunPR6uouANE0O
189,"Victor Valverde, JR Torres",El Mayor De Los Ranas,Colombia,6v5qt5KPQHJt5ckWuhDGtM
190,Luis Enrique,Yo No Sé Mañana,Colombia,5jJTqI5yteOyLWoDTjiHCO
191,Hades66,YO QUIERO,Colombia,47sQ0h1xhlDWJ3nHbwYPrg
192,Fuerza Regida,TU SANCHO,Colombia,6eLQXa6uk2EW8drsiKbABZ
193,"GeezyDee, Kris R.",Parche Tranqui,Colombia,2ROj8GoI45RQouYomaLDTm
194,Jose Luis Carrascal,Como Duele El Frio,Colombia,2QcUxndr7skMMHLElnl4Bo
195,Fresto Music,Me Hace Daño Verte,Colombia,4dyzxv5SsdBtunuU3qj7Ti
196,David Pabon,Aquel Viejo Motel,Colombia,286NP8kXWzx2uHb5tr7TGv
197,Frankie Ruiz,Desnúdate Mujer,Colombia,65nL3OLuHHfEYxKkHMQ1fL
198,"Grupo Firme, Gerardo Coronel",Qué Onda Perdida,Colombia,6IV5Y1eWaQZ1jV5apkUMS4
199,Romeo Santos,Eres Mía,Colombia,6I86RF3odBlcuZA9Vfjzeq
200,"Bad Bunny, Bomba Estéreo",Ojitos Lindos,Colombia,3k3NWokhRRkEPhCzPmV8TW
1,Bad Bunny,DtMF,Global,3sK8wGT43QFpWrvNQsrQya
2,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,Global,1DwscornXpj8fmOmYVlqZt
3,Bruno Mars,Risk It All,Global,5y2ijHECwFYWqcAHKTZgzD
4,Djo,End of Beginning,Global,3qhlB30KknSejmIvZZLjOD
5,Olivia Dean,Man I Need,Global,1qbmS6ep2hbBRaEZFpn7BX
6,Taylor Swift,The Fate of Ophelia,Global,53iuhJlwXhSER5J2IYYv1W
7,Olivia Dean,So Easy (To Fall In Love),Global,6sGIMrtIzQjdzNndVxe397
8,Bad Bunny,BAILE INoLVIDABLE,Global,2lTm559tuIvatlT1u0JYG2
9,Bruno Mars,I Just Might,Global,6f68Ac5tt5BQOpwr0BV9oN
10,Bad Bunny,NUEVAYoL,Global,5TFD2bmFKGhoCRbX61nXY5
11,sombr,back to friends,Global,7qjZnBKE73H4Oxkopwulqe
12,Dominic Fike,Babydoll,Global,7yNf9YjeO5JXUE3JEBgnYc
13,RAYE,WHERE IS MY HUSBAND!,Global,55lijDD6OAjLFFUHU9tcDm
14,"Dave, Tems",Raindance (feat. Tems),Global,3oTuTpF1F3A7rEC6RKsMRz
15,Bad Bunny,Tití Me Preguntó,Global,1IHWl5LamUGEuP4ozKQSXZ
16,Zara Larsson,Lush Life,Global,1rIKgCH4H52lrvDcz50hS8
17,Alex Warren,Ordinary,Global,2RkZ5LkEzeHGRsmDqKwmaJ
18,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,Global,1CPZ5BxNNd0n0nF4Orb9JS
19,Bad Bunny,EoO,Global,6J5kc12BW5HuP3d7C3vvx8
20,"Lady Gaga, Bruno Mars",Die With A Smile,Global,7so0lgd0zP2Sbgs2d7a1SZ
21,Alex Warren,FEVER DREAM,Global,7ogpGbKc4Io6NCU6ydxXwZ
22,SIENNA SPIRO,Die On This Hill,Global,2gYTC8DsplN3RNdpdBcCOQ
23,BLACKPINK,GO,Global,3FZPp9lBUvhsxFxKJi3VkB
24,The Goo Goo Dolls,Iris,Global,6Qyc6fS4DsZjB2mRW9DsQs
25,sombr,Homewrecker,Global,7tICCrK3CcyRFKza7yrR0z
26,Billie Eilish,BIRDS OF A FEATHER,Global,6dOtVTDdiauQNBQEDOtlAB
27,The Police,Every Breath You Take,Global,1JSTJqkT5qHq8MDJnJbRE1
28,Ravyn Lenae,Love Me Not,Global,4WFgvKVfEhb3IUAFGrutTR
29,She & Him,I Thought I Saw Your Face Today,Global,0myRViRgmQ3J8izICXEAVO
30,Sabrina Carpenter,Manchild,Global,2BwO5K8Q7EPAJSGze3AAh9
31,Bad Bunny,VOY A LLeVARTE PA PR,Global,59D4DOkspUbWyMmbAPQkxZ
32,sombr,12 to 12,Global,05od2qm2MTSKCHxy1GBp5W
33,Gigi Perez,Sailor Song,Global,21IYMdzTrzSe191Cy5eMap
34,Taylor Swift,Opalite,Global,3yWuTOYDztXjZxdE2cIRUa
35,Bella Kay,iloveitiloveitiloveit,Global,5IMpnpD0tQVcqWlVIgtAtV
36,The Neighbourhood,Sweater Weather,Global,0cQVqPuHQP4KEwc7ZUQmj6
37,Billie Eilish,WILDFLOWER,Global,3QaPy1KgI7nu9FJEQUgn6h
38,Radiohead,Creep,Global,70LcF31zb1H0PyJoS1Sx1r
39,Bruno Mars,That's What I Like,Global,0KKkJNfGyhkQ5aFogxQAPU
40,"J Balvin, Bad Bunny",LA CANCIÓN,Global,0fea68AdmYNygeTGI4RC18
41,"Disco Lines, Tinashe",No Broke Boys,Global,3cZajhyr8LmtPfHZ9296tj
42,"Drake, Wizkid, Kyla",One Dance,Global,1zi7xx7UVEFkmKfv06H8x0
43,Benson Boone,Beautiful Things,Global,3xkHsmpQCBMytMJNiDf3Ii
44,Ella Langley,Choosin' Texas,Global,65DbTqJKhbwqYbZ1Okr0rc
45,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,Global,2pbSCYzxrG0wa6qcj8IyiE
46,Bruno Mars,Cha Cha Cha,Global,6QletrrmpkUpeJkipX9pgf
47,Don Toliver,E85,Global,3B4cjvGlPvyBLNG3AzEgkZ
48,Bruno Mars,Locked out of Heaven,Global,5g7sDjBhZ4I3gcFIpkrLuI
49,Jin,Don’t Say You Love Me,Global,27xkOIER6uDLKALIelHylZ
50,Arctic Monkeys,I Wanna Be Yours,Global,5XeFesFbtLpXzIVDNQP22n
51,The Killers,Mr. Brightside,Global,003vvx7Niy0yvhvHt4a68B
52,"Sean Paul, Keyshia Cole",(When You Gonna) Give It Up to Me - Radio Version,Global,5nEdwtSv0qqeE0l4o1lR4q
53,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",Global,7CyPwkp0oE8Ro9Dd5CUDjW
54,Coldplay,Yellow,Global,3AJwUDP919kvQ9QcozQPxg
55,Bruno Mars,God Was Showing Off,Global,1sVBT215CDmVJvfy1E2OCU
56,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Global,0l0vcZMU7AOeQmUIREoI2U
57,"El Bogueto, Yung Beef",Cuando No Era Cantante,Global,6N2iccqxRInhTLHc2Fu3W0
58,Sabrina Carpenter,Espresso,Global,2HRqTpkrJO5ggZyyK6NPWz
59,KATSEYE,Gabriela,Global,1xOqGUkyxGQRdCvGpvWKmL
60,Fleetwood Mac,Dreams,Global,0ofHAoxe9vBkTCp2UQIavz
61,Jimin,Who,Global,7tI8dRuH2Yc6RuoTjxo4dU
62,"Peso Pluma, Tito Double P",dopamina,Global,3e32UUqXzrI4g2y5kNZrwC
63,BLACKPINK,JUMP,Global,5H1sKFMzDeMtXwND3V6hRY
64,"The Weeknd, Daft Punk",Starboy,Global,7MXVkk9YMctZqd1Srtv4MB
65,Coldplay,Sparks,Global,7D0RhFcb3CrfPuTJ0obrod
66,"Ryan Castro, Kapo, Gangsta",LA VILLA,Global,2ZyrAym0sRLwt4PhGotHuI
67,Harry Styles,As It Was,Global,4Dvkj6JhhA12EX05fT7y2e
68,"ROSÉ, Bruno Mars",APT.,Global,4wJ5Qq0jBN4ajy7ouZIV1c
69,Dominic Fike,White Keys,Global,5ViLKrbyL3HD6wsq3AB9eI
70,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Global,7d6yK8v8J484SWH5prIQiE
71,Teddy Swims,Lose Control,Global,17phhZDn6oGtzMe56NuWvj
72,"Gorillaz, De La Soul",Feel Good Inc.,Global,0d28khcov6AiegSCpG5TuT
73,"Kendrick Lamar, SZA",All The Stars,Global,3GCdLUSnKSMJhs4Tj6CV3s
74,Vance Joy,Riptide,Global,2uXlHCUbq9OMUwx3hrk06o
75,Arctic Monkeys,505,Global,58ge6dfP91o9oXMzq3XkIS
