artist,title,spotify_uri,original_lang,lyrics_in_en,length,translation_review_required
"Morgan Wallen, Tate McRae",What I Want (feat. Tate McRae),04emojnbYkrRmv5qtJcgVP,es,"She said, ""You don't want this heart, boy, it's already broken.""
He told me that everything he touches turns into smoke
He only stays a couple of nights, then he leaves
And I said, ""Baby, you should know that's what I want.""

That's what I want, that's what I want
That's what I want, that's what I want, that's what I want
what i want

Nah, you don't have to worry about trust issues with me
I have them too, I have them too
Nah, you don't have to worry about crazy ex-girlfriends
I have them too, you know it well

If you are in a hurry
Nah, you're not going to hurt me tonight
And it won't be the worst
If this is all there is, and in the middle of a kiss

She said, ""You don't want this heart, boy, it's already broken.""
He told me that everything he touches turns into smoke
He only stays a couple of nights, then he leaves
And I said, ""Baby, you should know that's what I want.""

That's what I want, that's what I want (That's what I want)
That's what I want, that's what I want, that's what I want (That's what I want)
That's what I want (Oh)

No hard feelings if you just want to act like lovers do
For a night or two (Oh, oh, yeah)
And sometimes in the morning, we become like two strangers again (Hey, yeah)
that they never met

Baby don't worry
You're not going to hurt me tonight
And it won't be the worst
If that's how things are (I said), and he (she) kissed me again

And said, “You don't want this heart, boy, it's already broken.”
He told me that everything he touches turns into smoke
He only stays a couple of nights, then he leaves
And I said, ""Baby, you should know that's what I want"" (What I want)
She said: “You don't want this heart, no, it can't be fixed” (Ah, yeah)
And I'm not ready to try on a night like this
But if you still want to stay, there's nothing wrong (No, there's nothing wrong)
And I said, ""Baby, you should know that's what I want.""

That's what I want, that's what I want
That's what I want, that's what I want, that's what I want (Ooh)
That's what I want, yeah, yeah (Oh, yeah, yeah)
That's what I want, that's what I want (Ooh) (Mm, yeah)
That's what I want, mm-mm

Hey, yeah, uh
That's what I want, that's what I want",2214,False
Kenshi Yonezu,Lemon,04TshWXkhV1qkqHzf31Hn6,ja,"​

How good would it have been if it were a dream?
I still dream about you
Like going home to get something you forgot
dust off old memories

That there is happiness that will never return
finally you told me
The dark past that I hid without being able to talk about it
Without you I'll be in a dark place forever

I'm sure I won't get hurt any more
I know it won't happen

Even the sadness of that day, even the pain of that day
I loved all of it with you
The bitter lemon smell that stays in my heart
I can't go home until the rain stops
You are still my light

I traced your back in the dark
I remember its outline clearly
Every time I encounter something I can't accept
The only thing that doesn't stop overflowing is tears

What were you doing? What were you looking at?
With a profile that I don't know

Somewhere, you're just like me right now
If you're in tears, feeling lonely
Please forget about me
The more I sincerely wish for that
You are still my light

than I think
To you who was in love
As I have thought since then
I can't breathe
Even though I was by your side like that
It's like a lie
so unforgettable
That's all for sure

Even the sadness of that day, even the pain of that day
I loved all of it with you
The bitter lemon smell that stays in my heart
I can't go home until the rain stops
Like one half of a cut fruit
You are still my light",581,False
"Bizarrap, J Balvin","J Balvin: Bzrp Music Sessions, Vol. 62/66",04YMLAsyIAe1sLb6RO5YcC,es,"For fun, I just did it for fun
For fun, for fun
For fun, I just did it for fun
For fun, for fun

When I thought that I had finally forgotten you, your photo appeared
My eyes watered, my look changed (For fun, for fun)
And at the end of the day, it may be the reason why I'm still alone (For fun, for fun)
Because after everything (For fun, I just did it for fun), I haven't forgotten you anything (Nothing; for fun, for fun)

And the one who forgot me, forgot that she forgot me
And the one who forgot me, forgot that she forgot me

I feel like your name is in all my thoughts
I can't see you but you are like the wind that takes everything away
And you as if nothing happened (For fun, for fun)
I'm lying if I say that I no longer have feelings.
I lack memory and I have plenty of memories
I should hate you but I don't feel like it (For fun, for fun)

And the one who forgot me, forgot that she forgot me
And the one who forgot me, forgot (J Balvin, man)

I want you to at least remember me as something good (Ah)
Don't forget the way we do it' (Ah)
If I say it, it's going to sound kind of obscene
But, ma, if you want, we'll see you and we'll solve the problem.
And if not in this life, hopefully in another we won't find each other
And if not (
Fly, fly
)
I'm going to let you fly in another direction (
In another direction
)
I'm going to drink listening to Omar Geles
I'm going to download the photos that one day I uploaded to the networks (For fun, for fun)
Look how bad you have me
You kill me with this

I feel like your name is in all my thoughts
I can't see you but you are like the wind that takes everything away
And you as if nothing happened (For fun, for fun)
I'm lying if I say that I no longer have feelings.
I lack memory and I have plenty of memories
I should hate you but I don't feel like it (For fun, for fun)

And the one who forgot me, forgot that she forgot me
And the one who forgot me, forgot that she forgot me

J Balvin, man
Bizarre
(For fun, for fun)",1811,False
Ella Langley,Be Her,05CjWFAcAlY6O9po6Qwakk,en,,1637,False
sombr,12 to 12,05od2qm2MTSKCHxy1GBp5W,en,,1730,False
C. Tangana,Mala Mujer,067QpM2xLhK24hTiovC3Zo,es,"(Your-your-your-your, your gel nails)

Bad woman, bad woman
Your gel nails have left scars all over my body.
Bad woman (Bad woman), bad woman (Bad woman)
Your gel nails have left scars all over my body.
(Let's go)

I have sworn to myself thousands of times, thousands of times
I was going to erase that trace, forget your pain
(Ma-ma-bad woman)
I'm a dog lost in the street, lost in the street
Feeling that any breeze drags me to your smell

Just because you're gone (That's what), I want to lose my senses (That's what)
And I dance drunk, lost, desperate
(I'm desperate)
Just because you're gone (That's what), I want to lose my senses (That's what)
And I dance drunk, lost, desperate

Bad woman, bad woman
Your gel nails have left scars all over my body.
(Your-your-your-your, your gel nails)
Bad woman, bad woman
Your gel nails have left scars all over my body.

And now I am, desperate (Desespera'o!), desperate (Desespera'o!)
Lost drunk dance, desperate
And now I am, desperate, desperate
Lost drunk dance, desperate

Bad woman, bad woman, bad woman (Ay, ay)
Bad woman (Bad woman), bad woman (Bad woman)
Your gel nails have left scars all over my body.
(Let's go)

The first time I saw that body move
A Dellafuente song was playing
A burst of sweat soaking my forehead
Her nails shined, people looked at her (That's it!)
Hair down to the ass and chin high
I did it slowly to the rhythm of the song
I was in the booth preparing the show
But I wanted to get off and rip off the crop
When I saw her dancing, she felt like she was losing inside herself
When I saw her dancing, I should have run away from there
But I saw her dancing, and I couldn't contain myself
And now I'm crying and she's dancing, bad woman

What you are is a thief
that you have led me to ruin
You have taken my heart, my pride, my money, my peace, my life
What you are is a thief (Thief!)
That you have led me to ruin (To ruin!)
You have taken my heart, my pride, my money, my peace, my life

Bad woman, bad woman
Your gel nails have left scars all over my body.
(Your-your-your-your, your gel nails)
Bad woman (Bad woman), bad woman (Bad woman)
Your gel nails have left scars all over my body.",2290,False
"Anuel AA, Bad Bunny",Hasta Que Dios Diga,06s3QtMJVXw1AJX3UfvZG1,es,"Brr
Today the night is ending, you naked in my bed (Bed)
Last night I dreamed of you (I dreamed), and I was left with the winnings (Winning; uah)
Baby, turn off the cell phone I want to enjoy you
I'm not going to answer him, no, yeah (Yeah-yeah)
And that suit looks good with your buttocks' tight'
But it's time to remove it

Hey, today the night is yours and mine (Yours and mine, yeah-yeah)
The light is off, but you are on
The note tells me to continue (It tells me that—)
I'm going to give you until Dio says, hey (Brr)
Today the night is yours and mine (Uah)
The light is off, but you're on (Uah)
The note tells me to continue (To continue)
I'm going to give you until God says (Uah)

'You're so hard that even Ricky Martin wants to give you (Give you)
You arrive' and these whores start to envy you (Envy you)
Your cat says it's real, but he lies to you (Brr)
I'm real, I'm real to death, yah
Why is that boy of yours jealous? ('You're jealous)
And that lip' down there 'so juicy' (Juicy')
Baby, tonight is about us' (Of us')
And that totito in my mouth is chewy, hey (Chicloso)
May the Virgin and Jesus Christ not forgive
It was that I saw you, I tripped over your little ass
Baby, don't compare me 'cause I never compete
Mayweather is not going to climb into the ring with Margarito (Brr)
I just want to twerk you, tie you in bed
Bite you and lick all your parts
Talking rude things in your ear (Russian words)
Your love is his, but in sex you are mine, yah-yah (Brr)

Today the night is yours and mine
The light is off, but you are on (Eh)
The note tells me to continue (It tells me to continue)
I'm going to give you until Dio says (Until—; uah-uah)
Today the night is yours and mine (Yours and mine, baby)
The light is off, but you are on (Uah)
The note tells me to continue (Uah)
I'm going to give you until Dio says (Yeh-yeh-yeh), hey (Brr)

That ass is bastard, mommy, you're blessed (Amen)
I touched you and it was wet (Hey)
To fuck you don't have to be together for life (No)
Let's let the moon decide today (Wuh)
Because we're 'arrebatao' (Arrebatao'; hey)
And you're a badass, I've already noticed it' (I've noticed it'; hehe)
Your cat always takes everything (haha; hey)
And I at 40 thousand feet in the jet trepao' (Wuh!)
You are my Lady Gaga, I'm your Bradley Cooper
She swallows it (Swallows), and spits it out at me
You want to eat me, I always knew it
If you want, I'll buy you the Range or the Mini Cooper (Wuh!)

And I bought you a Gucci babydoll (Gucci)
So I can put it on you with the Prada heels (Ah-ah)
I see you typin', but you don't send' anything
Give me the location and wait for me at the entrance, hey
I bought you a Gucci babydoll (Gucci)
So I can put it on you with the Prada heels (Ah-ah)
I see you typin', but you don't send' anything
Send me the location and wait for me at the entrance, hey

Today the night is yours and mine
The light is off, but you are on
The note tells me to continue
I'm going to give you until God says (Uah; brr)
Today the night is yours and mine (Uah)
The light is off, but you are on (Uah)
The note tells me to continue (To continue)
I'm going to give you until God says

Hey; brr
Real, real (Yeh-yeh-yeh-yeh)
Real until death, baby (Yeh-yeh-yeh-yeh)
Real until death, baby
Bad Bunny, baby, eh, eh, eh
Bad Bunny, baby, yeah-yeah
Anuel
Chris Jeday
Ga-Gaby Music
Mera, tell me Nino
Yeah-yeh
Sweet Like Candy
Yeah-yeh (Real to death, baby)
The king and the god, did you hear? (Real to death, baby)
Brr
Mera, tell me Frabian
Real until death
(Yeh-yeh-yeh
Tell him that you are mine
The light is off, but you're on, it's on
The note tells me to continue
I'm going to give you until Dio says)
Yeah-yeah-yeah-yeah",3498,False
"Ulises Bueno, DesaKTa2",No Puedo Fingirlo,06WyITrA2pZJT5Nt79AOrb,unknown,,0,False
tuki.,晩餐歌 - Bansanka,075HUD50Nuea3rNaABIsNZ,ja,"I'll make you cry, so I can't be with you
I want you to forget quickly because I'll make you cry
I'm human, so I want to eat different things sometimes.
Because I'll make you cry Yes, I'll make you cry

But it's bland, isn't it?
I want to see you.
I don't want to see anyone but you
How selfish
It's mostly vague
Proof of the existence of love
can you tell me

Something I can't get no matter how many nights I spend
Please line up the words ``I love you''.
Something I can't get no matter how many nights I spend
Enjoy the best full course

I'm sure it won't last forever because I'll make you cry
My heart hurts so much because I make you cry
Because we're human, sometimes we don't understand each other.
I'll make you cry, I'll make you cry again

But I'm not confident
You don't want to change, right?
I don't want to see anyone but you
How selfish
It was all vague
Proof of the existence of love
Even though you're there

Something I can't get no matter how many hundreds of nights I spend
Please line up the words ``I love you''.
Something I can't get no matter how many hundreds of nights I spend
Enjoy the best full course

The one who stayed by my side without leaving me
In the end you were the only one
The spice of tears is in your heart
It will probably remain though

Even if I spend a thousand nights, I can't get it
I'll line up the words ""I love you""
Even if I spend a thousand nights, I can't get it
The best full course
No matter how many tens of thousands of nights I spend, I'll never forget it
I'll line up the words ""I love you""
No matter how many tens of thousands of nights I spend, I'll never forget it
Enjoy the best full course",615,False
Laufey,Promise,08PdFBcXzpkn1cWNgmKqhn,en,,823,False
李浩瑋 Howard Lee,無垢,08VBl78Lgs7VIEzCL1Btyv,unknown,,0,False
Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF,en,,1681,False
"Midnvght, ROA, Mora, Eladio Carrion, Clarent, Finesse",Falsas Promesas (Remix),09djeJtz8wrtQFs5YtwgD4,es,,6118,False
Ñengo Flow,En Las Noches Frias,0a0JiZejbYYem1W31fldde,es,"Real G4 Life
You know, Lester
Gotay
Pain Digital, Pain Digital
Hey, John Jay, the supreme lyrical killer
The Dream Team is very heavy, baby

I have the key at your exit in case you are lost
He sends me from above, but it keeps turning on'
Daring, you want to do it
Put your body together and don't pretend anymore
I know you well, I also know very well what you give
Mommy-mommy-mommy, if you turn me on, don't back away
And let it devour you (Haha), you're going to make me fall in love
And if I put it on, I take it on my shoulder
I make it ready, inside I hide it
I'm not here to play, stop crying
Don't eat shit to hurt us (Ah)
She is a warrior of the same battle
Whenever he pulls me, he never and never fails
I do it in the sand, on the shore, on the beach
So that you never forget your little boy 'e Baya
How do you feel? I don't want to ask you anything else for today
And I just hope that you tell me the truth of the situation
You get badass (Bellaca) when my song plays

Bri-bi-ba, let's hit it hard
Hard for it to turn on
I'll make it very clear to you so that you understand me clearly.
I'm going to give you a hard time so that you don't regret it
On cold nights, I know my name lies
Seeking refuge, you're stuck up
You're not going to convince me, today you have to see me (Haha)
Just, mommy, it's a ""solve""
You're going to have a good time when you start getting to know me
I'm going to give you a hard time so that you don't regret it
On cold nights, I know my name lies
Seeking refuge, you're stuck up
You're not going to convince me, today you have to see me (Haha)
Just, mommy, it's a ""solve""
You're going to have a good time when you start getting to know me

So let's go away, let the breeze follow us
It was that I found you when you were lost
A-a-a-friend, I'm going to give you whatever you ask for'
To treat you well, something special in your life
Today you're lucky, I want to enlighten you
I'm going to hit you hard, you are apart
You will never forget these times
Just by kissing me you steal my breath, and I'm not lying

I took her by surprise, my anesthesia is her lips
She gets really crazy when she hears me on the radio
Your body is my soul, give me calm
In my mind I have a bomb, why don't you disarm it?
But do it quickly, before the alarm goes off.
Before I burst, let's see if it saves me

I'm going to give you a hard time so that you don't regret it
On cold nights, I know my name lies
Seeking refuge, you're stuck up
You're not going to convince me, today you have to see me
Just, mommy, it's a ""solve""
You're going to have a good time when you start getting to know me
I'm going to give you a hard time so that you don't regret it
On cold nights, I know my name lies
Seeking refuge, you're stuck up
You're not going to convince me, today you have to see me
Just, mommy, it's a ""solve""
You're going to have a good time when you start getting to know me

Ñengo Flow, hahahahaha
Kevin (Oh shit)
Yeah-yeah
You know what there is
Real G4 Life
Millions Records, haha
Full Records (What's up, W?)
The ""L"" lit up
John Jay
oh shit
Hey, pa' Chile
For Mexico, for the whole world, yo-yo
Shadow, what's up, baby? Hey-yo
Giving it hard, very hard (Sounding humble, too much, too much)
Giving it hard, mai, as it's supposed to (What happened?)
Giving it hard, very hard
Giving it hard, mai, as it's supposed to (He says, he says, he says, he says)
I'm going to hit you hard, mommy, so that you feel it'
On cold nights I know that my name lies",3273,False
