rank,artist,title,region,chart_date,spotify_uri
40,back number,ヒロイン,Japan,2026-03-05,3hBAYbAECEix9raaTq8S3H
41,Snow Man,カリスマックス - CHARISMAX,Japan,2026-03-05,76OElzXqlyLCdlSypwSKBy
42,Mrs. GREEN APPLE,クスシキ,Japan,2026-03-05,57zS3lPil2VxdlBLXHu8l2
43,CHANMINA,Never Grow Up,Japan,2026-03-05,5aDgM8rYPT15CqjkN1EIKq
44,natori,セレナーデ,Japan,2026-03-05,0CWAQlHsvfqcKJVVz9up2R
45,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,Japan,2026-03-05,1CPZ5BxNNd0n0nF4Orb9JS
46,back number,恋,Japan,2026-03-05,7f9DsQEsIoeTwKxV6shsom
47,Lilas,恋風,Japan,2026-03-05,3gw8n3DG28VaYGuVc3lqxl
48,HANA,Tiger,Japan,2026-03-05,20VZXnRzvcS0qVMOThjjmM
49,CHANMINA,TEST ME,Japan,2026-03-05,1chmVQLbEPT5890S0X55pe
50,Number_i,GOD_i,Japan,2026-03-05,0burgYTcpItZGiRjvWhJjM
51,Number_i,LAVALAVA,Japan,2026-03-05,7vgZhgyZBkGJvuh37tJnJo
52,HANA,Burning Flower,Japan,2026-03-05,5a3s0iaDfGW06yLfwFnmT7
53,HANA,BAD LOVE,Japan,2026-03-05,6M4fRouHq1Zxtl05ifoeAL
54,sakanaction,IRANAI,Japan,2026-03-05,7lT3oj3gxE6AJb87ZK8up7
55,back number,君の恋人になったら,Japan,2026-03-05,0k4KaqElLVjdR6sVHPTS6h
56,Mrs. GREEN APPLE,GOOD DAY,Japan,2026-03-05,61UOoqGI1B9qdeD5Dzupyb
57,back number,瞬き,Japan,2026-03-05,7hIfpcdUZcyCKHYy8gp49E
58,Remioromen,Sangatsu Kokonoka,Japan,2026-03-05,4g066xFUp3cTUuTfOCPytT
59,Sukima Switch,奏(かなで),Japan,2026-03-05,5RbMlPFL4gVyEHW2lEOuzG
60,back number,幸せ,Japan,2026-03-05,1YVuXOCjN1GkGYqZ8RCcF3
61,Superfly,愛をこめて花束を,Japan,2026-03-05,7CmWXD3w1xOO53AAO4LRVQ
62,IVE,BANG BANG,Japan,2026-03-05,7pBE8YpFoZ9ankC2Ci5z9X
63,back number,オールドファッション,Japan,2026-03-05,0Xn30nT5EKFPsWvpiJ2Iav
64,Aimyon,Marigold,Japan,2026-03-05,2cKiHG16JBiqHdi7Llq0r7
65,=LOVE,劇薬中毒,Japan,2026-03-05,6FomeOYunnOCSG2eqkaHn0
66,Hearts2Hearts,RUDE!,Japan,2026-03-05,0WA27lZzPKFJKAbiDRmQDc
67,Aimyon,愛を伝えたいだとか,Japan,2026-03-05,0N8Xztr4pBHJ7V0moJWhbO
68,=LOVE,とくべチュ、して,Japan,2026-03-05,2XS2jEncSJsetNZdVtlpeo
69,M!LK,E Jan,Japan,2026-03-05,0jj4mLjwYcos3PPzjQwVzh
70,BellyJay,MONTAGEM HIKARI,Japan,2026-03-05,0XqgE9UN4MCo5ooIwUYm7l
71,KANA-BOON,シルエット,Japan,2026-03-05,1di1C0QI6Y92yZPYn6XYAZ
72,Aimyon,君はロックを聴かない,Japan,2026-03-05,59eluCMn0XbOWqeWQ91FTM
73,Mrs. GREEN APPLE,インフェルノ,Japan,2026-03-05,2vOAHp8PBBFYqvQUWSoITY
74,Macaroni Empitsu,恋人ごっこ,Japan,2026-03-05,2SihT7AVMiI2VtaAyVIcnO
75,Snow Man,オドロウゼ！,Japan,2026-03-05,0MV9cdI2SS1s0tIkl9fTR8
76,Fujii Kaze,Kirari,Japan,2026-03-05,3L7ISJTvKx56uhsF28aJ4p
77,yangskinny,Setsugekka,Japan,2026-03-05,21UVLrJ0yuJ6CGeElXMG0C
78,SPITZ,楓,Japan,2026-03-05,0b7IBgZjedM53ufZV4f4CL
79,SPITZ,チェリー,Japan,2026-03-05,1ihCiJaXRl4f6Sy4LJov5z
80,XG,HYPNOTIZE,Japan,2026-03-05,3fEX9NgOeklq816Fw00uoo
81,OFFICIAL HIGE DANDISM,Pretender,Japan,2026-03-05,15HNdxGKNCIO9pgaY4n7FU
82,Mrs. GREEN APPLE,ダンスホール,Japan,2026-03-05,4QIKSlDV5YIjr0kqT1Ad32
83,Yorushika,晴る,Japan,2026-03-05,6kFIakexzgsZwsfWDmb36o
84,Kenshi Yonezu,アイネクライネ,Japan,2026-03-05,45YBVp6zMwQZRbUDcPzmMB
85,Yuuri,ドライフラワー,Japan,2026-03-05,4kPlQKwtPrnqLgrmmKFSlA
86,back number,怪盗,Japan,2026-03-05,014Dp0tBp4d9uuFAvH1mlc
87,Mrs. GREEN APPLE,春愁,Japan,2026-03-05,5SHguvOUbyPTINNjCvRo8K
88,Macaroni Empitsu,なんでもないよ、,Japan,2026-03-05,5W7Y92LB4jWvu9NeEQ0GZl
89,Omoinotake,幾億光年,Japan,2026-03-05,5Ak1F5nGzM4KRhE0H1Q3CP
90,King Gnu,白日,Japan,2026-03-05,172fMG26G2OoEzzg0wn26r
91,Mr.Children,HANABI,Japan,2026-03-05,77lmDcPPyY6kK907gdgC6i
92,RADWIMPS,Seikai,Japan,2026-03-05,6vg9UGXRVL4YKNVqVMmOKF
93,RADWIMPS,me me she,Japan,2026-03-05,0BYa5V0RyOYthDeCMUBJQZ
94,CHANMINA,B-list,Japan,2026-03-05,0mBPNrXQjNv3NfzqrljAZZ
95,"Disney, Shakira",Zoo,Japan,2026-03-05,3vJIaiTIHxHhYafTSPNiH4
96,King Gnu,SPECIALZ,Japan,2026-03-05,5oQpH1uuZte4axR411rIlN
97,BLACKPINK,GO,Japan,2026-03-05,3FZPp9lBUvhsxFxKJi3VkB
98,GReeeeN,キセキ,Japan,2026-03-05,7ztdl6cnbJgHRdMkKldkts
99,Vaundy,Tokimeki,Japan,2026-03-05,3e0Td8QexmD5l3DJzXbbcC
100,sakanaction,新宝島,Japan,2026-03-05,4a48lWUd64bZgHUDx0GZlj
101,SPITZ,ロビンソン,Japan,2026-03-05,0sVnyL71jTOuMt9TZ59bws
102,Kenshi Yonezu,さよーならまたいつか！- Sayonara,Japan,2026-03-05,5pN2AyWwjzwRoI7gukEVNd
103,Novelbright,ツキミソウ,Japan,2026-03-05,6sElEqOIGENWjpxGFeo5ct
104,back number,クリスマスソング,Japan,2026-03-05,5P8ZvBQoCrujjNcLAxO3Su
105,Vaundy,Fukakoryoku,Japan,2026-03-05,6AncLCxf4U7ivJEaqih9zA
106,Fujii Kaze,Tabiji,Japan,2026-03-05,7uSLJCDetmdm3tQcoYLyty
107,Kenshi Yonezu,Lemon,Japan,2026-03-05,04TshWXkhV1qkqHzf31Hn6
108,natori,プロポーズ,Japan,2026-03-05,2BcQfb9SfauDQdeXHTfLsT
109,Aimyon,Naked Heart,Japan,2026-03-05,4Jv7U0JJpbQnOrjtDwDZTZ
110,Mr.Children,Again,Japan,2026-03-05,242tGHok7sRTVjCaTS0FoH
111,Lilas,パズル,Japan,2026-03-05,2vdoeTuRLpYeyo3JZC9yzR
112,Jimin,Be Mine,Japan,2026-03-05,3LWVXp636uLT356Rj08Jaz
113,Yorushika,春泥棒,Japan,2026-03-05,1rr2DJOxV0sHXeUXCAz1yf
114,Yorushika,ただ君に晴れ,Japan,2026-03-05,3wJHCry960drNlAUGrJLmz
115,Ed Sheeran,Shape of You,Japan,2026-03-05,7qiZfU4dY1lWllzX7mPBI3
116,Fujii Kaze,Garden,Japan,2026-03-05,5U4PgFWzfzY7VEg9Ck4ziF
117,Hikaru Utada,First Love,Japan,2026-03-05,39HrUxcvKF3jtLz7fUDWXc
118,tuki.,晩餐歌 - Bansanka,Japan,2026-03-05,075HUD50Nuea3rNaABIsNZ
119,OFFICIAL HIGE DANDISM,Subtitle,Japan,2026-03-05,5ZkHkXPHrIM8K5twCe78i9
120,Mrs. GREEN APPLE,Magic,Japan,2026-03-05,170XOP1T4MvY9TLTgPw07D
121,PornoGraffitti,アゲハ蝶,Japan,2026-03-05,3blWd9ZEt4VSY5udhugpRs
122,OFFICIAL HIGE DANDISM,Rashisa,Japan,2026-03-05,2TRxremVZ0t2JVu5OFxbiA
123,OFFICIAL HIGE DANDISM,I Love...,Japan,2026-03-05,5wWLNNwMAehpj83FU4Lz0m
124,SG,"Us, again",Japan,2026-03-05,6II2hXGYMd9cTZWshcPUf8
125,OFFICIAL HIGE DANDISM,115 million kilometer film,Japan,2026-03-05,278JqkBGkjDovOYAwE8TW7
126,Aimyon,Harunohi,Japan,2026-03-05,1oNeSCt0CMekCyyLo06kFs
127,Yorushika,茜,Japan,2026-03-05,2TSJ1d6cLgHqrrCIRN3bn2
128,Novelbright,愛とか恋とか,Japan,2026-03-05,1VHL1PIkhDwWbFc65xHwOr
129,BLACKPINK,JUMP,Japan,2026-03-05,5H1sKFMzDeMtXwND3V6hRY
130,Yuuri,ベテルギウス,Japan,2026-03-05,4JK1kDUdH9RTBQrrSO1QfR
131,OFFICIAL HIGE DANDISM,Make Me Wonder,Japan,2026-03-05,1sgW7loPL1qtWOPimvm7X5
132,HANA,Tiger – HANA with HONEYs Ver.,Japan,2026-03-05,3TJSJtYzjxRaDi0ULwwyTt
133,Vaundy,踊り子,Japan,2026-03-05,1YXot2MLAG9sttepCtBRM7
134,SUDA MASAKI,さよならエレジー,Japan,2026-03-05,3oYD2O31b05fILFpv0AXRI
135,Kenshi Yonezu,KICK BACK,Japan,2026-03-05,7oYCBKvdjrqp5vDbhDBuac
136,CANDY TUNE,BAIBAI FIGHT!,Japan,2026-03-05,4oiJ7VynczppKs3oRObXSG
137,Kenshi Yonezu,感電,Japan,2026-03-05,6H0PLsSYMzDOqhLgyOlzIj
138,Macaroni Empitsu,ブルーベリー・ナイツ,Japan,2026-03-05,2UdvMWk0Z83lMJPbawy2Sm
139,KiiiKiii,404 (New Era),Japan,2026-03-05,24rDDbSlFY9OHrlJb48CRh
140,HIRAIDAI,"Stand by me, Stand by you.",Japan,2026-03-05,7DyS11kB1YNrfDzQqtjmTh
141,Takaya Kawasaki,ぬくもり,Japan,2026-03-05,105cC947hT8ToEXt5ZN6qz
142,Vaundy,花占い,Japan,2026-03-05,4ETc1oFREuqQss7VQ1Y4mj
143,IVE,BLACKHOLE,Japan,2026-03-05,2ytQFMxdreEFPPZTtyDdqM
144,Fujii Kaze,Michi Teyu Ku (Overflowing),Japan,2026-03-05,5glPFBAuA1C85tBcVWVzvO
145,Mrs. GREEN APPLE,ロマンチシズム,Japan,2026-03-05,0JcI7OdALbpSFkyKoufRYs
146,Saucy Dog,Itsuka,Japan,2026-03-05,5gjAdhfzftzFR7sriEYUCt
147,GReeeeN,愛唄,Japan,2026-03-05,7iXHLtPosbHvglVSJ4rxLq
148,CHANMINA,花火,Japan,2026-03-05,4rtJHOlUnGem3BQCVWfrjD
149,"CHANMINA, No No Girls FINALISTS",SAD SONG - From THE FIRST TAKE,Japan,2026-03-05,3ySFBoxNHK3YgU1D9AyMl3
150,"ryo (supercell), Kaguya(cv.Yuko Natsuyoshi), Yachiyo Runami(cv.Saori Hayami)",World is Mine - Kaguya&Yachiyo Runami ver. - CPK! Remix,Japan,2026-03-05,1qaQyHIAzk6vAMEhACi0tH
151,Fujii Kaze,Hana,Japan,2026-03-05,5RIQU2JDuXC4NkLiHNNMon
152,Tani Yuuki,W / X / Y,Japan,2026-03-05,4IfrM44LofE9bSs6TDZS49
153,Vaundy,napori,Japan,2026-03-05,7hDX39mc6Uf6zp8RXYUQ6d
154,GReeeeN,遥か,Japan,2026-03-05,4wBFubvNAwVox8q4SYXHqU
155,Saucy Dog,Cinderella Boy,Japan,2026-03-05,4ZIr1NSxVihtHcD6EnG65f
156,back number,アイラブユー,Japan,2026-03-05,34ayWAUrQcrjlKZOJAzqke
157,back number,日曜日,Japan,2026-03-05,1LDxe7AgJ7DRYdV012EmyR
158,Macaroni Empitsu,ミスター・ブルースカイ,Japan,2026-03-05,6glcoO077gTGhgdVI9X5wA
159,Aimyon,Let the Night,Japan,2026-03-05,6kKvmT4i0Dercz6f3kftg3
160,Hikaru Utada,花束を君に,Japan,2026-03-05,31yv1hR9gw1WSEmtqsaZbD
161,"neguse., 汐れいら",織姫とBABY,Japan,2026-03-05,2RMBCQdXkfFArpX3NIuuNm
162,Koji Tamaki,ファンファーレ,Japan,2026-03-05,29nEadzf4CqeLYzcf44zub
163,ARASHI,Love So Sweet,Japan,2026-03-05,5I6JLJqnZICLvPebTj2YCm
164,MONGOL800,小さな恋のうた,Japan,2026-03-05,23atyJacJVHvB9RHBNhr35
165,Kenshi Yonezu,1991,Japan,2026-03-05,3voShTcaRtbYVSPGuCLAzw
166,back number,新しい恋人達に,Japan,2026-03-05,5LclntckGFFGFUVGJk9Z4x
167,Snow Man,STARS,Japan,2026-03-05,7oS96qmtYu3AdEX29HNAKf
168,Number_i,未確認領域,Japan,2026-03-05,7ibCDEx4MOX9zG8IS7gGDE
169,SPITZ,空も飛べるはず,Japan,2026-03-05,3P2aSkjcbUYbcYr13EFE8n
170,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),Japan,2026-03-05,2HRgqmZQC0MC7GeNuDIXHN
171,Kenshi Yonezu,春雷,Japan,2026-03-05,6megNXGjmim4OitjZnIn9v
172,Vaundy,呼び声,Japan,2026-03-05,3kQf453SpkwX7ALdgzNSNY
173,Vaundy,Tokyo Flash,Japan,2026-03-05,04e72JtsOIIlHUQ7CvWwvX
174,Kenshi Yonezu,BOW AND ARROW,Japan,2026-03-05,0NHu2Lo9MWkvhOggEy1bYg
175,CHANMINA,Angel,Japan,2026-03-05,3vXHM9HaxNYrky9r1zxLWa
176,"Kaguya(cv.Yuko Natsuyoshi), Yachiyo Runami(cv.Saori Hayami), TAKU INOUE",ray - Cosmic Princess Kaguya! Version,Japan,2026-03-05,3V5bJpqNCHHi56pGZHNy1f
177,HIRAIDAI,また逢う日まで,Japan,2026-03-05,3awymLmIrvn9lkJeFpmRSf
178,[Alexandros],ワタリドリ,Japan,2026-03-05,0ve9Tpz8Yw0I4eXhWsy21o
179,noa,1000 days of moments,Japan,2026-03-05,3HGHvxci8vnRg7RZ5E6lzi
180,クレイジーウォウウォ！！,Tontsukatantan,Japan,2026-03-05,2bonDeesq7NsHnfeMNDhZv
181,SixTONES,一秒,Japan,2026-03-05,1jzBL9oiCg4qaZbazOxBQ8
182,ORANGE RANGE,イケナイ太陽,Japan,2026-03-05,7emibp3qHeqNNYqZ2Y09xb
183,Mrs. GREEN APPLE,breakfast,Japan,2026-03-05,2Co1E8jcju2tCgPZIqxkTr
184,"ROSÉ, Bruno Mars",APT.,Japan,2026-03-05,4wJ5Qq0jBN4ajy7ouZIV1c
185,"MISIA, HIDE (GReeeeN)",アイノカタチ,Japan,2026-03-05,7mSVOYRseiZi20xtBKhHnF
186,ONE OK ROCK,Wherever you are,Japan,2026-03-05,1TZjEATJpF5LaVL7oJHDMn
187,Yorushika,だから僕は音楽を辞めた,Japan,2026-03-05,5j7ixaLeGTGSv4DzKs0pCM
188,BE:FIRST,街灯,Japan,2026-03-05,5M1nuhRqpXnrkAIltucV7I
189,back number,僕は君の事が好きだけど君は僕を別に好きじゃないみたい,Japan,2026-03-05,1WutVejYvP7220sofj3xId
190,=LOVE,ラブソングに襲われる,Japan,2026-03-05,3xIy1bAkKbLtXdzHKwCjqE
191,SPITZ,美しい鰭,Japan,2026-03-05,1H3qOzheTPhE7aVvJOWfvA
192,Da-iCE,I wonder,Japan,2026-03-05,0voOaunLYYqPHrsgXbFVlW
193,Yuuri,世界が終わりました,Japan,2026-03-05,5XyD56RYaj2XGxfyc34jQD
194,King Gnu,逆夢,Japan,2026-03-05,6ZiEWet0uFRwWBCEKCQ8rY
195,AI,Story,Japan,2026-03-05,0V2axJ946WH1vt9t5SGMLV
196,HY,366日,Japan,2026-03-05,22aZD7yaGYfhgCYazL4nbc
197,Shota Shimizu,PUZZLE,Japan,2026-03-05,5NTtQCnREVVfZuBjVMF4dm
198,King Gnu,一途,Japan,2026-03-05,7ncPjJBktLEOpstY5JOUMK
199,King Gnu,カメレオン,Japan,2026-03-05,0J0P8iSE6l3pYHbUdNFYdS
200,Yuuri,ビリミリオン,Japan,2026-03-05,7M0dIdZWN1FDcveRdoOzbZ
1,Jin,Don’t Say You Love Me,Singapore,2026-03-05,27xkOIER6uDLKALIelHylZ
2,Bruno Mars,Risk It All,Singapore,2026-03-05,5y2ijHECwFYWqcAHKTZgzD
3,Jimin,Who,Singapore,2026-03-05,7tI8dRuH2Yc6RuoTjxo4dU
4,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,Singapore,2026-03-05,1DwscornXpj8fmOmYVlqZt
5,BLACKPINK,GO,Singapore,2026-03-05,3FZPp9lBUvhsxFxKJi3VkB
6,Olivia Dean,So Easy (To Fall In Love),Singapore,2026-03-05,6sGIMrtIzQjdzNndVxe397
7,Taylor Swift,The Fate of Ophelia,Singapore,2026-03-05,53iuhJlwXhSER5J2IYYv1W
8,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),Singapore,2026-03-05,2HRgqmZQC0MC7GeNuDIXHN
9,BLACKPINK,Champion,Singapore,2026-03-05,43BJVWcBzHRIDaQCg7abnX
10,sombr,back to friends,Singapore,2026-03-05,7qjZnBKE73H4Oxkopwulqe
11,Jin,Running Wild,Singapore,2026-03-05,50zAEIE4B1QqhPjRMK2Xmh
12,BLACKPINK,JUMP,Singapore,2026-03-05,5H1sKFMzDeMtXwND3V6hRY
13,Bruno Mars,I Just Might,Singapore,2026-03-05,6f68Ac5tt5BQOpwr0BV9oN
14,Djo,End of Beginning,Singapore,2026-03-05,3qhlB30KknSejmIvZZLjOD
15,"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,Singapore,2026-03-05,1CPZ5BxNNd0n0nF4Orb9JS
16,LBI利比,Jumping Machine (跳楼机),Singapore,2026-03-05,1XZE0InCx3SdCnLpVsPpZl
17,Olivia Dean,Man I Need,Singapore,2026-03-05,1qbmS6ep2hbBRaEZFpn7BX
18,Taylor Swift,Opalite,Singapore,2026-03-05,3yWuTOYDztXjZxdE2cIRUa
19,Daniel Caesar,Who Knows,Singapore,2026-03-05,6DH13QYXK7lKkYHSU88N48
20,张远,看着我的眼睛说,Singapore,2026-03-05,7d6eShN6yVeR4Y2Md9uCA4
21,SIENNA SPIRO,Die On This Hill,Singapore,2026-03-05,2gYTC8DsplN3RNdpdBcCOQ
22,Bad Bunny,DtMF,Singapore,2026-03-05,3sK8wGT43QFpWrvNQsrQya
23,"Dave, Tems",Raindance (feat. Tems),Singapore,2026-03-05,3oTuTpF1F3A7rEC6RKsMRz
24,Hearts2Hearts,RUDE!,Singapore,2026-03-05,0WA27lZzPKFJKAbiDRmQDc
25,JENNIE,like JENNIE,Singapore,2026-03-05,0fK7ie6XwGxQTIkpFoWkd1
26,"Lady Gaga, Bruno Mars",Die With A Smile,Singapore,2026-03-05,7so0lgd0zP2Sbgs2d7a1SZ
27,RAYE,WHERE IS MY HUSBAND!,Singapore,2026-03-05,55lijDD6OAjLFFUHU9tcDm
28,BLACKPINK,Fxxxboy,Singapore,2026-03-05,7m0duH1vdTNxM2g8BLfR0F
29,BLACKPINK,Me and my,Singapore,2026-03-05,5MXcM263QvCTWriH3nVusc
30,Madison Beer,bittersweet,Singapore,2026-03-05,6vDVu9IM9s8L8XMQ1c1Yti
31,Zara Larsson,Lush Life,Singapore,2026-03-05,1rIKgCH4H52lrvDcz50hS8
32,Billie Eilish,BIRDS OF A FEATHER,Singapore,2026-03-05,6dOtVTDdiauQNBQEDOtlAB
33,Ravyn Lenae,Love Me Not,Singapore,2026-03-05,4WFgvKVfEhb3IUAFGrutTR
34,"Tame Impala, JENNIE",Dracula - JENNIE Remix,Singapore,2026-03-05,5yvVYFDUpbnjcnRBgjwTzM
35,sombr,Homewrecker,Singapore,2026-03-05,7tICCrK3CcyRFKza7yrR0z
36,"ROSÉ, Bruno Mars",APT.,Singapore,2026-03-05,4wJ5Qq0jBN4ajy7ouZIV1c
37,The Script,The Man Who Can't Be Moved,Singapore,2026-03-05,3nqqDo8CcCLke3ZoTgiOKf
38,Alex Warren,Ordinary,Singapore,2026-03-05,2RkZ5LkEzeHGRsmDqKwmaJ
39,IVE,BANG BANG,Singapore,2026-03-05,7pBE8YpFoZ9ankC2Ci5z9X
40,KATSEYE,Gabriela,Singapore,2026-03-05,1xOqGUkyxGQRdCvGpvWKmL
41,HWASA,Good Goodbye,Singapore,2026-03-05,3cLXrotzCjYCkN73PewALM
42,She & Him,I Thought I Saw Your Face Today,Singapore,2026-03-05,0myRViRgmQ3J8izICXEAVO
43,Dominic Fike,Babydoll,Singapore,2026-03-05,7yNf9YjeO5JXUE3JEBgnYc
44,Silence Wang,像晴天像雨天（电视剧《难哄》心动曲）,Singapore,2026-03-05,1zFuSla4RQ5qAJwDIQYixW
45,The 1975,About You,Singapore,2026-03-05,3hEfpBHxgieRLz4t3kLNEg
46,马师傅,善后,Singapore,2026-03-05,6gYS6CQc7UMnj0Ubq3C0QT
47,Bruno Mars,Cha Cha Cha,Singapore,2026-03-05,6QletrrmpkUpeJkipX9pgf
48,张远,嘉賓,Singapore,2026-03-05,5jAmIkIpskwu2hRz2YaEHi
49,Gigi Perez,Sailor Song,Singapore,2026-03-05,21IYMdzTrzSe191Cy5eMap
50,Billie Eilish,WILDFLOWER,Singapore,2026-03-05,3QaPy1KgI7nu9FJEQUgn6h
51,Tyla,CHANEL,Singapore,2026-03-05,4VxTzYm00mg82MuoT35Ja7
52,Gracie Abrams,That’s So True,Singapore,2026-03-05,7ne4VBA60CxGM75vw0EYad
53,ILLIT,NOT CUTE ANYMORE,Singapore,2026-03-05,1k0JAiH11gHL9dc5dfQjQr
54,The Goo Goo Dolls,Iris,Singapore,2026-03-05,6Qyc6fS4DsZjB2mRW9DsQs
55,Jay Chou,擱淺,Singapore,2026-03-05,0cOMncRq4cmDLO4tPQnkBF
56,Bruno Mars,God Was Showing Off,Singapore,2026-03-05,1sVBT215CDmVJvfy1E2OCU
57,"ZXKAI, slxughter",NO BATIDÃO,Singapore,2026-03-05,7vg9noSnFEyPfwLiaCW4vi
58,Coldplay,Yellow,Singapore,2026-03-05,3AJwUDP919kvQ9QcozQPxg
59,Bruno Mars,Dance With Me,Singapore,2026-03-05,1myZ6GQewhAzMH2dKtKSWK
60,Bruno Mars,That's What I Like,Singapore,2026-03-05,0KKkJNfGyhkQ5aFogxQAPU
61,Sabrina Carpenter,Manchild,Singapore,2026-03-05,2BwO5K8Q7EPAJSGze3AAh9
62,Kehlani,Folded,Singapore,2026-03-05,0bxPRWprUVpQK0UFcddkrA
63,ROSÉ,toxic till the end,Singapore,2026-03-05,1z5ebC9238uGoBgzYyvGpQ
64,Twenty One Pilots,Drag Path,Singapore,2026-03-05,0TlcczkVTGpinpkGJpT81L
65,Addison Rae,Fame is a Gun,Singapore,2026-03-05,7B3BwNecBhKvNwSMOOl7Gk
66,Don Toliver,E85,Singapore,2026-03-05,3B4cjvGlPvyBLNG3AzEgkZ
67,One Direction,Night Changes,Singapore,2026-03-05,5O2P9iiztwhomNh8xkR9lJ
68,"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),Singapore,2026-03-05,7G7mSV4BebkoHWwKTDvXu9
69,"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",Singapore,2026-03-05,7CyPwkp0oE8Ro9Dd5CUDjW
70,Justin Bieber,DAISIES,Singapore,2026-03-05,5BZsQlgw21vDOAjoqkNgKb
71,Bruno Mars,Why You Wanna Fight?,Singapore,2026-03-05,3Ac4AjYkqsvop2ydbSAhTX
72,"Kendrick Lamar, SZA",luther (with sza),Singapore,2026-03-05,2CGNAOSuO1MEFCbBRgUzjd
73,1119,福气马上来,Singapore,2026-03-05,3b6RZmPmYzg2mRyfoIznYS
74,Ariana Grande,we can't be friends (wait for your love),Singapore,2026-03-05,51ZQ1vr10ffzbwIjDCwqm4
75,IVE,BLACKHOLE,Singapore,2026-03-05,2ytQFMxdreEFPPZTtyDdqM
76,ZQS,这是你期盼的长大吗,Singapore,2026-03-05,3AKYofM0vFekNthGbpjMpN
77,"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),Singapore,2026-03-05,2yWlGEgEfPot0lv3OAjuG3
78,Bruno Mars,Just the Way You Are,Singapore,2026-03-05,7BqBn9nzAq8spo5e7cZ0dJ
79,"Firdhaus, DIOR 大穎",在加納共和國離婚,Singapore,2026-03-05,6GyUt7yJ0sOktc5HjvVnFh
80,陈村长,爱怎么了,Singapore,2026-03-05,0c9gjnRGBRke9VmLaZWmhM
81,The Marías,No One Noticed,Singapore,2026-03-05,3siwsiaEoU4Kuuc9WKMUy5
82,Jay Chou,晴天,Singapore,2026-03-05,5pIcwtJYNJx93l420oR2Vm
83,Malcolm Todd,Sweet Boy,Singapore,2026-03-05,59c2xv2kMzYM6HR9oY6BIa
84,"Jung Kook, Jack Harlow",3D (feat. Jack Harlow),Singapore,2026-03-05,01qFKNWq73UfEslI0GvumE
85,Evangeline Wong,離開我的依賴,Singapore,2026-03-05,23WLgtD54AeluEPRr5muHo
86,Taylor Swift,Cruel Summer,Singapore,2026-03-05,1BxfuPKGuaTgP7aM0Bbdwr
87,Sabrina Carpenter,Espresso,Singapore,2026-03-05,2HRqTpkrJO5ggZyyK6NPWz
88,ROSÉ,number one girl,Singapore,2026-03-05,1lcBt7LoEikqYmhUoa2cez
89,yung kai,blue,Singapore,2026-03-05,6W614n8yLUeS3zsZSeBwyq
90,"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),Singapore,2026-03-05,54PbBpquVfhfrwRwvjSXbI
91,"Sean Kingston, Justin Bieber",Eenie Meenie,Singapore,2026-03-05,4vVTI94F9uJ8lHNDWKv0i2
92,Taylor Swift,Style,Singapore,2026-03-05,0ug5NqcwcFR2xrfTkc7k8e
93,Laufey,From The Start,Singapore,2026-03-05,43iIQbw5hx986dUEZbr3eN
94,DIOR 大穎,人的這一生,Singapore,2026-03-05,2Jox8DFhnUpJZJWLsVAsAR
95,Coldplay,Viva La Vida,Singapore,2026-03-05,1mea3bSkSGXuIRvnydlB5b
96,"Disco Lines, Tinashe",No Broke Boys,Singapore,2026-03-05,3cZajhyr8LmtPfHZ9296tj
97,"The Chainsmokers, Halsey",Closer,Singapore,2026-03-05,7BKLCZ1jbUBVqRi2FVlTVw
98,"The Chainsmokers, Coldplay",Something Just Like This,Singapore,2026-03-05,6RUKPb4LETWmmr3iAEQktW
99,Ed Sheeran,Photograph,Singapore,2026-03-05,6fxVffaTuwjgEk5h9QyRjy
100,"Maroon 5, Wiz Khalifa",Payphone,Singapore,2026-03-05,1XGmzt0PVuFgQYYnV2It7A
101,Bruno Mars,It Will Rain,Singapore,2026-03-05,4rMNgxEwGWoPHIUcvB5BrB
102,Justin Bieber,Ghost,Singapore,2026-03-05,6I3mqTwhRpn34SLVafSH7G
103,"Ariana Grande, The Weeknd",Love Me Harder,Singapore,2026-03-05,5J4ZkQpzMUFojo1CtAZYpn
104,Bruno Mars,On My Soul,Singapore,2026-03-05,4i4BVY2JiH4mDSLIBdNGKD
105,"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",Singapore,2026-03-05,3GCdLUSnKSMJhs4Tj6CV3s
106,Coldplay,Sparks,Singapore,2026-03-05,7D0RhFcb3CrfPuTJ0obrod
107,Eric Chou,你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲,Singapore,2026-03-05,2gug6MRv4xQFYi9LA3PJCS
108,sombr,12 to 12,Singapore,2026-03-05,05od2qm2MTSKCHxy1GBp5W
