artist,title,spotify_uri,original_lang,lyrics_in_en,length,translation_review_required
"Omar Courtz, Ñengo Flow",FOREVER TU GANTEL,1YAWMfsmduIrpqrjP45pFn,es,,3039,True
Rels B,TU VAS SIN (fav),6uiQ0DqbXTBc8tl0AUKZkR,es,,1536,True
Bad Bunny,EoO,6J5kc12BW5HuP3d7C3vvx8,es,,2444,True
"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,7d6yK8v8J484SWH5prIQiE,en,,3393,True
"ROSALÍA, Yahritza Y Su Esencia",La Perla,4oVO4fGNRRvEn0CRuFO4qv,es,,1331,True
Bad Bunny,NUEVAYoL,5TFD2bmFKGhoCRbX61nXY5,es,,2202,True
Beéle,no tiene sentido,1HEwEN64NjgTaHmo7LfkX8,es,,1617,True
"La T y La M, Malandro",Amor de Vago,5MKbWaXeSQSmzmo7gPQha1,es,,1711,True
Airbag,Pensamientos,1H7ktqkQx1PIuPfNtqvaBs,es,,971,True
"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,6iOndD4OFo7GkaDypWQIou,en,,1839,True
Milo j,Niño,4aDbrgm1ZaebS1Bb2dOXac,es,,1482,True
"PEDRO SAMPAIO, Emilia, MC Meno K, Melody",JETSKI - Remix,7z26frY6O7BXwyjeqzYo7W,es,,1786,True
La T y La M,No Se Va,1Zh6HllrXT0Khrwk2j3TrZ,es,,61710,True
"Beéle, Ovy On The Drums",mi refe,4zhk2RS2EZODmBW6il55Qj,es,,1345,True
"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,7koAf6aZgjO6TS7bipfPD0,es,,2255,True
"Myke Towers, Quevedo",SOLEAO,4OsBqqMwFabHATATT527tH,es,,2317,True
"Alleh, Yorghaki",capaz (merengueton),2dd3G3ZqEcG2cNS1tp3oEk,es,,2172,True
Bad Bunny,KLOuFRENS,4MUrUT38U98olfnyzMBCzm,es,,1937,True
"Rauw Alejandro, Bad Bunny",Qué Pasaría...,0l0vcZMU7AOeQmUIREoI2U,es,,2093,True
"J Balvin, Bad Bunny",LA CANCIÓN,0fea68AdmYNygeTGI4RC18,es,,2172,True
Babasonicos,Como Eran Las Cosas,61qPUnazSdkvua4wgA4L8C,es,,1213,True
Omar Courtz,POR SI MAÑANA NO ESTOY,595wwjQiad6e6lSTScmXvz,es,,3311,True
"Bizarrap, Daddy Yankee","Daddy Yankee: Bzrp Music Sessions, Vol. 0/66",2uPMsTEKx79gJ8rB3AcT0v,es,,1822,True
Bad Bunny,Tití Me Preguntó,1IHWl5LamUGEuP4ozKQSXZ,es,,2682,True
"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,6C1RD7YQVvt3YQj0CmuTeu,es,,3150,True
"Young Cister, Kreamly",QLOO*,7CMj1OOS1ho4CPEQTFKzcN,es,,1919,True
Airbag,Por Mil Noches,5vHWh24GAsXJ7tnIu8v7UN,es,,1352,True
Cazzu,Con Otra,2F6PBqz7aPA7K309aFKMHt,es,,1385,True
"PEPU, Pizzu",TENGO UN FEELING,1toIsvoqn3HCpdetMXk2sJ,es,,1891,True
"Bizarrap, J Balvin","J Balvin: Bzrp Music Sessions, Vol. 62/66",04YMLAsyIAe1sLb6RO5YcC,es,,1811,True
"Blessd, Anuel AA, Yan Block, Luar La L, Kris R., ROA","YOGURCITO REMIX (feat. Kris R., ROA)",7nrd0eIftH3NQLfgk20Qp9,he,,4993,True
No Te Va Gustar,A las Nueve,0CgpCtEPvyDizcg2p47VrU,es,,900,True
Djo,End of Beginning,3qhlB30KknSejmIvZZLjOD,en,,959,True
"Bad Bunny, Chuwi",WELTiTA,5WEF0icHWmAZBBMglBd599,en,,2194,True
Plan B,Es un Secreto,3KZCP2StVGdWkOKyRZNWA4,es,,1913,True
"No Te Va Gustar, Juan Casanova",Tan Lejos,44m9PAUZYeOEGeaTYh6NAl,es,,1085,True
"Milo j, Trueno",Gil,5jgmQkVypORb3enASCxjYs,es,,3151,True
"Maria Becerra, TINI, XROSS",HASTA QUE ME ENAMORO,7rfYGYxsZzQAhlJy5B0IcW,es,,1582,True
Gustavo Cerati,Adiós,1rh4kDY9T4fHVDum8Foi5k,es,,714,True
Plan B,Fronteo,0AXKoQuC2NQ8S2QRF0Gu02,es,,2567,True
Bad Bunny,NO ME QUIERO CASAR,39L3LdlHS3gqB62HPWaJRg,es,,2532,True
"Tincho & Javi, Max Carra",Loco Enamorado I Varieté #4,0UaxhDrvCVcCWCqYQUeeFF,unknown,,0,False
Intoxicados,Nunca quise,0ZAJ660VP57lLK4U7NlGOy,es,,1420,True
Callejeros,Creo,5Bi9Cq5oVFy1OtUgecbegZ,es,,1192,True
Danny Ocean,Me Rehúso,6ifUES3keWjwXgae8pXI3o,es,,2084,True
"Tiago PZK, Ke Personajes",Piel,6kPCcIAGoTeRrh8qrmKa90,es,,1380,True
"Maria Becerra, El Alfa, XROSS",HACE CALOR,4tabsd3NLLwuT90wkuNh7C,es,,2600,True
Patricio Rey y sus Redonditos de Ricota,Un Ángel para Tu Soledad,6kUopck7LHVadAjAFcXiTj,es,,838,True
"Luck Ra, Miranda!",TU MISTERIOSO ALGUIEN (CUARTETO) (feat. Miranda!),4Kzi8hXKkT87SQoYClizh0,es,,1136,True
"Omar Courtz, ROA",WO OH OH,0h54mLixODOqU6vTcZMqVM,es,,3015,True
"Q' Lokura, Los Herrera",Cuidado Que Te Supero,2Xetks48zQL2K7xUbJBHRn,es,,10890,True
"Héctor ""El Father"", Wisin & Yandel",El Teléfono,614NVFo5csQqRnryl4jXs2,es,,2483,True
"Luck Ra, Karina, RAMKY EN LOS CONTROLES",LADRON,2NMctdE1VuUUc4VctEqamB,es,,1140,True
Taylor Swift,The Fate of Ophelia,53iuhJlwXhSER5J2IYYv1W,en,,2356,True
"Anuel AA, Haze",Amanece,1LiN0Z98FkR1t0m8KmLcAH,es,,2358,True
Turf,Pasos Al Costado,7upAH0ezzsThyvr33YKn4u,es,,1352,True
"Anuel AA, Daddy Yankee, Zion & Lennox, Farruko, Wisin",Sola (Remix),5q2JbCNi4FcnglgPfxcV65,es,,4143,True
Felix Record,Cuentame,2lg4MDfkK2ya3dEAFu6Wh8,es,,1731,True
De La Rose,Yo te conozco :):,1yG1za0O6OK6sKa79xGtsA,es,,1158,True
Babasonicos,Irresponsables,6d4d6cwiAf59mKxoRmXQoK,es,,798,True
"Yan Block, Panda Black",444,1o4xkdBe0RjSf2u6VXi4OI,es,,2156,True
"Jere Klein, Katteyes, Mateo on the Beatz",TODO KE VER,3D9mWy43zoJFWQUE6sz6ax,es,,2032,True
Los Huayra,La Noche Sin Tí,6dT5W7zuEcUZHnZuVlSIJ5,es,,1209,True
Los Piojos,Bicho de Ciudad,0oCiPqIEL5218yu2D996eP,es,,1154,True
Omar Courtz,KOKO,1tz7RZirwiuaJw2p0jbdHb,es,,2078,True
Maluma,Borro Cassette,6DUdDIRgLqCGq1DwkNWQTN,es,,2598,True
"Yan Block, Panda Black",Talento,7sChwC2NZjGc2Kdni3hlDg,es,,1635,True
"Pablo Chill-E, Ñengo Flow, Jere Klein",Bastardo (feat. Ñengo Flow & Jere Klein),7xjFEvchFCiAmuseCBModI,unknown,,0,False
Los Tipitos,Campanas en la Noche,0C9V5jMElp7laZZdsCHufD,es,,1252,True
Omar Courtz,SI ESTÁS CON ALGUIEN,7nyk5uxevcijIfl1FlJgmA,es,,1835,True
"Anuel AA, Bad Bunny",Hasta Que Dios Diga,06s3QtMJVXw1AJX3UfvZG1,es,,3498,True
Ciro y los Persas,Me Gusta,67Q93kXygxCskeQiIP0V0j,es,,972,True
Bad Bunny,MONACO,4MjDJD8cW7iVeWInc2Bdyj,es,,3063,True
La T y La M,amor de veraNO,6WJ2QzbVnjmPGKpmb6tmmO,es,,1551,True
Airbag,Nunca Lo Olvides,4581iSIX0QZNNzAQRysF3k,es,,1259,True
"Yan Block, TORRRES",Yo sé,5DdLSEyKh8zgCrJq2hFj92,es,,1482,True
"Milo j, Taiu",Rara Vez,7MVIfkyzuUmQ716j8U7yGR,es,,1309,True
El Plan De La Mariposa,Túnel de la Vida,3NlHH9zJ9uGXkm6NJDbLnO,es,,1088,True
DesaKTa2,No Se Ve / Chingon,1wDZFWLswOdkP3PBOWiSwI,es,,2479,True
Airbag,Cicatrices,23FJGRug9hlYUIBnrmkIBX,es,,760,True
Pablo Chill-E,Resentia,2ANtIUI9cipWNI685VdlZb,es,,2300,True
Jin,Don’t Say You Love Me,27xkOIER6uDLKALIelHylZ,en,,1376,True
Zion & Lennox,La player (Bandolera),0VKkyBKCXyR99navhVRqcP,es,,2924,True
Tan Bionica,Obsesionario en La Mayor,5EGVGkRRJ2udpRnVGpx8LM,es,,1557,True
"Romeo Santos, Prince Royce",Dardos,5SudOD9R1Of6CsJVWZy6CQ,es,,2117,True
Anuel AA,Tú No Lo Amas,0fLOPPoyIaPTe8dm2Mrft3,es,,3204,True
Los Auténticos Decadentes,Un Osito de Peluche de Taiwán,6iCnJkKswtMYoSmT58HmEn,es,,1937,True
Patricio Rey y sus Redonditos de Ricota,Un Poco de Amor Francés,14rcLGX83RpsORAIzC4U4g,es,,618,True
Q' Lokura,Quédate / Soy Favela / Lo que hay x aqui - En Vivo,3sfrXcrMPS2KMQmzdmjEmp,unknown,,0,False
La T y La M,El Doctorado,1yg1tWFaYajN4b7vsKtYRE,es,,4271,True
Miranda!,Tu Misterioso Alguien,4ksf1UdqNc9pU8R4ZZrgdY,es,,1227,True
"Luciano Pereyra, Ezequiel Y La Clave, Un Poco de Ruido, Pinky SD",Si No Es Muy Tarde - Versión Cumbia,4KRlNVLHn2ZgGvpjnga31N,unknown,,0,False
KAROL G,Si Antes Te Hubiera Conocido,73scB4Q4fcOmnsBVZPmk32,es,,1704,True
"Fuerza Regida, Grupo Frontera",COQUETA,1PREzVLuDT6PSE9sej4wnV,es,,2323,True
Bad Bunny,Moscow Mule,6Xom58OOXk2SoU711L2IXO,es,,2313,True
"Luck Ra, BM",La Morocha,6vRQqxOhUFd78p5tL8jXr7,es,,1324,True
Los Auténticos Decadentes,Loco (Tu Forma De Ser),3ydweVPwq9PCEVJ8WwqT6u,es,,1281,True
Omar Courtz,⁠LUCES DE COLORES,5dDlknAL9imbXXl7uG7oqe,es,,2308,True
The Police,Every Breath You Take,1JSTJqkT5qHq8MDJnJbRE1,en,,1909,True
"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",0JoHqmlqE0W0i9prt6kcHR,es,,3539,True
Airbag,Cae el Sol,1Mqfdem6pgGVoULjSkkcc9,es,,1335,True
"Eugenia Quevedo, Angela Leiva, La banda de Carlitos",No Podrás - En Vivo,3X8jKI7kHrbhqgLboG14tw,es,,1771,True
Babasonicos,Puesto,5zpZUFF7YyPG90nkR88RYd,es,,1054,True
Soda Stereo,Trátame Suavemente - Remasterizado 2007,65DBZofI0b79kfHTcWWDuU,unknown,,0,False
"DesaKTa2, Aneley",Estaba Aqui Pensando,5GUgnXDDO4raKkT9lO5F1x,es,,76741,True
Yandel,Encantadora,7LABrQFfRYcZUqUwng0Heb,es,,2407,True
Bad Bunny,Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,es,,2050,True
"Bad Bunny, Bomba Estéreo",Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,es,,2609,True
"Callejero Fino, Martin Vegas",TIKI TIKI,7GSKEUunbDOtPSG1TLXq8e,es,,2037,True
No Te Va Gustar,Ese Maldito Momento,6MuJUSYCqA4FpMogUHzb2R,es,,784,True
Angela Torres,FAVORITA,6EhX9FjpQZ5CohoGeqUM2u,es,,1506,True
Kapo,UWAIE,0fMjldiEpgjbWQ4bBQwVzH,es,,1416,True
"Estelares, Jorge Serrano",Ella Dijo,6cFf4Jfy7ThUwGzbqFcZsx,es,,1408,True
La T y La M,Un Montón de Estrellas - En Vivo Gran Rex,1R3ubqAHKHE6f64Hz37q8h,unknown,,0,False
Babasonicos,El Loco,2jEjxOyKqMpkcThWl697hf,es,,844,True
Andrés Calamaro,Flaca,1p7m9H4H8s0Y7SgRm7j3ED,es,,917,True
Las Pelotas,Personalmente,7q7XFO9av9VpNJSXKJwJxD,es,,680,True
"Rauw Alejandro, Romeo Santos",Khé?,1YYfyJ2yCvGFCxwjsIqEK9,es,,2054,True
Las Pelotas,Será,60IzIxSuVAtU71yCmHjxHH,es,,641,True
Mon Laferte,Tu Falta De Querer,4skuEIloXWuxxgekKupkEH,es,,1024,True
Patricio Rey y sus Redonditos de Ricota,Esa Estrella Era Mi Lujo,1buwr89mlvxbaqArqmvCYS,es,,328,False
"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,5AK6QqM8aUXXTk6oY00ZRh,es,,4384,True
Romeo Santos,Imitadora,6r46lnXFbE9fr2d3KNaGbe,es,,1726,True
Milo j,M.A.I,35ttE4t8lQZA2vuCYDg4G7,es,,1800,True
Omar Courtz,VAMOaCOCHI,1oghNMGW42IhtQPNU6leZz,es,,2517,True
"Ke Personajes, Onda Sabanera",Pobre Corazón - En Vivo,1AX4aybSRyXHWrjg27wTFE,unknown,,0,False
"Feid, ATL Jacob",LUNA,7bywjHOc0wSjGGbj04XbVi,en,,1662,True
Anuel AA,¿Qué Nos Pasó?,7k3qWn8D43a5ISa3x8lJux,es,,3114,True
"Jory Boy, Bad Bunny",No Te Hagas,5hKjEpYrJIJs6uPl7zw6Y6,es,,2203,True
"Rauw Alejandro, Chencho Corleone",El Efecto,4SJHHpKhcuXwDsCsPqshXj,es,,2351,True
"KHEA, Duki, Cazzu, Omar Varela, MYKKA",Loca,0vnrhysrKKRdNYFKLAGzRc,es,,3809,True
"Luciano Pereyra, The La Planta, Un Poco de Ruido, Pinky SD",Es Mi Culpa - Versión Cumbia,78OOLg1XsVW0QQkfHP2VEV,unknown,,0,False
"Maria Becerra, Paulo Londra, XROSS",RAMEN PARA DOS,5KJacLbQNuqzR9IizaPI6h,es,,2861,True
Plan B,Fanatica Sensual,1DrDfpOx4P4LMxFhtOmeyD,es,,2370,True
"Marc Seguí, Rauw Alejandro, Pol Granch",Tiroteo - Remix,4OwhwvKESFtuu06dTgct7i,es,,2906,True
Cumbia rocha,"Suena en la Previa, Vol. 2",0LswOwsXAfPYLGVwqRlNyW,unknown,,0,False
"Trap Capos, Noriel, Bad Bunny, Arcángel",De las 2 (feat. Bad Bunny & Arcángel),4DS7HoqrKq1dDjeYOKBlu9,es,,2863,True
"DobleP, Peipper, Locura Mix, VERNAZ",PUTERÍ4,1IgrATr9zMmRjtFVFY6O7s,fr,,103103,True
"Emilia, TINI, Nicki Nicole",blackout 🧊,1KaXG7dVdwMH3gCtiAU39t,es,,1995,True
"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,0Sr7ssScx54yxdM2ols7nW,es,,2540,True
"Pinky SD, Un Poco de Ruido, Uriel Lozano",Conmigo Te Gustó,4eqXTlaHeK6xkM1fRx9wR5,unknown,,0,False
"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON,6VNXmo59yDYgcwLS17UNAW,es,,2258,True
"Omar Courtz, De La Rose, Haze",Kyoto,7eNwwoxDR8KVzNAuGvliAO,es,,3161,True
Sabrina Carpenter,Manchild,2BwO5K8Q7EPAJSGze3AAh9,en,,1578,True
"Ulises Bueno, DesaKTa2",No Puedo Fingirlo,06WyITrA2pZJT5Nt79AOrb,unknown,,0,False
"Tainy, Bad Bunny",MOJABI GHOST,46YjJXVXWHlQ21odKktg5e,en,,2046,True
Patricio Rey y sus Redonditos de Ricota,La Bestia Pop,6BHlafXY1L2eetDCwict05,es,,760,True
"Callejero Fino, Lea in the Mix",NO LES DA,6pryujEohwqSNKGTW33SKE,es,,1168,True
Boza,Hecha Pa' Mi,3VvA1wSxukMLsvXoXtlwWx,es,,2229,True
"Big One, FMK, Ke Personajes",Un Finde | CROSSOVER #2,3tiJUOfAEqIrLFRQgGgdoY,es,,1414,True
"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,2Mgur7BKnpr7OG3izSNFTA,es,,4371,True
"DENNIS, Luísa Sonza, Emilia",MOTINHA 2.0 (Mete Marcha) - Remix,2iDDnYmaz1HhedjI91fbmp,es,,1378,True
"Luck Ra, La K'onga, Ke Personajes",Ya No Vuelvas (Versión Cuarteto),0u6JsFiEEXb6kaF0oqyeFi,es,,1753,True
Bad Bunny,Enséñame a Bailar,2NMjggapJcXXM7WccGEBUO,es,,1791,True
"Lady Gaga, Bruno Mars",Die With A Smile,7so0lgd0zP2Sbgs2d7a1SZ,en,,1402,True
"Intoxicados, Andrés Calamaro",Fuego,6q41qt2R9K8BXEzmzImEGO,es,,1657,True
"Luck Ra, Abel Pintos",QUE ME FALTE TODO,1TyBUtMxdmRfXhW3MmbxtQ,es,,1318,True
Los Piojos,Tan Solo,6Soxxi73U6SO4rOGJwYYxI,es,,872,True
"Feid, ICON",FERXXO 151,2Cl4HCBmPddQNZEncdoXp0,es,,1463,True
Airbag,Solo aquí,0OcYoSGA1CFGZcCuPLyfhj,es,,915,True
"Callejero Fino, La T y La M",Te invito a bailar,17vFIehhv8hKSXYn5Ce4Pk,es,,1535,True
"Zion & Lennox, J Balvin",Otra Vez (feat. J Balvin),3QwBODjSEzelZyVjxPOHdq,en,,2269,True
"Blessd, Anuel AA, SOG",TE CANTO BAJITO,3I1jcOmPwnzUR5yduDK3yb,es,,2628,True
Maluma,El Perdedor,1iEwyiSLAunPR6uouANE0O,es,,2654,True
Cosculluela,Manicomio,3UVM7rdOSbm2vKDXB9SsWo,es,,2440,True
DesaKTa2,La Diabla,6PaIQ2qR59qiqXgjeTFwJA,es,,2324,True
Bad Bunny,Si Estuviésemos Juntos,35wvL50xvKpCHEJPxLOLPI,es,,1317,True
"Los Ángeles Azules, Emilia","Perdonarte, ¿Para Qué?",4dLLdfiniBhDP9dlJQIOi4,es,,1456,True
"Eugenia Quevedo, La banda de Carlitos",Como Lo Hizo? - En Vivo,3KAdpFK7rveKAAwpgjwhNn,es,,3576,True
Soda Stereo,De Música Ligera - Remasterizado 2007,2WD9ggmpZE7Wodh3qVVCgg,unknown,,0,False
"Cosculluela, Bad Bunny",Madura,5n2XTRsYFlZwNBp06KAjDX,es,,2495,True
"Indio Solari, Los Fundamentalistas del Aire Acondicionado",Había una Vez...,3ayHT7okY784fCWMYDbspt,es,,853,True
Mancha De Rolando,Arde la Ciudad,3SyKG06yOK3omo29EwZ8dP,es,,975,True
"J Balvin, Bad Bunny",QUE PRETENDES,25ZAibhr3bdlMCLmubZDVt,es,,2245,True
"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),6NSMQFKgjpQb0KkjMDYIK0,es,,1862,True
"JHAYCO, J Balvin, Bad Bunny",No Me Conoce - Remix,2beS6dD5rovBxSA1zYoSHR,en,,4828,True
"Max Carra, Lira",VIAJEMOS EN EL TIEMPO #1 | Quien Te Quiere Como Yo,6il9B9hrZPNpXei57XM1Sv,unknown,,0,False
Patricio Rey y sus Redonditos de Ricota,Tarea Fina,4mZHvbJWkK9uVmD9SvHKao,es,,761,True
Babasonicos,En Privado,0ZyNiSXRbq68lmBjV0vJkR,es,,1390,True
RAYE,WHERE IS MY HUSBAND!,55lijDD6OAjLFFUHU9tcDm,en,,3346,True
"J Balvin, Bad Bunny",Si Tu Novio Te Deja Sola,2joKSGkqac0LIwYG9Ghrwq,es,,2429,True
Airbag,Verte De Cerca,3pevHGhwL0brjFQfPABwns,es,,1128,True
Viejas Locas,Me Gustas Mucho,2kB1rqoTaZ3j6ChtIWGurm,es,,660,True
"PEPU, Nico Valdi, Pizzu",FAR AWAY,3pcXMfSwwXGcucdrDb6Awd,es,,1465,True
Airbag,Ganas de Verte,3JCian69xIfy8A4799Og5f,es,,1047,True
La T y La M,Como Se Siente,0tQDrJxQcB5zKGrHx43xUj,en,,3715,True
"Maria Becerra, Rei, XROSS",MI AMOR,1CSdu8EHZzV0DjYB6RNXbX,es,,2153,True
Bad Bunny,TURiSTA,7tCuCjhxzjX2XCz4JiiAsp,es,,981,True
Beéle,quédate,6VfL3MEuYeJbDlD8m011HR,es,,1449,True
"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,1DwscornXpj8fmOmYVlqZt,en,,2337,True
Kenshi Yonezu,IRIS OUT,59hVbgr8rfYkDbHfr8RcGI,ja,,894,True
Mrs. GREEN APPLE,lulu.,0vE1WglBbhmd5wDO49lcih,ja,,1344,True
M!LK,Bakuretsu Aishiteru,1F1hibBCtNeObRMmEMLHNh,ja,,648,True
HANA,Blue Jeans,6hnk0Fesq9JOhWpck8HJsj,ja,,988,True
M!LK,Sukisugite METSU!,0vDqNzQqEhl7boeRS3Joli,ja,,742,True
HANA,ROSE,3920QegiL2PHmaYYBVwexC,en,,1483,True
ARASHI,Five,2cIqVZFyBH8h5dnrzBvtre,en,,1095,True
