artist,title,spotify_uri,lyrics,original_lang
"Emilia, TINI, Nicki Nicole",blackout 🧊,1KaXG7dVdwMH3gCtiAU39t,"Te vi tímido (Tímido), decime cómo te llamás
Nadie te ha dicho aún que estás buenísimo (Buenísimo)
Esa camisa está apretá', te la voy a sacar (This is the Big One)

Quiero mojarme
Con tus labio' sabor a caramelo
Despreocupate
Con este culo to' se prende fuego

Y yo me le pegué, y él se me pegó, woh-woh (Woh-woh)
Hace calor y ese bombón se derritió
Del baile lo saqué y él no se negó, woh-woh (Woh-woh)
Con una nochе no nos alcanzó

Tengo una gata, la llevo al telo
Sе le quita lo santa cuando la agarro del pelo
Y si yo pudiera, le hago gemelo'
Con beso' boca a boca nos pasamo' el caramelo, mmm
Ella es mi dieta y yo me la como completa
Quiero ponerla a gritar, desde la A hasta la Z, uff
Qué linda le queda mojada la camiseta
Conmigo vino a bailar, con ella nadie se meta

Y yo me le pegué, y ella se me pegó, woh-woh (Woh-woh)
Hacía calor y ese bombón se derritió
Pa'l baile la saqué y ella no se negó, woh-woh (Woh-woh)
Con una noche no nos alcanzó

Si-Si-Si no fuera' tan tímido (Sería—), seríamo' más de do' (Ey)
En la pared si nos pegamo', somo' un clásico
To' eso tráelo (Yeah), sé manejarlo (Yeah)
Si quieres, en mi cuerpo tú puedes perderte
Y lo hacemos otra ve', yeah-yeah-yeah-yeah
En ese cuarto de hotel, yeah-yeah-yeah-yeah
Vos y yo tenemos piel y negarlo no podés
Cuando quieras llama, 0-800-NN

Y yo me le pegué, y él se me pegó, woh-woh (Woh-woh)
Hace calor y ese bombón se derritió
Del baile lo saqué y él no se negó, woh-woh (Woh-woh)
Con una noche no nos alcanzó

'Ta-'Ta-'Ta-'Tas pasa'o, envicia'o, que te tengo acorrala'o
Bajo el blackout, baby, no doubt, ese body está chequea'o
Le dije: ""Fuck me"", you wanna know me"", está juicy, sabe a honey
Baby, so hot, so horny, me puso en four y

Quiere mojarse
Con mis labios sabor a caramelo
Despreocupate
Con este culo to' se prende fuego

Y yo me le pegué, y él se me pegó, woh-woh (Woh-woh)
Hacía calor y ese bombón se derritió
Del baile lo saqué y él no se negó, woh-woh (Woh-woh)
Con una noche no nos alcanzó
Y yo me le pe—",es
"Omar Courtz, De La Rose",Q U E V A S H A C E R H O Y ?,0Sr7ssScx54yxdM2ols7nW,"Como nunca, hacerlo como— (
Yeah, yeah
)
Vamo'-Vamo' a hacerlo, hacerlo como nunca
Y como nunca, hacerlo como— (
Yeah, yeah
)
Vamo'-Vamo' a hacerlo, hacerlo como nunca (
Bellaquita
)

Ey, ¿qué va' a hacer hoy? Baby, vamo' a verno'
Somo' do' bellaco' que nacimo' pa' comerno'
Cuando lo entro, ahí es que al cielo entro
Aquí estoy afuera, mami, pa' echártela adentro (Yeah)
¿Qué va' a hacer hoy? (Oh-oh) Baby, vamo' a verno' (Oh-oh)
Somo' do' bellaco' que nacimo' pa' comerno'
Déjalo adentro, sí, déjalo adentro
Mírame cuando chingamo', en tus ojo' me pierdo (Eh)

Uh, ah, uh, sí
No la saque', papi, please
Estamo' bien caliеntito', prende el AC (Ah)
Dеspués de venirse rico, en la puntita le doy kiss
Contando las hora' pa' verno', extraño con doble C los bellaqueo'
Yo solita me trasteo, pero hoy quiero sentirlo completo
Ah, uh, ah, uh (Sí)
I wanna fuck you, papi, you already know, ey (Oh)
Bien bellaquita le envío un mensaje de vo', diciendo

¿Qué va' a hacer hoy? (Oh-oh) Baby, vamo' a verno' (Oh-oh)
Somo' do' bellaco' que nacimo' pa' comerno'
Déjalo adentro, sí, lo dejo adentro
Mírame cuando chingamo', en tus ojo' me pierdo (Ey, yo, mami, es Ousi, ey)

La pussy en la cara, las-las mano' en las teta'
La otra mano en la boca y con los muslo' me aprieta
Que le soy interesante, el dúo del sex, flow Plan B
Tú me enamoraste, yo no quería enamorarme así
Acuérdame comprarte los aro' nuevo' de tu Mercede', baby (Baby)
Yo tengo dicho que no se lleve la Lambo pa' irle a comprar munchies en Walgreens
Le envío una foto con el popo en la mano como la de Champagne Papi
'Toy que la preño como Wheeler y Zabri (Ah)
Lo meto (Uh), lo saco (Ah), caliente y caco (Sí)
Vacation, Mónaco, métele bellaco, mami
Lo meto, lo saco (Saco), caliente y caco
Vacation (Vacation), Mónaco, métele bellaco, mami
Uh-uh-uh (Ey), quítate los taco', baby
Pon to' ese culo a brincar (
Ah-ah
)

Métele bellaco, 
mete-métele bellaco, baby
Métele bellaco, 
mete-métele bellaco, baby
Métele bellaco, mete-
métele bellaco, baby
 (
Uh
)
Métele bellaco, mete-métele bellaco, baby (
Pon to' ese culo a brincar
)

¿Qué va' a hacer hoy? Baby, vamo' a verno'
Somo' do' bellaco' que nacimo' pa' comerno'
Cuando lo entro, ahí es que al cielo entro
Aquí estoy afuera, mami, pa' echártela adentro
¿Qué va' a hacer hoy? (Oh-oh) Baby, vamo' a verno' (Oh-oh)
Somo' do' bellaco' que nacimo' pa' comerno'
Déjalo adentro, sí, lo dejo adentro
Mírame cuando chingamo', en tus ojo' me pierdo

Bellaquita


Uh-uh-uh-uh, baby

Contigo me siento en las nube'
Tú sigue' pensando en mis nude'",es
"Pinky SD, Un Poco de Ruido, Uriel Lozano",Conmigo Te Gustó,4eqXTlaHeK6xkM1fRx9wR5,,unknown
"Bad Bunny, Los Pleneros de la Cresta",CAFé CON RON,6VNXmo59yDYgcwLS17UNAW,"Por la mañana café, por la tarde ron
Ya estamo' en la calle, sal de tu balcón
Por la mañana café, por la tarde ron
Ya estamo' en la calle, sal de tu balcón

De Arecibo hasta Ponce, de Fajardo a Rincón
Es la voz de todo un barrio desde Almirante a Frontón
(Por la mañana café, por la tarde ron)
(Ya estamo' en la calle, sal de tu balcón)
Que lo bailen en Lloréns, que lo bailen en Canale'
Hoy voy pa' la carretera con to' mis anormale'
(Por la mañana café, por la tarde ron)
(Ya estamo' en la calle, sal de tu balcón)
Hoy yo no quiero dormir, lo que quiero yo
Es amanecеrme y bebermе un galón
(Por la mañana café, por la tarde ron)
(Ya estamo' en la ca—)

Brother, yo no sé ni cómo llegué a casa anoche
Clase 'e loquera y hoy me están tirando de nuevo pa' bajar pa'llá
Pero yo creo que hoy sí que, acho, pichaera, que no me esperen, por—

El humo empañó el camino y no pude recordar
El camino pa' mi casa, hoy me vuelves a invitar
Yo me iba a quedar tranquilo, pero si quiere' vacilar
Sube tú pa' la montaña porque hoy yo me quedo acá
Ven subiendo, ven subiendo, que no le vamo' a bajar
Sube tú pa' la montaña, hoy yo me quedo acá
Ven subiendo, ven subiendo, que no le vamo' a bajar
Sube tú pa' la montaña, hoy yo me quedo acá (
Dile, dile, dile algo
)
Allá abajo (Allá abajo), allá abajo (Allá abajo) no se me ha perdido na' (Na')
Están arriba en el monte los código' de verdad (Suban pa'cá pa' que vean)
Ven subiendo (¿Qué?), ven subiendo (Ey, ey), que no le vamo' a bajar
Sube tú pa' la montaña, hoy yo me quedo acá (¿Qué se hace hoy?, ¿qué se hace hoy?)
Hoy se bebe, hoy se bebe y nadie nos va a parar
El samurai está en brillo y el combo va a chinchorrear (Ponle, ponle, ponle, ponle, ponle)
Ven subiendo (Vamo'), ven subiendo (Dale pa'cá), que no le vamo' a bajar (No le vamo' a bajar)
Sube tú pa' la montaña, hoy yo me quedo acá
Ey, ten cuida'o, ten cuida'o (Uy) cuando te toque bajar
Que no te vaya' por risco y te tengamos que buscar
(Yo te vo'a decir algo pa' que sepa')
En el monte hoy se rompe
Desde que sale el sol hasta que se esconde
En el monte hoy se rompe
Chillando goma, botando humo, dale, ponle
En el monte hoy se rompe
Suban pa'cá pa' que sientan el torque
En el monte hoy se rompe
Me vo'a dar otra en lo que los muchacho' hacen el corte",es
"Omar Courtz, De La Rose, Haze",Kyoto,7eNwwoxDR8KVzNAuGvliAO,"Pa' mí es cabrón, baby, siempre que te como
En mi cuello tu hickey es como el oro
Woh-oh-oh, yo no sé ni qué somo'
Me da contigo la nota cuando me drogo

Papi, se siente cabrón contigo (Ey)
Si tú ere' un sueño me quedo dormida (Ey)

Papi, cuando estés solo, llama, mi cielo
Nos alejamo' del mundo (Yah) pensando que este es el cielo (El cielo)
Y cuando nos vemo', nos encendemo'
Solos tú y yo, así nos entendemo'
Nos encontramo' y ahí nos perdemo' (Ey)
No compré pasto y comoquiera lo prendemo'
Mami, cuando te sientas sola, llama, mi cielo
Nos olvidamo' del mundo pensando que esto es el cielo, ey (Que esto es el cielo)
Pero cuando nos vemo', nos encendemo' (Yo)
Solos tú y yo, así nos entendemo'
Nos encontramo' y ahí nos perdemo'

Siempre que me chinga nos transportamo' al Edén
Arrodillá' esperando que me lo dé
A ti yo te sigo como la estrella 'e Belén
Nada nuevo que me lo vuelva a poner
Una habilidad cuando me quita' el sostén
La manzana prohibida, baby, ya la probé
En un dos por tres, el round le gané
Fácil tú te viene', difícil es mandarte a detener
Bad boy, los Phillies se desayuna
Y su weed me llevó hasta la luna
Me capea rico y chinga rico
Soy una piquetúa', le envío pics 'esnúa
Pa' que eso se toqué cuando esté en ayuna
'Tamo conectado' en forma' intrusa'
Este fester en la consciencia me gusta
Me da siempre que resumo pa' una puta

Qué rico se siente (Se siente)
Tus labio' me dan, me dan una corriente (Una corriente)
Qué rico se siente (Se siente)
Tus labio' me dan, me dan una corriente (Me dan una corriente)

Mami, cuando te sientas sola, llama, mi cielo (Woh)
Nos olvidamo' del mundo pensando que esto es el cielo, ey (Que esto es el cielo)
Y cuando nos vemo', nos encendemo'
Solos tú y yo, así nos entendemo' (Yo)
Nos encontramo' y ahí nos perdemo'
No compré pasto y comoquiera lo prendemo'

Bellaqueando en la luna como un astro
Tú siempre llega' a casa en los horario' alto'
Fumamo' y nos elevamo' en el cuarto
Esto parece el cielo, pero no somo' unos santo', ey
Tus gato' te los espanto
Qué rico huele cuando se monta en el auto (Auto)
En el cuerpo ella se ha puesto un par de canto'
Yo moriría por ella, pero ella por mí ni pa' tanto
Ey, prende
Que es que a ti te da con verme (Con verme)
Esperando el texto ese que dice ""vente""
Se siente sola y detrás tiene como veinte
Baby, si nos pillan junto', que la gente hable mierda (Hable mierda)
Que pase lo que tenga que pasar
En la derecha el Phillie, tus nalga' en la izquierda, ey
Y si conmigo lo que quiere es jugar, pues yo me presto
Manda el texto (Texto)
Pega'o a ti como un tatuaje en tu cuerpo (Cuerpo)
Tú 'tás suelta y yo estoy envuelto (Envuelto)
Tú la tiene' y me jode que no te tengo

Pero cuando estés sola, llama, mi cielo (Woh)
Nos alejamo' del mundo pensando que este es el cielo (El cielo)
Y cuando nos vemo', nos encendemo' (Yo)
Solos tú y yo, así nos entendemo'
Nos encontramo' y ahí nos perdemo'
No compré pasto y comoquiera lo prendemo'

Oh, yo no sé—no sé—
No sé ni qué somo'
Me da contigo la nota cuando me—
Oh, yo no sé—no sé—
No sé ni qué somo'
Me da contigo la nota cuando me—
Oh, yo no sé—no sé—
No sé ni qué somo'
Me da contigo la nota cuando me drogo
Ey",es
Sabrina Carpenter,Manchild,2BwO5K8Q7EPAJSGze3AAh9,"Oh boy

You said your phone was broken, just forgot to charge it
Whole outfit you're wearing, God, I hope it's ironic
Did you just say you're finished? Didn't know we started
It's all just so familiar, baby, what do you call it?

Stupid
Or is it slow?
Maybe it's useless?
But there's a cuter word for it, I know

Man-child
Why you always come a-running to me?
Fuck my life
Won't you let an innocent woman be?
Never heard of self-care
Half your brain just ain't there
Man-child
Why you always come a-running, taking all my loving from me?

Why so sexy if so dumb?
And how survive the Earth so long?
If I'm not there, it won't get done
I choose to blame your mom

Man-child
Why you always come a-running to me?
Fuck my life
Won't you let an innocent woman be?
Never heard of self-care
Half your brain just ain't there
Man-child
Why you always come a-running, taking all my loving from me?

Oh, I like my boys playing hard to get
And I like my men all incompetent
And I swear they choose me, I'm not choosing them
Amen, hey, men
Oh, I like my boys playing hard to get (Play hard to get)
And I like my men all incompetent (Incompetent)
And I swear they choose me, I'm not choosing them (Not choosing them)
Amen (Amen), hey, men (Hey, men)

Man-child
Why you always come a-running to me? (Always come a-running to me)
Fuck my life
Won't you let an innocent woman be? (Amen)

Oh, I like my boys playing hard to get (Play hard to get)
And I like my men all incompetent (Incompetent)
And I swear they choose me, I'm not choosing them (Not choosing them)
Amen (Amen), hey, men (Hey, men)",en
"Ulises Bueno, DesaKTa2",No Puedo Fingirlo,06WyITrA2pZJT5Nt79AOrb,,unknown
"Tainy, Bad Bunny",MOJABI GHOST,46YjJXVXWHlQ21odKktg5e,"Eh-eh, ey, ey
Mojave Ghost, and on the street today I'm going out again, hey
I like both of you, we're going to my bed, all three of us

Smoking, drinking, fucking, pretending that I don't think about you no more
I don't know who I'm lying to if this feeling keeps me up at night
Smoking, drinking, fucking, pretending that I don't think about you no more
I don't know who I'm lying to if this feeling keeps me up at night

And I hope, I hope
That today I dream of you, that today I dream beautifully
And I hope, I hope
That today I dream of you, that today I dream of you, oh

Hey, don't let the note show
You do know, don't wear yourself out
For the disco and for the boats
The asses and the asses
My heart is barren
Alone for thе Moncler
And a heavy flow, like John Eric
A lot of monеy, but

Millions can't stand the crying
From when I sit alone in my room
From when the balcony doesn't feel so high
Everyone wants the fame, everyone wants the room
And I (And I) would trade the glory and my wealth (-wealth)
Just to know how you kiss (You kiss)
To get you out of my head one day

Hey, hey
Punchin' and kickin' like Ohtani
I'm friendly
The friend in the bathroom of all the Kany's
Lamborghini in PR, the Bugatti in Miami
Champion with all my brothers to the Giannis
Sunday is from frontear, don't you see the tanning?
Hey, you don't see the tanning
The' stars shine at night and hide by day, hey
Everybody talks about me without knowing my biography
In life everything is paid for, nothing is trusted, eh-eh
Meanwhile I'm still ruling after dinner at Sophia's
Today I'm putting another one in, trust me

Smoking, drinking, fucking, pretending that I don't think about you no more
I don't know who I'm lying to if this feeling keeps me up at night
Smoking, drinking, fucking, pretending that I don't think about you no more
I don't know who I'm lying to if this feeling keeps me up at night

And I hope, I hope
That today I dream of you, that today I dream beautifully
And I hope, I hope
That today I dream of you, that today I dream of you, oh",en
Patricio Rey y sus Redonditos de Ricota,La Bestia Pop,6BHlafXY1L2eetDCwict05,"Mi héroe es La Gran Bestia Pop
Que enciende en sueños la vigilia
Que antes que cuente diez, dormirá

A brillar, mi amor
Vamos a brillar, mi amor
A brillar, mi amor
Vamos a brillar, mi amor

Mi amigo está grogui sin destilar
Pero yo sé que hay caballos que
Se mueren potros sin galopar

A brillar, mi amor
Vamos a brillar, mi amor
A brillar, mi amor
Vamos a brillar, mi amor


Voy a bailar el rock del rico Luna Park
Y atomizar la butaca y brillar
Como mi héroe ""La Gran Bestia Pop""

A brillar, mi amor
Vamos a brillar, mi amor
A brillar, mi amor
Vamos a brillar, mi amor

Mi héroe es la Gran Bestia Pop
Que enciende en sueños la vigilia
Que antes que cuente diez, dormirá

A brillar, mi amor
Vamos a brillar, mi amor
A brillar, mi amor
Vamos a brillar, mi amor",es
"Callejero Fino, Lea in the Mix",NO LES DA,6pryujEohwqSNKGTW33SKE,"Vos pensás nomás que la guacha es tuya
Si habilita, es gol
Hagan caso
Con Lea in the Mix
Esto es pa' que rompa la bocina, vo' sabé-é-é', -é

Si no le doy perreo, ella se arisca
-ca-ca, -ca-ca
Si no le doy perreo, perreo

Ella casi siempre es calladita
Pero no sabe nadie que es por culpa de la alita
Ahora que está soltera, ella se puso más bonita
Y como la .22, grita y patea la chiquita
Con, sin o con, yo te lo pongo
Ron, estoy en on, mové el mondongo
Perdón, salté el paredón, encaré pa'l fondo
Yo tengo pistola, yo no compro con taеkwondo

Dale, ma, que los turro' siemprе estamos cheto mal
'Ta dolido desde que saqué ""Pa Tra""
Se tiran entre ellos, porque contra mí no les da

Bancame que me tomo otra

Dale, ma, que los turro' siempre estamos cheto mal
Estaban esperando el momento 'e que yo llegara
Acá estoy, pa' los que dicen que disparan
Y sobran balas para tu cara
Se pone cariñosa cuando le da al polvo rosa
Pelinegra peligrosa, se fuma una mariposa
Te traje una cosa sabrosa, maravillosa
Hoy te rompo la mimosa, golosa

Dale, ma, que los turro' siempre estamos cheto mal
'Ta dolido desde que saqué ""Pa Tra""
Se tiran entre ellos, porque contra mí no les da",es
Boza,Hecha Pa' Mi,3VvA1wSxukMLsvXoXtlwWx,"Na, na-na-na, na-na, yeah
Na, na-na-na, na-na-na-na
Na, na-na-na, na-na-na
Na-na-na, na-na-na

Tienes una mirada que me encanta, baby
Y un cuerpecito que a mi mente envuelve
Estás hecha pa' mí, tú me resaltas
Tú me dejas enrolar entre tus nalgas
Mami, tú me encanta', baby
Un cuerpecito que a mi mente envuelve
Estás hecha pa' mí, tú me resaltas

No tiene amigas, tiene puras conocidas
Ella es calla'íta y no le gusta gastar saliva
Tiene una manera diferente de ver la vida
Lo que a ella no le conviene, le da paso y lo esquiva
Tiene su propio refrán: ""Cosas vienen, cosas van""
Todo pasa sin afán, ella me tiene de fan
Vivir feliz es su plan, entrega lo que le dan
Buena y mala, yin yang, anda sola y sin clan

Tú vibras diferente a las demás
Amo cuando te vienes, odio cuando te vas
Hacemos el amor y nos vamos de la faz
Y en un mundo de guerra, solo tú me das paz

Ay, es que tú tiene' una mirada que me encanta, baby
Y un cuerpecito que a mi mente envuelve
Estás hecha pa' mí, tú me resaltas
Tú me dejas enrolar entre tus nalgas
Mami, tú me encanta', baby
Y un cuerpecito que a mi mente envuelve
Estás hecha pa' mí, tú me resaltas

Mami, tú 'tá' como me gusta, me peleas y me busca'
Te vestí Cartier de arriba abajo pa' que luzcas
La posición que tú tiene' no la tendrá otra nunca
Qué pesar mi ex
Si solamente somos tú y yo, tú y yo
Tú y yo, tú y yo
Tú y yo, tú y yo
Lo que podemos hacer, -er
De los temores de la vida no se vive
Y yo no tengo miedo de vivir algo contigo
Procuro darte lo que pidas siempre y cuando que quieras conmigo
Si no es amor, entonces que sea sexo
Soy el ratón que come de tu queso
En tu casa estaré como un preso
Condenado y sin proceso
Dicen que soy bandido y soy muy teso
Pero contigo se me olvida eso
Soy otro cuando me llena' de besos
Lo malo es que me encanta' con exceso

Tú vibras diferente a las demás
Amo cuando te vienes, odio cuando te vas
Hacemos el amor y nos vamos de la faz
Y en un mundo de guerra, solo tú me das paz

Ay, es que tú tiene' una mirada que me encanta, baby
Y un cuerpecito que a mi mente envuelve
Estás hecha pa' mí, tú me resaltas
Tú me dejas enrolar entre tus nalgas
Mami, tú me encanta', baby
Y un cuerpecito que a mi mente envuelve
Estás hecha pa' mí, tú me resaltas",es
"Big One, FMK, Ke Personajes",Un Finde | CROSSOVER #2,3tiJUOfAEqIrLFRQgGgdoY,"Las flores que te regalé ya se marchitaron
Las canciones que te dediqué pasaron de moda
(This is the Big One)
Siempre que hablo de amor lo hago en tiempo pasado
Pero me mata el deseo de tenerte ahora

Y yo sigo con ganas de tenerte en mi cama
Y que cuando estés mal, me cuentes tus dramas
Mientras voy aceptando que tú ya no me amas
Al menos regálame tu amor un fin de semana
Que yo sigo extrañando ese culito en mi cama
Y que cuando estés mal, me cuentes tus dramas
Mientras voy aceptando que tú ya no me amas
Al menos regálame tu amor un fin de semana

El tiempo no es un BM pa' ponerlo en reversa
Antes era ""te amo"", pero hoy estamo' a la inversa
Estoy pa' escribir la historia de los dos
Las ganas me sobran pero faltas vos
Y antes era sexo daily, como Justin y Hailey
Dos botellas de Baileys para hacerte mi baby
Te ponías la mini, te quedaba divi
Y ahora to' los trend' son ""Cupido"" de TINI

No hay nadie más que pueda darle vida a este corazón
Y aunque sea la soledad
Me duele menos que estar junto sin tu amor

Y yo sigo con ganas de tenerte en mi cama
Y que cuando estés mal, me cuentes tus dramas
Mientras voy aceptando que tú ya no me amas
Al menos regálame tu amor un fin de semana

No hay nadie más que pueda darle vida a este corazón
Y aunque sea la soledad
Me duele menos que estar junto sin tu amor

Me olvidé como besabas, vení a recordármelo
Tal vez el viernes, vos quieras verme y me des tu amor",es
"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,2Mgur7BKnpr7OG3izSNFTA,"Bryant Myers
Hoy de nuevo te voy a ver (Anonimus; This is the remix)
Si llama, pichea el cel (Anuel; Almighty)
'Tamo' fumando marihuana (Maybach Música)
Hoy serás mi esclava (Jajajajajaja) en el cuarto de un motel (Carbon Fiber Music)

Hoy de nuevo te voy a ver, estoy bien bellaco
Quédate en panti', modélame en taco'
En lo que yo enrolo y desenmoño el saco
Me quito el pantalón, por el bóxer lo saco
Tengo un par de Retro', me visto bien caco
Te gusta en la cama como te maltrato
Quieres que te lo meta a cada rato
Cuando está' sola, jugamo' al ratón y al gato
Yo bajo sin pero', yo soy el bombero
Que te apaga el fuego en tu desespero
Me gusta lamberte lo' do' agujero'
Me gusta tu cara cuando entra entero
La mejor que me lo ha hecho, si te soy sincero
Echa la cachispa en el cenicero
La máquina que vibra y no e' la del barbero
Déjame descansar, ya terminamo' el primero
Me mira y me dice que la lleve a la nota máxima, que la hipnotice
Que nada má' con tocarla yo tengo el poder de lograr que la piel se le erice
Que cuando me vaya a venir le avise
No voy al gym, mira cómo el lápiz tiene el tríce'
Dile al jevo que tumbe la película y que el avión me lo aterrice
Déjame ver cómo te lo explico
Me gusta abrirte las pierna' y lamberte ese crico
Tiene las nalga' bien cachetona' como los dos cachetes de Quico
Se me quedó en la mente cuando me dijiste por primera vez: ""Papi, qué rico""
Empezamo' a las siete, ya tú sabe', vete como a eso de las cinco y pico

Hoy de nuevo te voy a ver, si llama, pichea el cel
Pero todo callado, nos tenemos que esconder
Una hija de Lucifer, un demonio hecho mujer
Por eso soy tu amante y de lo mío eres fiel
Eres esclava de mi cama, matemos esas ganas
Contigo la paso bien, siempre lo volvemo' a hacer
Esto es sin dejarnos ver (Anuel), el secreto nadie va a saber
Que matamos las ganas en el cuarto de un motel (Real Hasta La Muerte, Anuel)

Hoy vamo' a chingar otra vez, que yo 'toy bien bellaco
Rompimo' una libra y la endecamo' en saco'
Cansa'o, pero como quiera te la aplico
Te vo' a martillar como si tú fuera' perico (Perico)
Se ríe y me dice: ""Qué rico"", a ella le gustan los gangsters como a Lynette Chico (Como a Lynette Chico)
A tu gato, que se quede quietico o te lo vo' a dejar tira'o en la Campo Rico (¡Brrr!)
Bellaca, tú siempre te moja' (Moja')
To'as mis Jordan son roja' (Roja')
Baby, dame la hoja, le muerdo la' nalga' y se remoja (Y se remoja)
Bebé, yo te como ese toto y
Te lo meto por esos tre' roto'
Acabé de echarme dos Perco', baby, te vo'a partir como Cotto
Tatuaje' en mi piel (En mi piel), los feos tienen mi foto (Jaja)
Ella no se enamora (No se enamora), tiene el corazón roto
Se hizo las nalga' y las teta', y a su marido no lo respeta (No lo respeta)
Dile que yo tengo una 40 con tres peine' 'e treinta

Hoy de nuevo te voy a ver, si llama, pichea el cel
Pero todo callado, nos tenemos que esconder
Una hija de Lucifer, un demonio hecho mujer
Por eso soy tu amante y de lo mío eres fiel
Eres esclava de mi cama, matemos esas ganas
Contigo la paso bien, siempre lo volvemo' a hacer
Esto es sin dejarnos ver, el secreto nadie va a saber (Almighty)
Que matamos las ganas en el cuarto de un motel

Baby, esto es top secret (Shh)
Quítate el traje y modélame los panties de Victoria Secret
Yo gano por más que te tiren los buitres (Jajaja)
Antes eran moteles o en la van (Van)
Y gracias a lo' fan', ahora tenemo' tickets pa'l Hotel San Juan (Ah, wuh)
Me tienes on fire, se quita la ropa y quedamos pega'os como flyers
Díselo Myers
'Toy como Toy Story, con más protección que Buzz Lightyear (Jaja)
No bebo redonda (No), pero te caliento como microonda'
El cel no responda', mientras esté' de capota en la guagua, el Lexus o el Honda
Tú estás bellaca y estamos al cien
Partir como yo, dime, ¿quién?
El booty que tiene me tiene pensando y ya quiero meterle mañana también
Tu gato es un trili
Dile que conmigo te moja' y quema' los phillie'
Ponte las heelys (Ah)
Y corre a treparte encima de la bola, a lo Miley

Hoy de nuevo te voy a ver, si llama, pichea el cel
Pero todo callado, nos tenemos que esconder
Una hija de Lucifer, un demonio hecho mujer
Por eso soy tu amante y de lo mío eres fiel
Eres esclava de mi cama, matemos esas ganas
Contigo la paso bien, siempre lo volvemo' a hacer
Esto es sin dejarnos ver, el secreto nadie va a saber
Que matamos las ganas en el cuarto de un motel

(Motel, motel, motel)",es
"DENNIS, Luísa Sonza, Emilia",MOTINHA 2.0 (Mete Marcha) - Remix,2iDDnYmaz1HhedjI91fbmp,"""]

Soy tu Ninja Kawasaki, no' escapamo' y no nos ven
Si me subo, vos colgala y ponela a lo que dé
Esta noche a casa no vuelvo sozinha
Sueno como la Sapucai cuando é você que me

Vira eu de lado, bota forte, mete marcha
Me sarra em cima da moto, acelera, tu não é o brabo?
Vira eu de lado, bota forte, mete marcha
Me da encima 'e la moto, acelera, tu não é o brabo?

Dança da motinha
Dança—, dança—, da-da-da-dança da motinha
DENNIS, o brabo
Vai sen—, vai sen—, vai sentar gostoso na garupa do papai
Vai sen—, vai sentar gostoso na garupa do papai

Eu 'tava louca no baile, do nada trombei você
Bateu uma saudadezinha do que tu sabe fazer
Eu até sei mе virar sozinha
Mas eu gosto, eu me amarro quando é você quе me—

Vira eu de lado, bota forte, mete marcha
Me da encima 'e la moto, acelera, tu não é o brabo?
Vira eu de lado, bota forte, mete marcha
Me sarra em cima da moto, acelera, tu não é o brabo?

Dança da motinha, dan-dança
Dan-dança da motinha
DENNIS, o brabo
Vai, vai sen—, vai sentar gostoso na garupa do papai
Vai sen—, vai sentar gostoso na garupa do papai

Vira eu de lado, bota forte, mete marcha
Me sarra em cima da moto, acelera, tu não é o brabo?
Vira eu de lado, bota forte, mete marcha
Me da encima 'e la moto, acelera, tu não é o brabo?

Bota, bota
Bota forte
Bota, bota (Moto envenenada)
Bota forte (Ai)
Bota, bota
Bota forte
Acelera, tu não é o brabo? Ha",es
"Luck Ra, La K'onga, Ke Personajes",Ya No Vuelvas (Versión Cuarteto),0u6JsFiEEXb6kaF0oqyeFi,"Y este tema va dedicado para todos
Los que alguna vez sufrimos del corazón roto
Y dice

Miénteme otra vez, una, dos o tres
Lastimame de vuelta, que me acostumbré
Que haré como que te olvidé, como que lo supere
Rómpeme el corazón sin sentido y razón
Aunque sepas lo que sufro en mi habitación
Que haré como que no me dolió
Como que nunca pasó

Porque en realidad no sabes lo que duele, darlo todo por alguien que no te quiere
Devuelve todo el tiempo que perdí
El que con tanto amor te compartí
Porque no sabes lo mucho que yo quería
Que pasaran los años a la par mía
Devuelve todo el tiempo que perdí
El que con tanto amor te compartí

Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo, pedime perdón
Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo, pedime perdón

Ey
Como siempre
Luck Ra
La Konga
Y Ke Personajes
Las manitos arriba

Porque en realidad no sabes lo que duele, darlo todo por alguien que no te quiere
Devuelve todo el tiempo que perdí
El que con tanto amor te compartí
Porque no sabes lo mucho que yo quería
Que pasaran los años a la par mía
Devuelve todo el tiempo que perdí
El que con tanto amor te compartí

Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo pedime perdón
Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo, pedime perdón

Miénteme otra vez, al igual que ayer
Y ni en tus sueños te perdonaré (¡Arriba las palmas, vamo'!)

Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo pedime perdón
Ya no vuelvas
No quiero lastimarme de vuelta
De perdonarte perdí la cuenta
Y si sueñas conmigo pedime perdón",es
