rank,artist,title,region,spotify_uri,lyrics_in_en,original_lang
24,"J Balvin, Bad Bunny",LA CANCIÓN,Colombia,0fea68AdmYNygeTGI4RC18,"Yeh, yeh, yeh

I thought I had forgotten you, huh
But they played the song, eh, eh, eh
That we sing 'very drunk'
We dance 'very drunk'
We both kissed 'very drunk'
I thought I had forgotten you, huh
But they played the song, eh, eh, eh
That we sing 'very drunk'
We dance 'very drunk'
We both kissed 'very drunk'
I thought I had forgotten you

Just when I thought
That by eating two or ten, I would forget you' (Yeh)
I took a breath and got off the road
And like an asshole, I didn't know what I was doing
I never got over it, I never got over you (No; no)
I even learned the whole 'ballad' in English' (Yeh)
I breathed and counted to three (One, two, three)
It's Kanye West's dark fantasy, baby, hey
A long time ago, cheap was expensive for me (Yih)
I only tweet, crazy bullet I shoot (Yih)
How can we forget the mischief in the car?
What did he guide alone?

I thought I had forgotten you (But no), yeh
But they played the song, yeh, yeh
That we sing very drunk
We dance very drunk
We both kissed very drunk
I thought I had forgotten you, huh
But they played the song, yeh, yeh
That we sing 'very drunk'
We dance 'very drunk'
We both kissed 'very drunk', hey, hey

And it hasn't come to my mind for a long time
But there's a couple of beer'
And I remembered how you kiss me'
Of all the dust on the table
And in the car, the beach, and the motel
At your pai's house, when I was going to see you
The times that your mai didn't get to catch
You jumping wet, sweating Chanel
I know that ours is a thing of yesterday
And it makes me happy that you are doing well with him
I neither missed you nor wanted to see you
But they played the song that you liked to play
And I remembered you, when you made me happy
It's over, well, I'm gone, hey
I laugh at myself because—

I thought I had forgotten you, huh
But they played the song, yeh, yeh
That we sing very drunk
We dance very drunk
We kissed very drunk what we did


And I thought your name was dead, huh
But I dreamed of you awake, hey
Today I went out into the street loose
Without feeling, the deserted heart
And I thought your name was dead
But I dreamed of you awake
Today I went out into the street loose without feeling, the deserted heart",es
25,Omar Courtz,POR SI MAÑANA NO ESTOY,Colombia,595wwjQiad6e6lSTScmXvz,"Baby, at night, I wanna kiss you
Even if it's on FaceTime, I wanna fuck you
When you're not there, I feel lonely
It's hard for me to admit that I miss you
Speak clearly, do you wanna fuck me?
Because every night I wanna fuck you
When you're not there, I feel lonely
It's hard for me to admit that I miss you
That I miss you

Your moon tattoo on your ankle
Your pearl-colored skin, bright eye
I dust them 'hidden', I don't forget
In love, we were children
And it felt real, everything was real
If I did it to you at the prom, baby, how can I forget?
Pai lent me the car and I went looking for you
""You hook up first because I don't want to hook up"" he told me.
That you were going to be mine forever, you told me
That I wasn't going to stick to music, he told me '
I made a choli to sing to you and you didn't come to see me that day
Your chair was empty, empty like the mansion when I go on tour
Empty like the bus you wanted'
I get on the passenger imagining that the guide
Listening to ""MARGIELA"" and ""P o l v o s Que N o S e O l v i d a n""
Uh-uh, that was for you, ""LUCES DE COLORES"" and ""P I E N S A S E N M I""
Right now I won a Grammy and nothing more talking about you
They ask me who the first muse is and I have to lie to them
Maybe, maybe you already have a better life
Maybe he has someone who treats you better
But I don't know if the same thing happens to you as me, it's just that at night, eh
Baby, at night I miss you
Baby, at night I think of you
How come we are strangers now?
If I even have photos of you that I don't even show
Baby, I swear, it hurts me to kiss you even in my sleep.
How come we're so strange now?
If above me you were telling me that

Baby, at night, I wanna kiss you
Even if it's on FaceTime, I wanna fuck you
When you're not there, I feel lonely
It's hard for me to admit that I miss you
Speak clearly, do you wanna fuck me?
Because every night I wanna fuck you
When you're not there, I feel lonely
It's hard for me to admit that I miss you
That I miss you

Mommy, in front of the little beach, here I'm alone
Looking at the moon, the wolf is lonely
Thinking about the first time I kissed you
You have me living in 2016, remembering that
Tomorrow there is school and your mother gave us until 1
Today I'm going to play the PlayStation, that's one
To go see you with the Ecko combi, the braids and the durag
Your pai in the next room, you on top of me, naked
For the times of Maybach Music, when Anuel said ""uah"" (Uah)
If you no longer love me like before, like Ozuna
Today under the stairs of La Perla
I hope I find you and that you upload them with me, baby
And if I'm not here tomorrow (And if I'm not there tomorrow), hey
Remember the 'happy' moments
Time heals everything, heals scars
The sun always comes out after the gray days
I wish you the best; I always loved you
May it fulfill your dreams, may it make them come true
And as time passes quickly and there is no clock to warn
I did this in case I'm not here tomorrow, in case I'm not there tomorrow
I made this in case I leave tomorrow
So that you remember me, if tomorrow I leave
Nobody is going to love you like me if I leave tomorrow
In case I'm not here tomorrow, if I'm not there tomorrow
I made this in case I leave tomorrow
So that you remember me, if tomorrow I'm not here
In case I'm not there tomorrow
In case tomorrow I leave, if tomorrow I leave
I made this one for myself—hey
In case tomorrow I leave, if tomorrow I leave
Nobody is going to love you, baby, like me
If tomorrow I leave",es
26,Arcángel,Por Amar A Ciegas,Colombia,2BrfJdTXohQRtWBKsBTIp0,"I asked a pastor of love
And he told me to give it to God
That I didn't feel alone
That being alone was better than living on an illusion
I asked a dentist about love at first sight
And said it was a mistake
That was for novelists, dreamers
That in life you have to be more realistic

And now that I don't have you I think of all the lost time that I lost with you
Well, because I loved you blindly, I didn't listen and I threw myself into the void for love.
Everyone told me, everyone warned me that there are flowers that have thorns

I asked a man of love
And he told me that ignoring him was better
That I was young and money should be more important
what a thousand loves
I asked an old man on a distant boulevard
Of love and passions
He told me: ""My son, it is a double-edged glass and it cuts
""It's the cherry on top of a thread""

And now that I don't have you I think of all the lost time that I lost with you
Well, because I loved you blindly, I didn't listen and I threw myself into the void for love.
Everyone told me, everyone warned me that there are flowers that have thorns

I asked my father about love and innocence
Of faith, patience and, do you know what he said?
""Son, it is always better to ignore the heart
Pay attention to your conscience.""
I asked my mother about the love she had for you
And he said they were fantasies
That if I didn't believe him, with time I would learn
that she was right

And now that I don't have you I think of all the lost time that I lost with you
Well, because I loved you blindly, I didn't listen and I threw myself into the void for love.
Everyone told me, everyone warned me that there are flowers that have thorns",es
27,Kapo,UWAIE,Colombia,0fMjldiEpgjbWQ4bBQwVzH,"(Yo, Gangsta) Baby
Where are you at?

Oh, I have invented something to get your attention
And not just because you're beautiful, girl, your shine has me like this
Sit down and think about something, and I want to be that something
Oh, I tried to seduce her a lot, until it happened, and

Flaca, you are beautiful, and you deserve everything
Loving you is my need, my need
I like things about you, the truth is, everything
Taking away that insecurity is my need

It's giving you a couple of kisses'
It's dancing with you a little
That is to say: ""I'm crazy about it""
That is, ""What does it smell like?""
It smells delicious when you dance
It's perfect when you wake up
Oh, I tried to seduce her a lot, until she realized

Oh, skinny, you are beautiful, and you deserve everything
Loving you is my need, my need
I like things about you, the truth, everything (The truth, everything)
Taking away that insecurity is my need
Really, ah

Oh, I tried to seduce her a lot, until she realized
And if he knew everything that I prayed to God
So that you were here
Oh, my beautiful skinny girl, you're something else
It is the destiny that does not have happy
(Baby, get an idea of that)

Flaca, you are beautiful, and you deserve everything
Oh, loving you is my need, my need
I like things about you, the truth is, everything
(Baby, get an idea of that)
Flaca, you are beautiful (Uwaie), and you deserve everything (Uwaie)
Oh, loving you is my need, my need
I like things about you (Uwaie), the truth is, everything (Uwaie)
(Uwaie)

(Me, Gangsta)
(Oh, I'm your Kapo, baby)
(Baby, yeah, me)
The Industry Inc",es
28,Yeison Jimenez,Vete,Colombia,6cZcn282SIMmuO8FHN8634,"What happened to that promise you made me?
Every day when you swore you loved me
And that God would never separate our lives
What happened to us?
It's sad to see how the love that I felt
It dies as the days go by with your farewell
If it was your decision to end this love
Then go
I don't want your love anymore, I'll leave it to you
If that was your decision, walk away forever
Although my heart hurts, my cure will be alcohol
To forget about her

If I gave you everything of me so that you would be happy
And I even faced the world when they spoke ill of you
And now you pay me like this, walking away from me
If you don't care about me anymore, then leave

Yeison Jimenez
with the heart
Georgy Parra
wild
but go

If I gave you everything of me so that you would be happy
And I even faced the world when they spoke ill of you
And now you pay me like this, walking away from me
If you don't care about me anymore
If I gave you everything of me so that you would be happy
And I even faced the world when they spoke ill of you
And now you pay me like this, walking away from me
If you don't care about me anymore, then leave",es
29,Lenin Ramírez,Todo Lo Fue,Colombia,0Sa8aRfGckW0qUGLrBwoBG,"I know that in love you have no interest
I was a zero to the left and you threw away what could have been
Such a beautiful story of card roses and a thousand serenades
I invested my money in you and you left, woman
Today you have me taking with strangers
In a sad bar I lose my sanity looking for oblivion
My one hundred percent was little, I gave you everything and you were with everyone
 Now you are very happy and I am here very screwed
I start watching your stories to see where you are
Three candles to a saint to see if you call me
With that little face I never thought that you would wallow with someone else
In the back of the Mercedes that I bought you
I have the four seasons of the year in the same
If they see me with another girl it's pure fanaticism
I want to get you out of my mind and no longer be affected by what we experienced one day.
And send you and your mother to hell too
Ha-Ha!
I start watching your stories to see where you are
Three candles to a saint to see if you call me
With that little face I never thought that you would wallow with someone else
In the back of the Mercedes that I bought you
I have the four seasons of the year in the same
If they see me with another black woman it is pure fanaticism
I want to get you out of my mind and no longer be affected by what we experienced one day.
And send you and your mother to hell too",es
30,Bad Bunny,EoO,Colombia,6J5kc12BW5HuP3d7C3vvx8,"She comes that way and never arrives alone, so-so-so-so—
She never arrives alone
All the bandits-bandits let go of their guns, da-da-da-da—
Tonight is what there is-there-there-there-there (Says)

Perreo, baby (
Sobeteo, baby
)
Tra-tra, baby (
Down, baby
)
At the disco, baby (
I'll catch you, baby
)
Tra-tra, baby (
Tra-tra, baby
)
Perreo, baby (
Sobeteo, baby
)
Tra-tra, baby (
Down, baby
)
At the disco, baby (
I'll catch you, baby
)
Hey (
Tra-tra, baby
), hey (
Tra-tra, baby
)

I suck her and she is happy
He's wheeled and he's already turned 30
After 12 it doesn't count them
Don't call her in the jangueo if you don't want her to lie
'You're listening to the number one on sale'
That's why with us no one invents
I feel like a bug in the 90s
I have it for you, come so I can feel it
Hit it, mommy, hit it (Ah!), turn around
If you look at me a lot, you know I'm going to kiss you
Hit it, mommy, hit it (Ah!), turn around
If I kiss you and grab it, then I'm going to take you

Look, damn, don't take my pe-pe-pe-pe-pe-pe-pe—

Mommy, I know that it drives you crazy when the dog hits you
But you have to remember me if you see me around
Mommy, I know that it drives you crazy when the dog hits you
But you have to remember me, from when I gave you

Perreo, baby, tra-tra, baby
At the disco, baby, let's hit it, baby
Down, baby, don't take me away, baby
Bellaqueo, baby, you and me alone, baby
Perreo, baby, tra-tra, baby
In the disco, baby, I'll put it in for you, baby
Right here, baby, in front of your baby
I'll buy you the BM and also the AP

Hey, I give you praise dancing, mommy, I'm testing (Dale), hey
Bring your bestie (Uh), we'll take down her panties (Tra)
He has 20 on the waiting list (Dale)
I throw it on your back, body painting (
Oh!
)
Breaking the street since the twenties
He's hunting, he's not dating
He breaks the street whenever he goes out
Mommy, you're fit, you're going to lamberte your abdominals
He breaks the street whenever he goes out
I like it because you and I are the same
We always want to perreo, -eo
You and I 'we are involved' in the mischief
When they tease us, -eo, hey
Don't snore me, bastard, I don't see it here

'You're listening to music from Puerto Rico, bastard
We grew up listening and singing this
In the hamlets, in the neighborhoods
From the 90s to 2000 forever
And I'm with the best of all time, Tainy
And I don't have to snore, you already know
Yeah-yeah-yeah-yeah, yeah-yeah-yeah-yeah
Bad Bunny, baby, Bad Bunny, baby, eh
Tainy, Tainy, Tainy, Tainy
Check the story",es
31,ARIA VEGA,CHÉVERE (joesón_type_beat),Colombia,5OQCghydcEeA76eGdJ6GEa,"Yeah-yeah
Oh yeah

I don't love you for a while
I love you forever
I don't know why we walked away
Since I don't want you absent
And you, baby, oh, I like you full, hey
Imagine a cool life, you and me under a blue sky
Oh yeah

Baby, uh
Tell me how I get it
Dad, you have me here, alone in oblivion (Yeah)
The bread is hot, and why are you going to eat it cold?
Today I'll give it to you true, full
Juntico' we are a mood (Upa, hey)

You know I'm ready for you, for you, for you (For you)
That I look at no one like this, like that, like that (That I look at no one like that)
Squeeze me and don't let me go, don't let me go, no, uh-yeh
You know I'm set for you, for you, for you (Set for you)
That I don't look at anyone like that, like that, like that
Squeeze me and don't let me go, don't let me go, no, uh-yeh (Oh, yeah)

Give me lu', I give you the green light, babe
A Caribbean future, Costa vibe
With the boat ready at the dock, a little house in Puerto facing the sea
And if you want' city, we're going to' la Arenosa, don't thinkin'
The ugly so why if I think about the pretty
Suit with mini mini
Oh, oh, cool (Oh, yeah)
Costeñita until we look 'cool' (Oh, yeah)
We're already at 3:15 and we had a great time
Put on the 'battery' or talk to' go', you've stayed, put on the die' (Wuh)
Oh, cool, Costeñita until we're cool
We're already at 3:15 and we had a great time
Get your act together or talk to see
You've stayed, put on the die' (Pa' go')

Uhh
Tell me how I get it
Dad, here you have me alone in oblivion (Yeah)
The bread is hot, and why are you going to eat it cold?
Today I'll give it to you true, full
Juntico' we are a mood (Hey)

You know I'm ready for you, for you, for you (For you)
That I look at no one like this, like that, like that (That I look at no one like that)
Squeeze me and don't let me go, don't let me go, no, uh-yeh
You know that I am ready for you, for you, for you
That I don't look at anyone like that, like that, like that
Squeeze me and don't let me go, don't let me go, no, uh-yeh (Oh, yeah)

Oops, hey
ah ah
I am ARIA VEGA, ah-ah-ah-ah, yeah
Is it cool or not cool?
Get out of here, shark
Dí-Dí-Dímelo, Joca and Beat
Cule vibe
Ay, ay, ay-ay-ay
It's ready to dance on a single tile
Oh, I'm telling you, I
Quilla's Babe",es
32,"Nanpa Básico, Beéle",Hasta Aquí Llegué,Colombia,0Qe2g06yzLBuuSvVmFiweP,"(Oh, ye-yeah)
Alright

If I continue with this, it won't end, I feel like I'm talking to the wall
I'm swimming with the tide trying to forget you and in the cabaret
And although I don't cry, I swear I miss you
I still feel everything, I don't know how I'll forget you, baby

And before you forget me, I will remember you
You were the best there ever was, but, baby, I've come this far
And before you forget, baby, forgive me
For always having known that you were not for me

Tell them what to tell them or what excuse to get out of them
Your leftovers are of no use to me, I'm going to this dance alone
I don't want to be sad anymore, I'm tired of the slight
I'm leaving alone on 15th with flowers to burn him
I could understand that you were not for me, only because of your faults
Wherever you go, I will remember you
I am not what you are saying, I am what you are silent about
Tell me, who are you kidding? Nothing is going to be okay anymore

And before you forget me, I will remember you
You were the best there ever was, but, baby, I've come this far
And before you forget, baby, forgive me
For always having known that you were not for me

Baby, what a shrink, I expected full now I know the dilemma
That giving more than one receives damages anything
I work, but you walk, I don't know if I believe love anymore
You don't just hurt, you knock out, you pilot the pods
This became an odyssey, you are wrong even if you don't see it
It still smells like your perfume, it still hurts, this hits me

A carved devil like me
I won't fall in love again
With me you had everything
What is valuable is not always seen
Of love na-na, na-na-na-na
Na-na-na-na
Nobody dies
Of love na-na, na-na-na-na
Na-na-na-na
Nobody dies

I hope you don't fall from the sky you're in (Huh)
Alright
Yeah, bae
Beele
Nanpa
Super Da
Soundbwoy",es
33,"Ovy On The Drums, Quevedo, Beéle",YO y TÚ,Colombia,7koAf6aZgjO6TS7bipfPD0,"You give me sweet love, babe
O-O-Ovy On The Drums
Or you give me sweet heartbreak

I had always singa'o (Ah-ah-ah)
But with you it's the first time I make love (I make love)
I love you, ma, very much with too much
Being the one who wakes you up with a kiss is an honor
Baby, please (Listen to it)

Imagine you and me
Me and you, both
Dancing is very cool
With a Phillie enrolled
Imagine you and me
Me and you, you, you, both'
Dancing is very cool
With a Philliе enrolled

Your back stuck to my abdomen twerking in a corner of the VIP
He bites my lip and asks me: ""Do you like it?""
Mommy, obviously, we do look like a 'boyfriend'
If I take another shot maybe I'll say ""I love you""
But I don't want that (No)
At least until yesterday that's what I thought
And he was single when he was melo
But Cupid didn't miss his last bullet, that one hit me
And now he has me looking up, asking God'
May this moment never end, perreándono'
I'm thinking of a future for both of us.
That starts tonight in my bed singing to me
And now he has me looking up, asking God'
May this moment never end, perreándono'
A future is occurring to me
But to start, let's go down this rascal

Imagine you and me
Me and you (Me and you), the do' (The do')
Dancing is very cool
With a Phillie enrolled
Imagine you and me
Me and you, you, you, both'
Dancing is very cool
With a Phillie enrolled

In slow motion I want to see you
In this little corner I'm going to kidnap you
I know, mommy, that you like bling-bling
Having you on your back, mommy, get ready
In slow motion I want to see you
In that little corner I'm going to kidnap you
I know, mommy, that you like bling-bling
Having you on your back, mommy, get ready
All my desires come out
If he looks at me like that, it makes me feel bad
The way he kisses me is all that's right
Let's do it again, can you imagine?
All my desire is leaving me
If he looks at me like that, it makes me feel bad
Kissing 'that's all' that's good
Tell me why stay with the desire

Imagine you and me
Me and you, both
Dancing is very cool
With a Phillie enrolled
Imagine you and me
Me and you, you, you, both'
Dancing is very cool
With a Phillie enrolled

Gu-gu-gu-gu-gu
Aye (Ah)
Quevedo, listen to it
Ovy On The rasta Drums
Rasta Drums, yeah
Beéle, eh-eh, KEITYN
Alright
The Kristoman
Hear it, Super Da",es
34,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Ba Ba Bad Remix,Colombia,0lMafSfME2iJEE972bsQaK,"Awoo-woo, awoo-woo
Kybba, how you bad suh

Medellín, talk to me, fai
No stress, give me the light
A gin and tonic, gin and tonic let's drink
I will steal and take away your Nike combi (Plo-plo)
Awoo

Bad-bad-bad-bad-bad-bad-bad-bad (Uh)
For all the moms who listen to dancehall
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
And so that all the men throw away the style
Mai, you are rich and you dance a chimba
The European ones, the Latina ones and the gringa ones
Bad-bad-bad-bad-bad-bad-bad-bad (Uh)
Bussin' up the place with me style, bad, bad (Plo-plo-plo)

I met her dancing at a Kybba party
She hit me and danced to me, the baby is a murderer
I told him: ""Hand up, tonight you are mine.""
I hit it in the dark, dancing in the corner
A feline cat, the men are lining up for her
She wants a gangster, she likes killa
She wants the ""Awoo"", she likes my style
And I throw a flow so they break line

Bad-bad-bad-bad-bad-bad-bad-bad (Uh)
For all the moms who listen to dancehall
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
And so that all the men throw away the style
Mai, you are rich and you dance a chimba
The European ones, the Latina ones and the gringa ones
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
Bussin' up the place with me style

It could be ever look fresh and ever clean
You seen the gyal them a roppin'
Oh, you mean
Ever controlling the entire scene
And I'm on a poly money, my real money
What you feel is real, you get your face to steal
Me no steal, boys, I am the real deal
Girl them love me, but give them the real feel
Go down put a knee, push up bring it back
She want peace and me, me all inna the—
Bad-bad-bad-bad-bad-bad-bad-bad
Yeah, when I put it on her and she put it on me and again in some way
She want me ugly, fi bump the ugly, come here

Bad-bad-bad-bad-bad-bad-bad-bad (Uh)
Anywhere they see me, me and me gun, them a chat (Whoo!)
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
Bussin' up the place with me style, bad, bad (Uh)
Mai, you are rich and you dance a chimba
The European ones, the Latina ones and the gringa ones
Bad-bad-bad-bad-bad-bad-bad-bad (Please)
Bussin' up the place with me style, bad, bad (Uh)

Get it lit (Boy), love your vibe (Yeah)
We the best (Boy), give me the light (Yeah)
And we turn it up, turn it up every time (Every time)
And we bust it up, bust it up, watch it hype (Watch it hype), ha

Kybba, how you bad suh",es
35,"Héctor ""El Father"", Wisin & Yandel",El Teléfono,Colombia,614NVFo5csQqRnryl4jXs2,"Hey (W), hey-huh (Y)
Eh (El Father), eh-eh (You're missing)
The Disco Breakers!

I have wanted to see you for a long time
I look for the way your body has
Neither your father nor your mother want you with me
Well let's make love on the phone
I have wanted to see you for a long time
I look for the way your body has
Neither your father nor your mother want you with me
Well let's make love on the phone

And just have my phone number
For when you feel alone
And you call me, remember that
I will be there for you at all hours
And just have my phone number
For when you feel alone
And you call me, remember that
I'll be there for you at all hours (Hey, baby!)

Doll, call by law (Hah!), I thirst for you (Buh!)
I want to touch you
Get tangled in the net (Hah!), stick to the wall (Buh!)
To devour you (Aha)
Then let go (Hah!), show off, seduce me
Come on, take advantage (Hah!)
Get fired up (Hah!), get free and warm up (Buh!)
To devour you

I've wanted to see you for a long time (Eh-eh)
I look for the way your body has (Eh-eh)
Neither your father nor your mother want you with me
Well, let's make love on the phone (Eh, eh-eh-eh)
I've wanted to see you for a long time (Eh-eh)
I look for the way your body has (Eh-eh)
Neither your father nor your mother want you with me
Well let's make love on the phone

She calls me in an asterisk, she likes the shot and a little 'e disco
Crazy that I eat it in one bite
Ma', I want your zip code, I'll confiscate your number
Boy, you call her and I pinch her
Let the cross-eyed man calm down or I'll throw him off a cliff.
Play this record and tell him that I live a harsh life
That cat of yours is a rock, half Jalisco
And I'm giant like San Francisco

And just have my phone number
For when you feel alone
And you call me, remember that
I will be there for you at all hours
And just have my phone number
For when you feel alone
And you call me, remember that
I will be there for you at all hours

I've wanted to see you for a long time (Eh-eh)
I look for the way your body has (Eh-eh)
Neither your father nor your mother want you with me
Well, let's make love on the phone (Eh, eh-eh-eh)
I've wanted to see you for a long time (Eh-eh)
I look for the way your body has (Eh-eh)
Neither your father nor your mother want you with me
Well let's make love on the phone

Hey clown
For you to make a song like this
It's simple, you have to be born again
Hungry and sleepy is what you have
W ""The Survivor"" with Yandel
Hector ""El Father""
Hey, baby, don't worry, there won't be any trouble.
Okay?
You walk with me, hah!",es
36,Herencia De Grandes,Ya Borracho,Colombia,4NyUIohBa3CEMGcXURYSOh,"I fell in love and I think I passed away
Today I declare myself an obsessed madman
And don't be scared because it's not bad at all.
But you are my longed-for love
When I saw you I felt something that was no longer here
I wanted to choose for myself and I decided for you

And already drunk I park by your window
To bring you the songs you love
To make you fall in love, flowers are not so expensive
But they carry all the love of my soul
That in February I will come in front of you
With my questions and say yes
Get married and see you happy and as happy as I am for you.

Inheritance of Greats

Ask me what makes me fall in love
To describe to you a few hours
Also ask what I want with you
May you be happy to be with me
And already drunk answer my call
To dedicate some nice words to you
So drunk I dare to tell you everything
And I can describe how much I love you
Tell you that I feel very happy and excited to have you
I hope you want to be here in love looking at me
looking at me",es
37,"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,Colombia,1xRRW5ZrL7I9EG8CGZrXHE,,unknown
38,Bad Bunny,NO ME QUIERO CASAR,Colombia,39L3LdlHS3gqB62HPWaJRg,"And if your man wants to stop you, tell him no
Model it and run to the disco, yeah
Because your man, ah, because your man, ah
Because you, because you, because you—
Hey

Raise your hand to anyone who is making money
Let the New Year come and I'm going to jose it all
One of these days my true love arrives
But, I want to get rich first
2026 and I'm still single
W, I walk with all my cowboys
I got on the Cybertruck and I remembered the Montero
From the old days
Right now I'm becoming bi without ceasing to be straight
Right now I'm going to have a son, an heir
I'm going to miss the street, the disco and the whorehouse
But I'm going to continue until I fall off the horse and lose my hat, heh
This year will be better than the last, I know it
You look better in underwear, I know it, I know it, hey
I will be your bandit lover, Miguel Bosé
But that's it, woh, that's it, mommy, that's it
Let's live today

Because tomorrow I don't know what's going to happen
I feel sad, but it will go away, heh
My life is badass, hey
I don't want to get married
La-la-la, la-la, la-la
I don't want to get married, hey
For now celibacy, I'm going to enjoy it for a while
I don't want to get married

2016, snatched with the Cazal
My house will be valued at six million one day
I'm going to grease the entire group
Life is beautiful, I'm going to embrace it
Working hard, nothing was random here
Damn bad vibes, no one is going to slow me down, hey
Sorry for yawning, hey
But I get bored easily
If I like it, I want it
I get down to it and it's easy for me
I was going to get married once
Thank God no, wow, devil, but almost, hey
Seeing New York City in a taxi
I started dreaming
And I said: ""I have to change my future today""

Because tomorrow I don't know what's going to happen
I feel sad, but it will go away, heh
My life is badass, hey
I don't want to get married
La-la-la, la-la, la-la
I don't want to get married

And if I were born again
That's how I would like to be
For all the babies, the ladies

I like red wine, sunsets
The laughter of my friends, the look of women'
That you want to be with me, you don't know what he wants
Baby, I am a danger
Hey

I'm not going to change for anyone, hey
I'm always going to camp, mommy
I'm going to cheat
Today I'm going to the street, heh, I just trimmed
I am Bad Bunny, not so and so
Thanks to life we were able to connect
I like you, don't misunderstand
But I'm focused, ready to press
At the moment I can't be with you, heh
I've always been a son of a bitch, since Head Start, heh
Close the door when you leave and put the ""do not disturb""

Ooh
Ooh
Oh oah
Ooh",es
39,Beéle,top diesel,Colombia,2QP041AcWg8PwPIWP95RKN,"Aye
Uh-uh-uh-uh-uh-uh
Uhh

Top diesel, top face, top princess (Uh), uh
I happened to say something I heard in Cap Cana
Says, says a bro: (Don't you–)

""Don't let me fall in love""
I said to myself: ""Why, why?""
I told it to my heart: ""Don't fall in love with me""
And he laughs, oh, oh

I don't know how to say no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)
I don't know how to say no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)
No, no, no (No-no-no, no-no-no, no-no)

Diesel top, face top, princess top
(But, and that suffocation that you have, my little brother, if you saw that girl right now)
(Why, Papa God?)

'Toy seeing the prettiest, I would like to make her a son'
If he dances like that, fuck it, it's going to be his playlist in bed
She is the prettiest, at night to her house
I want to go visit, meet your mom
I do what I have to do only if it's my turn
I imagine this happening since it came out of my mouth
I let me fall in love, I get romantic
If my aunt sees me cheeky, she says: ""Damn, love makes you fat""
I wouldn't know how to say no, I want it to be his fault
Let him judge me of the borondo and give me love in pulp
Even my cucuda said it:

I'm not going to make you fall in love
I said to myself: ""Why, why?""
I told it to my heart: ""Don't fall in love with me""
And he laughs, oh, oh

I don't know how to say no
No, no, no, no, no, no, no, no
Oh, no, no, no, no, no, no, no, no
Oh, no, no, no, no, no, no, no, no
Oh, no, no, no, no, no, no, no, no
Oh, no, no, no, no, no, no, no, no
Oh, no, no, no, no, no, no, no, no
Oh, no, no, no, no, no, no, no, no
Oh, no, no, no, no, no, no, no, no",es
